Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,Y,Y,Y,Y,N,2100,[3Y 4N ],2040.0000,0.0286
Y,Y,Y,Y,Y,N,Y,N,Y,1200,[3Y 4Y ],1485.0000,0.2375
Y,N,N,Y,N,N,N,N,N,1320,[3N 2N 6N ],1365.0000,0.0341
Y,Y,Y,Y,N,N,Y,N,Y,1170,[3Y 4Y ],1485.0000,0.2692
Y,Y,N,Y,N,N,N,Y,N,1110,[3N 2Y 6N ],990.0000,0.1081
Y,N,N,Y,Y,N,Y,N,Y,1230,[3N 2N 6N ],1365.0000,0.1098
Y,N,Y,Y,N,Y,N,N,N,1980,[3Y 4Y ],1485.0000,0.2500
Y,Y,Y,Y,Y,N,N,N,N,2220,[3Y 4Y ],1485.0000,0.3311
Y,Y,Y,N,Y,Y,Y,N,Y,1500,[3Y 4N ],2040.0000,0.3600
Y,Y,N,Y,N,Y,N,Y,N,990,[3N 2Y 6Y 4Y ],960.0000,0.0303
Y,N,N,N,Y,Y,Y,Y,N,1230,[3N 2N 6Y 7Y ],1095.0000,0.1098
Y,Y,Y,N,N,Y,N,N,Y,1200,[3Y 4N ],2040.0000,0.7000
Y,Y,N,N,Y,Y,Y,N,N,840,[3N 2Y 6Y 4N ],885.0000,0.0536
Y,N,N,N,N,N,Y,N,N,1110,[3N 2N 6N ],1365.0000,0.2297
Y,N,Y,N,N,Y,Y,Y,N,1980,[3Y 4N ],2040.0000,0.0303
Y,Y,N,Y,N,N,N,N,Y,990,[3N 2Y 6N ],990.0000,0.0000
Y,Y,Y,N,Y,Y,N,N,N,1770,[3Y 4N ],2040.0000,0.1525
Y,Y,Y,N,Y,N,Y,N,N,1890,[3Y 4N ],2040.0000,0.0794
Y,N,Y,N,Y,Y,N,Y,N,2190,[3Y 4N ],2040.0000,0.0685
Y,Y,N,N,N,N,N,Y,N,1110,[3N 2Y 6N ],990.0000,0.1081
Y,Y,N,N,N,Y,N,N,Y,930,[3N 2Y 6Y 4N ],885.0000,0.0484
Y,N,N,N,Y,N,N,N,Y,1260,[3N 2N 6N ],1365.0000,0.0833
Y,N,Y,Y,N,N,N,N,N,2220,[3Y 4Y ],1485.0000,0.3311
Y,N,Y,Y,N,Y,N,N,Y,1020,[3Y 4Y ],1485.0000,0.4559
Y,Y,Y,N,Y,Y,N,N,Y,1080,[3Y 4N ],2040.0000,0.8889
Y,N,N,N,Y,N,Y,N,Y,1200,[3N 2N 6N ],1365.0000,0.1375
Y,N,N,N,N,N,N,Y,N,1410,[3N 2N 6N ],1365.0000,0.0319
Y,Y,Y,N,N,Y,Y,N,N,1620,[3Y 4N ],2040.0000,0.2593
Y,Y,N,N,Y,N,Y,N,N,930,[3N 2Y 6N ],990.0000,0.0645
Y,N,Y,Y,Y,N,N,N,Y,1200,[3Y 4Y ],1485.0000,0.2375
Y,Y,Y,Y,Y,N,Y,N,N,2070,[3Y 4Y ],1485.0000,0.2826
Y,Y,Y,Y,N,Y,N,N,Y,1080,[3Y 4Y ],1485.0000,0.3750
Y,N,Y,N,Y,Y,Y,N,N,1740,[3Y 4N ],2040.0000,0.1724
Y,Y,Y,N,Y,Y,Y,Y,N,1920,[3Y 4N ],2040.0000,0.0625
Y,N,N,N,N,N,N,N,N,1200,[3N 2N 6N ],1365.0000,0.1375
Y,N,N,N,Y,Y,N,N,N,1020,[3N 2N 6Y 7N ],1200.0000,0.1765
Y,Y,N,N,N,N,N,N,Y,990,[3N 2Y 6N ],990.0000,0.0000
Y,Y,N,N,N,N,N,N,N,990,[3N 2Y 6N ],990.0000,0.0000
Y,N,Y,N,N,Y,N,N,Y,1230,[3Y 4N ],2040.0000,0.6585
Y,N,Y,Y,N,N,Y,N,Y,1320,[3Y 4Y ],1485.0000,0.1250
Y,Y,Y,Y,Y,Y,Y,N,Y,870,[3Y 4Y ],1485.0000,0.7069
Y,N,N,Y,Y,Y,Y,N,Y,1110,[3N 2N 6Y 7Y ],1095.0000,0.0135
Y,Y,N,Y,Y,Y,Y,Y,N,990,[3N 2Y 6Y 4Y ],960.0000,0.0303
Y,Y,Y,Y,Y,N,N,N,Y,1050,[3Y 4Y ],1485.0000,0.4143
Y,N,N,N,Y,N,Y,Y,N,1380,[3N 2N 6N ],1365.0000,0.0109
Y,N,Y,N,N,N,N,N,Y,1200,[3Y 4N ],2040.0000,0.7000
Y,N,N,Y,N,Y,N,N,N,1170,[3N 2N 6Y 7N ],1200.0000,0.0256
Y,N,N,Y,Y,N,Y,N,N,1170,[3N 2N 6N ],1365.0000,0.1667
Y,N,Y,Y,N,Y,Y,N,Y,1230,[3Y 4Y ],1485.0000,0.2073
Y,N,Y,Y,Y,N,Y,N,N,2190,[3Y 4Y ],1485.0000,0.3219
Y,Y,N,N,Y,N,N,N,N,960,[3N 2Y 6N ],990.0000,0.0312
Y,N,N,Y,Y,N,N,N,N,1350,[3N 2N 6N ],1365.0000,0.0111
Y,N,N,N,Y,Y,N,N,Y,1200,[3N 2N 6Y 7N ],1200.0000,0.0000
Y,Y,N,Y,Y,Y,N,Y,N,1020,[3N 2Y 6Y 4Y ],960.0000,0.0588
Y,Y,N,Y,N,N,N,N,N,1050,[3N 2Y 6N ],990.0000,0.0571
Y,N,Y,Y,Y,N,N,Y,N,2640,[3Y 4Y ],1485.0000,0.4375
Y,N,N,Y,Y,N,N,N,Y,1200,[3N 2N 6N ],1365.0000,0.1375
Y,Y,N,N,N,Y,Y,N,Y,870,[3N 2Y 6Y 4N ],885.0000,0.0172
Y,N,Y,N,N,N,Y,N,Y,1350,[3Y 4N ],2040.0000,0.5111
Y,N,Y,N,N,N,N,N,N,2040,[3Y 4N ],2040.0000,0.0000
Y,N,N,Y,Y,N,Y,Y,N,1380,[3N 2N 6N ],1365.0000,0.0109
Y,Y,Y,N,N,Y,N,Y,N,1980,[3Y 4N ],2040.0000,0.0303
Y,Y,N,Y,Y,Y,N,N,N,960,[3N 2Y 6Y 4Y ],960.0000,0.0000
Y,N,Y,Y,N,N,Y,Y,N,2310,[3Y 4Y ],1485.0000,0.3571
Y,Y,Y,N,Y,N,Y,Y,N,2190,[3Y 4N ],2040.0000,0.0685
Y,Y,Y,Y,N,N,N,N,Y,1170,[3Y 4Y ],1485.0000,0.2692
Y,N,Y,N,N,Y,N,Y,N,2130,[3Y 4N ],2040.0000,0.0423
Y,Y,Y,N,Y,N,N,N,Y,1320,[3Y 4N ],2040.0000,0.5455
Y,N,Y,N,Y,Y,Y,N,Y,1230,[3Y 4N ],2040.0000,0.6585
Y,Y,N,Y,N,Y,N,N,Y,930,[3N 2Y 6Y 4Y ],960.0000,0.0323
Y,Y,Y,N,N,N,Y,Y,N,2160,[3Y 4N ],2040.0000,0.0556
Y,Y,N,N,N,Y,Y,Y,N,930,[3N 2Y 6Y 4N ],885.0000,0.0484
Y,Y,Y,Y,N,Y,Y,Y,N,1860,[3Y 4Y ],1485.0000,0.2016
Y,N,Y,N,Y,N,Y,N,Y,1110,[3Y 4N ],2040.0000,0.8378
Y,Y,N,N,N,Y,Y,N,N,840,[3N 2Y 6Y 4N ],885.0000,0.0536
Y,Y,N,Y,N,Y,N,N,N,930,[3N 2Y 6Y 4Y ],960.0000,0.0323
Y,Y,N,Y,Y,N,N,N,N,1080,[3N 2Y 6N ],990.0000,0.0833
Y,N,Y,Y,N,Y,N,Y,N,2100,[3Y 4Y ],1485.0000,0.2929
Y,Y,Y,N,N,N,Y,N,N,1830,[3Y 4N ],2040.0000,0.1148
Y,Y,Y,N,N,Y,Y,N,Y,1140,[3Y 4N ],2040.0000,0.7895
Y,N,N,N,Y,Y,Y,N,Y,1050,[3N 2N 6Y 7Y ],1095.0000,0.0429
Y,Y,N,N,Y,N,Y,Y,N,1050,[3N 2Y 6N ],990.0000,0.0571
Y,Y,Y,N,N,Y,N,N,N,1710,[3Y 4N ],2040.0000,0.1930
Y,Y,N,N,N,Y,N,Y,N,1020,[3N 2Y 6Y 4N ],885.0000,0.1324
Y,N,Y,N,N,Y,Y,N,Y,1260,[3Y 4N ],2040.0000,0.6190
Y,Y,Y,Y,N,N,Y,Y,N,2160,[3Y 4Y ],1485.0000,0.3125
Y,N,N,Y,N,Y,Y,N,N,1080,[3N 2N 6Y 7Y ],1095.0000,0.0139
Y,N,Y,N,Y,N,Y,Y,N,2430,[3Y 4N ],2040.0000,0.1605
Y,Y,Y,N,N,N,Y,N,Y,1020,[3Y 4N ],2040.0000,1.0000
Y,Y,Y,Y,N,N,N,N,N,2130,[3Y 4Y ],1485.0000,0.3028
Y,Y,Y,Y,Y,N,N,Y,N,2340,[3Y 4Y ],1485.0000,0.3654
Y,Y,N,Y,N,N,Y,N,Y,960,[3N 2Y 6N ],990.0000,0.0312
Y,N,N,Y,Y,Y,N,N,N,1200,[3N 2N 6Y 7N ],1200.0000,0.0000
Y,N,N,N,Y,N,Y,N,N,1140,[3N 2N 6N ],1365.0000,0.1974
Y,Y,Y,N,Y,N,Y,N,Y,1170,[3Y 4N ],2040.0000,0.7436
Y,Y,N,Y,Y,Y,Y,N,N,900,[3N 2Y 6Y 4Y ],960.0000,0.0667
Y,Y,N,N,Y,Y,Y,N,Y,900,[3N 2Y 6Y 4N ],885.0000,0.0167
Y,N,Y,Y,Y,Y,N,N,N,2040,[3Y 4Y ],1485.0000,0.2721
Y,N,Y,Y,Y,N,Y,Y,N,2430,[3Y 4Y ],1485.0000,0.3889
Y,N,Y,N,Y,N,Y,N,N,1950,[3Y 4N ],2040.0000,0.0462
Y,Y,N,N,N,N,Y,N,Y,960,[3N 2Y 6N ],990.0000,0.0312
Y,Y,N,Y,N,Y,Y,N,Y,870,[3N 2Y 6Y 4Y ],960.0000,0.1034
Y,Y,N,Y,N,N,Y,N,N,960,[3N 2Y 6N ],990.0000,0.0312
Y,N,Y,Y,Y,Y,Y,Y,N,2070,[3Y 4Y ],1485.0000,0.2826
Y,N,N,N,N,Y,Y,N,N,1020,[3N 2N 6Y 7Y ],1095.0000,0.0735
Y,Y,Y,Y,N,Y,Y,N,N,1770,[3Y 4Y ],1485.0000,0.1610
Y,N,N,Y,N,Y,N,N,Y,1110,[3N 2N 6Y 7N ],1200.0000,0.0811
Y,Y,N,Y,Y,Y,Y,N,Y,870,[3N 2Y 6Y 4Y ],960.0000,0.1034
Y,Y,N,N,N,Y,N,N,N,900,[3N 2Y 6Y 4N ],885.0000,0.0167
Y,N,Y,Y,N,N,Y,N,N,2130,[3Y 4Y ],1485.0000,0.3028
Y,Y,N,Y,Y,N,N,Y,N,1140,[3N 2Y 6N ],990.0000,0.1316
Y,Y,N,Y,N,Y,Y,N,N,900,[3N 2Y 6Y 4Y ],960.0000,0.0667
Y,N,N,Y,N,N,N,Y,N,1410,[3N 2N 6N ],1365.0000,0.0319
Y,N,Y,N,Y,N,N,N,Y,1380,[3Y 4N ],2040.0000,0.4783
Y,Y,Y,Y,Y,Y,N,N,Y,1170,[3Y 4Y ],1485.0000,0.2692
Y,N,N,Y,N,N,Y,N,Y,1140,[3N 2N 6N ],1365.0000,0.1974
Y,N,N,N,N,Y,Y,Y,N,1140,[3N 2N 6Y 7Y ],1095.0000,0.0395
Y,N,Y,Y,Y,Y,Y,N,Y,1170,[3Y 4Y ],1485.0000,0.2692
Y,Y,Y,N,N,N,N,N,Y,1140,[3Y 4N ],2040.0000,0.7895
Y,N,Y,Y,N,Y,Y,N,N,1830,[3Y 4Y ],1485.0000,0.1885
Y,Y,Y,Y,N,Y,Y,N,Y,1470,[3Y 4Y ],1485.0000,0.0102
Y,N,Y,N,Y,N,N,N,N,2100,[3Y 4N ],2040.0000,0.0286
Y,N,Y,Y,N,Y,Y,Y,N,1980,[3Y 4Y ],1485.0000,0.2500
Y,N,Y,N,N,Y,N,N,N,1770,[3Y 4N ],2040.0000,0.1525
Y,N,N,N,N,Y,N,N,Y,1050,[3N 2N 6Y 7N ],1200.0000,0.1429
Y,Y,N,N,Y,Y,N,Y,N,1020,[3N 2Y 6Y 4N ],885.0000,0.1324
Y,Y,Y,Y,Y,N,Y,Y,N,2190,[3Y 4Y ],1485.0000,0.3219
Y,Y,Y,Y,Y,Y,N,Y,N,2100,[3Y 4Y ],1485.0000,0.2929
