Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,Y,N,Y,Y,N,Y,N,2190
Y,Y,N,N,Y,N,N,N,N,960
Y,N,Y,N,Y,N,Y,N,N,1950
Y,Y,N,Y,N,N,N,N,N,1050
Y,Y,Y,N,Y,N,N,N,N,1950
Y,N,N,N,N,Y,N,N,N,1080
Y,N,N,Y,Y,Y,N,N,N,1200
Y,Y,N,N,Y,N,Y,Y,N,1050
Y,N,N,Y,N,N,Y,N,Y,1140
Y,Y,Y,Y,N,Y,Y,N,N,1770
Y,N,N,Y,Y,Y,N,Y,N,1260
Y,Y,N,N,Y,N,N,N,Y,1020
Y,Y,N,N,N,N,N,N,Y,990
Y,Y,N,N,Y,Y,N,N,Y,930
Y,Y,N,Y,N,Y,N,N,N,930
Y,Y,Y,N,N,Y,Y,N,N,1620
Y,N,Y,Y,N,N,Y,Y,N,2310
Y,Y,Y,Y,Y,Y,N,Y,N,2100
