time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,N,N,N,N,Y,Y,N,N,N,Y,217.68,[11Y ],259.8867,0.1939
Y,N,Y,N,Y,Y,Y,N,Y,Y,N,220.80,[11N 2N ],210.3300,0.0474
Y,Y,N,N,Y,N,Y,Y,N,N,N,231.80,[11N 2Y 3N ],232.8733,0.0046
Y,Y,N,N,Y,N,N,N,N,Y,Y,230.79,[11Y ],259.8867,0.1261
Y,N,N,N,Y,N,Y,N,Y,Y,N,202.93,[11N 2N ],210.3300,0.0365
Y,Y,N,N,Y,N,Y,N,Y,N,N,228.28,[11N 2Y 3N ],232.8733,0.0201
Y,N,N,Y,Y,N,N,N,N,Y,N,208.99,[11N 2N ],210.3300,0.0064
Y,N,Y,Y,Y,Y,Y,N,Y,N,N,228.97,[11N 2N ],210.3300,0.0814
Y,N,Y,Y,N,N,Y,N,N,Y,N,226.88,[11N 2N ],210.3300,0.0729
Y,N,Y,Y,Y,N,Y,N,N,Y,Y,247.67,[11Y ],259.8867,0.0493
Y,N,N,Y,N,N,Y,N,Y,N,N,209.70,[11N 2N ],210.3300,0.0030
Y,N,Y,Y,N,N,Y,Y,N,Y,N,227.19,[11N 2N ],210.3300,0.0742
Y,N,Y,N,N,N,Y,Y,N,N,Y,233.54,[11Y ],259.8867,0.1128
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,257.17,[11N 2Y 3Y ],244.3167,0.0500
Y,N,Y,N,Y,N,N,N,N,N,N,234.80,[11N 2N ],210.3300,0.1042
Y,N,N,N,Y,N,Y,Y,Y,N,N,205.74,[11N 2N ],210.3300,0.0223
Y,N,N,Y,N,Y,Y,N,Y,N,N,214.38,[11N 2N ],210.3300,0.0189
Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,249.83,[11Y ],259.8867,0.0403
Y,Y,N,N,N,Y,Y,N,Y,N,N,227.39,[11N 2Y 3N ],232.8733,0.0241
Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,247.13,[11Y ],259.8867,0.0516
Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,253.82,[11Y ],259.8867,0.0239
Y,N,Y,Y,N,N,Y,N,N,N,N,232.12,[11N 2N ],210.3300,0.0939
Y,N,N,N,N,N,Y,Y,Y,N,Y,217.55,[11Y ],259.8867,0.1946
Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,220.98,[11N 2N ],210.3300,0.0482
Y,Y,N,Y,Y,N,Y,N,Y,N,Y,251.90,[11Y ],259.8867,0.0317
Y,N,Y,Y,N,N,Y,Y,Y,N,N,230.69,[11N 2N ],210.3300,0.0883
Y,Y,N,Y,N,Y,Y,N,Y,N,N,234.65,[11N 2Y 3N ],232.8733,0.0076
Y,N,N,Y,N,N,N,Y,N,Y,Y,247.37,[11Y ],259.8867,0.0506
Y,Y,Y,N,N,Y,Y,N,N,N,Y,255.13,[11Y ],259.8867,0.0186
Y,N,N,Y,Y,N,Y,Y,N,Y,N,212.45,[11N 2N ],210.3300,0.0100
Y,Y,N,Y,Y,N,Y,Y,N,Y,N,235.30,[11N 2Y 3N ],232.8733,0.0103
Y,Y,Y,N,N,N,Y,Y,Y,Y,N,241.70,[11N 2Y 3Y ],244.3167,0.0108
Y,Y,Y,N,N,N,Y,Y,Y,N,Y,250.50,[11Y ],259.8867,0.0375
Y,N,N,N,N,N,Y,Y,Y,N,Y,213.53,[11Y ],259.8867,0.2171
Y,Y,N,N,Y,Y,N,Y,N,Y,N,223.98,[11N 2Y 3N ],232.8733,0.0397
Y,N,N,Y,N,N,Y,N,N,Y,N,210.71,[11N 2N ],210.3300,0.0018
Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,236.38,[11Y ],259.8867,0.0994
Y,N,N,N,N,Y,Y,N,Y,Y,N,203.98,[11N 2N ],210.3300,0.0311
Y,N,Y,N,N,N,Y,Y,N,Y,Y,232.65,[11Y ],259.8867,0.1171
Y,Y,Y,Y,Y,Y,Y,N,N,N,N,244.25,[11N 2Y 3Y ],244.3167,0.0003
Y,N,N,N,Y,Y,Y,Y,N,Y,Y,216.91,[11Y ],259.8867,0.1981
Y,N,N,N,Y,N,Y,N,Y,N,Y,213.86,[11Y ],259.8867,0.2152
Y,N,Y,Y,N,Y,Y,Y,N,N,Y,247.87,[11Y ],259.8867,0.0485
Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,269.47,[11Y ],259.8867,0.0356
Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,237.23,[11Y ],259.8867,0.0955
Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,252.77,[11Y ],259.8867,0.0282
Y,Y,N,N,N,N,N,Y,N,N,Y,236.21,[11Y ],259.8867,0.1002
Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,259.76,[11Y ],259.8867,0.0005
Y,N,N,Y,Y,Y,Y,N,N,Y,Y,266.12,[11Y ],259.8867,0.0234
Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,248.65,[11Y ],259.8867,0.0452
Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,251.98,[11Y ],259.8867,0.0314
Y,N,Y,Y,Y,N,N,Y,N,Y,Y,249.53,[11Y ],259.8867,0.0415
Y,Y,N,N,Y,Y,N,N,N,N,Y,255.64,[11Y ],259.8867,0.0166
Y,N,Y,N,Y,N,N,Y,N,N,Y,234.38,[11Y ],259.8867,0.1088
Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,249.58,[11Y ],259.8867,0.0413
Y,N,Y,Y,N,N,Y,Y,Y,N,N,224.99,[11N 2N ],210.3300,0.0652
Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,252.68,[11Y ],259.8867,0.0285
Y,Y,N,N,N,N,Y,Y,N,N,N,226.50,[11N 2Y 3N ],232.8733,0.0281
Y,Y,Y,N,Y,N,Y,N,Y,N,N,242.81,[11N 2Y 3Y ],244.3167,0.0062
