time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,N,Y,N,Y,Y,Y,N,N,N,218.23
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,264.47
Y,Y,Y,N,N,N,Y,Y,Y,N,Y,246.81
Y,Y,N,N,Y,Y,N,N,N,Y,N,223.13
Y,N,Y,Y,Y,Y,Y,N,N,N,Y,268.55
Y,Y,Y,Y,Y,N,N,Y,N,Y,N,247.80
Y,N,Y,Y,N,N,Y,N,N,N,Y,250.16
Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,253.65
Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,218.50
Y,Y,N,Y,N,N,N,Y,N,N,N,238.62
Y,Y,N,Y,N,Y,N,Y,N,Y,N,232.96
Y,N,N,N,Y,Y,N,Y,N,Y,N,201.97
Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,260.41
Y,N,N,N,Y,Y,N,Y,N,N,Y,215.20
Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,251.91
Y,N,N,Y,Y,N,N,Y,N,N,Y,264.74
Y,Y,Y,Y,N,N,Y,N,N,Y,N,247.77
Y,N,N,Y,Y,Y,Y,N,Y,N,N,213.97
Y,Y,N,Y,N,N,Y,N,N,Y,N,232.86
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,248.58
Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,251.57
Y,N,N,Y,Y,N,Y,Y,Y,N,N,214.31
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,255.36
Y,Y,Y,Y,N,N,N,Y,N,Y,N,248.97
Y,N,Y,N,Y,Y,Y,N,N,N,N,232.66
Y,Y,Y,Y,N,Y,Y,N,N,Y,N,251.52
Y,N,N,Y,N,N,Y,Y,N,Y,Y,261.13
Y,N,Y,N,N,N,N,Y,N,Y,Y,233.66
Y,N,N,N,Y,Y,Y,N,N,N,N,206.62
Y,Y,N,Y,N,N,Y,N,N,N,Y,253.98
Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,242.74
Y,Y,N,N,Y,Y,Y,N,N,N,N,230.59
Y,N,N,Y,Y,N,Y,N,N,N,N,214.34
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,262.94
Y,Y,Y,Y,N,Y,Y,N,Y,N,N,252.14
Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,262.60
Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,235.96
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,235.23
Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,248.74
Y,N,Y,N,N,Y,Y,N,N,Y,N,222.19
Y,N,Y,N,N,N,Y,Y,Y,Y,Y,232.47
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,245.70
Y,Y,Y,Y,N,N,N,N,N,N,Y,253.15
Y,Y,N,Y,Y,N,Y,Y,Y,N,N,237.52
Y,Y,N,N,N,Y,Y,Y,Y,N,Y,237.47
Y,Y,N,N,N,Y,Y,N,Y,N,Y,235.51
Y,Y,N,Y,N,N,Y,Y,N,Y,Y,246.87
Y,N,Y,N,N,Y,Y,N,Y,N,Y,232.64
Y,Y,Y,N,Y,Y,N,N,N,N,Y,254.73
Y,N,Y,N,N,N,Y,Y,N,N,Y,233.54
Y,N,N,Y,Y,N,Y,N,Y,Y,Y,261.84
Y,N,N,N,Y,N,Y,N,Y,Y,Y,218.20
Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,263.58
Y,N,Y,Y,N,Y,Y,N,Y,N,N,228.47
Y,Y,N,Y,N,Y,Y,N,N,Y,N,237.87
Y,Y,Y,N,N,Y,Y,Y,N,Y,N,240.98
Y,N,Y,N,Y,N,Y,Y,Y,Y,N,223.42
Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,263.19
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,261.85
Y,N,N,Y,N,Y,N,Y,N,N,Y,263.58
Y,N,Y,N,Y,Y,Y,Y,N,Y,N,220.82
Y,N,Y,N,N,N,Y,N,Y,N,N,218.82
