Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,Y,N,N,N,N,Y,N,N,900
Y,Y,Y,N,N,Y,Y,Y,N,1860
Y,N,Y,N,Y,Y,N,N,N,1830
Y,Y,Y,Y,N,N,N,N,Y,1170
Y,Y,N,Y,Y,Y,Y,N,N,900
Y,Y,Y,N,N,N,Y,N,N,1830
Y,Y,N,N,Y,N,Y,N,N,930
Y,N,N,N,Y,N,Y,N,N,1140
Y,N,N,N,Y,N,N,Y,N,1410
Y,N,N,N,N,N,N,N,N,1200
Y,Y,Y,Y,N,Y,N,Y,N,1890
Y,Y,Y,Y,Y,Y,N,N,N,1920
Y,Y,Y,Y,Y,N,Y,N,Y,1200
Y,Y,N,N,N,N,N,N,N,990
Y,N,N,Y,Y,Y,Y,N,N,1110
Y,Y,Y,Y,N,Y,Y,Y,N,1860
Y,N,N,N,Y,N,Y,Y,N,1380
Y,Y,Y,N,Y,N,N,N,N,1950
Y,N,Y,N,N,N,N,N,Y,1200
Y,N,Y,N,Y,Y,N,Y,N,2190
Y,Y,N,N,Y,Y,N,N,N,900
Y,Y,Y,Y,Y,Y,Y,N,N,1800
Y,N,Y,Y,N,N,Y,N,N,2130
Y,N,Y,N,Y,N,Y,Y,N,2430
Y,N,Y,Y,Y,Y,N,Y,N,2190
Y,N,N,Y,N,Y,N,N,Y,1110
Y,N,Y,Y,Y,Y,Y,Y,N,2070
Y,N,Y,Y,Y,Y,Y,N,N,1890
Y,Y,Y,N,N,N,Y,N,Y,1020
Y,N,N,N,N,Y,N,Y,N,1260
Y,N,Y,N,N,Y,N,N,N,1770
Y,N,N,Y,Y,N,Y,Y,N,1380
Y,N,Y,N,Y,Y,Y,Y,N,2100
Y,Y,Y,Y,N,N,Y,N,N,2010
Y,N,N,N,N,N,Y,N,Y,1080
Y,Y,N,Y,N,N,Y,N,Y,960
Y,Y,N,Y,Y,Y,Y,Y,N,990
Y,N,Y,N,N,N,Y,Y,N,2250
Y,N,N,N,Y,N,Y,N,N,1140
Y,Y,N,Y,Y,N,N,Y,N,1140
Y,Y,Y,Y,Y,N,Y,Y,N,2190
Y,N,N,Y,N,N,N,N,Y,1200
Y,N,N,N,N,N,N,Y,N,1410
Y,Y,Y,Y,N,Y,N,Y,N,1890
Y,N,Y,N,Y,N,Y,Y,N,2430
