N,N2,N3,M,ALL
900,1260,1110,1260,1200
1860,1110,1140,960,2100
1830,1350,1230,2130,2310
1170,990,2100,990,1260
900,1770,900,1890,1140
1830,1380,2490,2100,2100
930,1950,1020,2250,1980
1140,1080,1230,2430,1110
1410,990,2130,1200,2160
1200,990,1170,1080,990
1890,2280,2190,990,1890
1920,1890,1170,1890,1020
1200,930,1890,2430,1020
990,840,1170,1020,960
1110,990,2070,1200,2160
1860,1140,1140,2130,1860
1380,1200,1140,2280,1470
1950,930,1050,1320,2640
1200,2190,1230,2070,1380
2190,960,1140,1890,2430
900,1950,1200,1260,1140
1800,1050,2430,990,1080
2130,1950,1020,2070,2340
2430,1080,1110,960,1830
2190,1200,1980,1290,2190
1110,1050,2370,1020,1260
2070,1140,960,2040,2190
1890,1770,1380,1770,1020
1020,1260,1800,1410,2100
1260,1020,1410,1380,1230
1770,990,2280,1080,990
1380,930,2010,1920,2070
2100,930,2190,1140,1860
2010,1620,1080,2220,1230
1080,2310,1020,1680,1140
960,2100,1080,840,1080
990,900,2040,1080,1050
2250,1080,1410,1110,1080
1140,2220,1200,1890,1260
1140,840,1770,1050,1200
2190,1170,960,930,1200
1200,990,2160,2040,1050
1410,900,1140,1140,1200
1890,2100,1080,2190,1140
2430,1140,1260,1620,1200
,1680,990,2130,990
,870,960,990,1230
,900,1230,1050,1110
,1080,1050,1830,1140
,1920,2070,1230,1050
,1140,1020,1860,1110
,1320,2130,1140,1200
,1050,1170,1200,1350
,1260,1170,1200,1230
,1380,1200,2430,1260
,1140,1470,1080,1290
,2100,1170,1410,1950
,870,1020,1110,1020
,1020,2130,1110,1320
,2250,1320,2190,1230
,2190,990,1020,1380
,1980,2190,1680,1110
,1050,1260,1050,1200
,2370,1140,1080,1110
,1110,1320,1740,1350
,2070,960,1920,1200
,1350,2220,1200,1230
,990,900,2640,1740
,1980,1860,1410,1170
,990,2040,1080,990
,2340,1260,1020,960
,1260,990,1230,930
,2430,2460,1230,870
,1080,900,990,1020
,1740,2070,2160,930
,1380,1050,1110,960
,1170,1950,1170,900
,2010,1290,1950,1140
,2160,2010,1980,1320
,960,1020,870,1020
,900,1020,2250,1320
,900,1140,960,1170
,1050,1170,1260,1200
,1200,1920,2370,1080
,930,1080,1890,1140
,1020,2190,1110,1500
,900,1200,1860,990
,1290,1320,1230,960
,2040,1080,1890,930
,990,1200,960,2220
,,1380,1380,870
,,1050,1350,1170
,,840,960,1080
,,2190,1020,1170
,,1230,1080,1470
,,1980,1050,1050
,,2190,1200,990
,,960,930,1050
,,1260,1140,1200
,,1020,1170,930
,,1770,2490,1230
,,1200,1980,1170
,,1080,1920,870
,,1230,1080,870
,,960,1920,2040
,,1140,1260,2130
,,1110,900,1350
,,1020,960,1170
,,1170,930,2370
,,1200,1320,2190
,,1470,1770,1170
,,1320,1170,1980
,,1920,930,1200
,,1200,1920,2040
,,960,900,1080
,,2070,1860,1110
,,1230,1320,1110
,,1410,1800,1830
,,1890,1860,1890
,,1050,2100,990
,,2130,1290,1950
,,1230,2070,900
,,1170,2430,1830
,,1980,1890,900
,,2430,1020,840
,,1320,1140,1710
,,960,1380,1920
,,930,1260,1620
,,1170,2130,1050
,,930,1140,2130
,,1290,1080,930
,,2190,1890,1890
,,870,1740,960
,,1140,1110,900
,,990,1320,2010
,,,1920,1770
,,,930,960
,,,2220,1080
,,,1860,1950
,,,1110,930
,,,1320,1890
,,,990,1080
,,,840,990
,,,900,2220
,,,1230,2070
,,,,900
,,,,1770
,,,,960
,,,,1020
,,,,1920
,,,,840
,,,,900
,,,,1680
,,,,1800
,,,,1410
,,,,2490
,,,,1290
,,,,2250
,,,,1260
,,,,1770
,,,,1140
,,,,2130
,,,,1980
,,,,1410
,,,,2400
,,,,1320
,,,,2190
,,,,1380
,,,,1230
,,,,2430
,,,,1680
,,,,2100
,,,,1110
,,,,2280
,,,,1020
,,,,2160
,,,,1140
,,,,1050
,,,,2280
,,,,2190
,,,,1020
,,,,1200
,,,,1980
,,,,1020
,,,,2070
,,,,930
,,,,960
,,,,1860
,,,,1920
,,,,1410
,,,,2460
,,,,1320
