N,N2,N3,M,All
1.2708,0.4787,0.3825,39.085,0.5029
2.0922,0.4719,5.8484,6.5194,0.5682
6.5121,6.5221,0.4617,0.4457,3.2676
5.8433,37.7686,0.369,6.5143,0.5394
0.6317,1.3028,37.8259,1.3083,6.5127
10.9543,0.9265,2.0703,2.3856,5.8566
6.529,0.5174,0.6412,0.4851,6.5093
10.7481,3.2277,5.8621,3.2979,5.8708
0.5038,0.627,10.7633,2.0726,6.5311
0.9181,3.2462,0.4513,10.7153,6.5117
0.5159,2.0874,21.3124,6.5006,5.8709
2.0415,0.5012,0.7684,0.7521,5.8449
38.946,0.5386,0.5007,10.9066,0.4676
2.0653,10.8925,1.2546,0.4761,0.3748
6.538,37.6542,2.0435,2.1163,0.5266
0.5273,0.6403,0.6571,2.0204,0.4742
1.2596,0.6396,37.8014,10.7332,0.5337
2.3746,5.832,0.4787,5.8613,6.5416
3.2609,10.8937,5.8309,2.1361,6.5501
21.236,0.5385,0.5773,10.9169,5.8636
0.7537,3.2768,0.513,37.7692,5.8617
0.7498,0.79,0.9257,1.3119,0.4789
0.5042,0.9301,0.7546,0.5154,0.5283
0.3881,0.7519,10.7072,0.5192,6.522
37.6526,3.2324,6.5243,21.2706,2.0329
6.5501,0.4976,2.0237,0.5068,5.8585
1.2644,0.7767,21.2474,0.3877,0.4787
0.9278,5.8519,0.9492,38.8811,6.5301
21.2548,2.037,0.3851,0.9295,0.5322
2.1655,21.1766,0.5059,19.9787,5.8455
10.7315,3.2085,0.647,6.5046,0.4785
39.0416,6.5161,0.6433,0.3881,10.7562
19.9904,1.3158,3.2684,1.3092,0.7546
10.9184,37.8092,0.4663,3.3196,10.9212
0.5131,0.9292,2.031,38.9802,0.5015
38.9813,0.5005,2.1691,21.2664,0.3861
0.3637,0.5738,0.4067,0.3874,0.7514
5.8404,19.9532,0.5355,19.9932,10.7736
0.7576,0.6247,19.9767,0.9473,10.9093
37.6887,5.8321,0.5198,3.3019,0.5106
0.5115,2.0939,1.2467,0.7692,10.725
0.4973,6.5083,2.0393,10.7401,0.4991
5.8404,0.5382,0.5164,37.7633,10.7364
0.4593,10.7352,2.0258,0.5303,0.7562
38.9492,2.0403,2.1472,0.573,0.742
10.904,0.6412,39.0384,0.3905,10.9029
0.4501,3.2851,3.2403,0.5042,2.0843
0.383,21.2877,10.756,38.8429,10.9054
0.3671,0.443,3.2012,0.9385,0.5022
0.7592,38.973,3.2566,21.2163,10.7314
37.6059,0.6366,0.6435,6.5245,0.7347
6.4936,5.8231,0.5399,10.7633,10.8926
2.1513,19.9962,10.9178,0.5135,0.5013
0.5024,6.5196,2.0868,3.2324,0.7413
0.5731,2.1506,0.5227,2.0435,10.7426
0.3671,1.2569,0.5387,3.2995,10.9174
2.0237,19.9483,0.7566,21.2791,0.5031
20.0178,10.7475,37.8282,6.5272,0.5264
37.5656,10.7398,0.627,38.9317,10.7292
0.3671,6.5342,2.0223,0.503,0.4973
1.2486,0.6413,1.2462,1.2475,10.7242
0.5382,21.2736,21.2486,0.7793,0.7475
38.9584,10.7338,5.8613,6.514,0.7474
0.3898,0.5288,21.2784,1.2566,10.9249
38.9775,0.5803,0.5128,3.2291,10.9099
2.1022,2.094,0.9225,1.3164,0.5085
0.4483,2.0651,21.298,0.5254,10.7475
37.7456,0.52,2.0286,38.9977,0.7726
21.2861,0.7753,0.6247,20.0278,0.5774
0.5184,3.2768,0.5237,0.3676,10.9437
0.4785,37.701,1.2534,2.031,0.5102
0.5192,0.5322,0.9324,0.4443,0.7711
5.8593,0.6444,20.0248,0.4619,10.745
2.0361,2.3648,1.2566,10.7431,10.9276
37.8338,19.948,38.9881,0.5148,0.5124
10.7131,0.5679,6.5215,19.9225,10.703
6.5416,0.6434,1.2577,10.7301,0.518
2.3697,0.9204,6.533,0.9247,10.71
6.5046,0.4653,20.0033,0.3944,0.7508
0.4455,2.0156,0.6435,0.7819,0.3763
5.8492,0.952,0.5273,0.5144,0.7626
2.3672,10.9178,10.717,0.5019,10.901
0.7472,20.0216,2.156,0.9237,10.9158
0.5124,0.6332,0.4733,0.6176,0.5203
0.7684,2.1604,10.8994,19.9822,10.7398
38.9276,1.2604,0.6414,1.2596,0.7715
6.5054,2.0428,2.0814,5.8699,10.9396
0.5386,1.3158,39.0639,0.4545,0.5202
21.2395,10.7624,1.2666,0.7732,0.7569
6.4975,5.8252,0.9244,0.3728,10.7072
,0.5204,0.6176,0.4533,0.3897
,21.2188,2.0393,5.8444,10.9192
,37.6677,2.3908,1.258,0.5254
,38.9026,0.5013,6.5093,10.7362
,1.2548,3.2654,39.0699,0.5239
,0.64,3.2226,0.9215,10.7517
,6.5317,2.0721,0.5399,0.773
,0.4455,10.8961,3.2784,0.7498
,1.2566,21.2141,0.6443,10.9284
