N,N2,N3,M,All
5263,5420,5220,14761,3451
16399,14562,3138,14627,3138
5274,16399,5263,5350,3314
3155,3336,3269,3232,3398
4879,16531,3089,3336,3269
5465,4920,3264,3161,3333
5230,4879,5091,4897,5231
3268,4903,5228,3065,5289
3182,3127,3457,5310,5235
4787,14727,4913,3299,5304
5304,5256,4907,3264,5241
5289,14656,4951,5216,5338
2960,4880,3258,5342,3269
5548,3532,3341,16427,3139
14852,4698,5230,3358,3264
14786,3157,5515,3325,3153
3269,5295,4957,3178,3161
5342,3512,4880,5494,3512
4792,3358,5235,3127,5228
3532,5090,5256,3167,5328
16342,5390,3165,3268,5220
16440,3238,14710,14905,5310
3358,16442,3333,5231,5309
5508,14594,3232,5435,5328
3053,5467,16342,5462,14638
3138,5510,14852,3182,14761
4759,3139,3429,14727,14562
16399,3138,5419,5295,14786
5316,5233,5467,5090,14580
16427,4913,14786,4903,14905
14694,3232,16401,14852,4714
3154,3053,3325,5510,4881
5274,5310,5465,4907,4768
3171,3333,16427,5309,4879
5263,4953,5510,16401,4787
5186,4668,5295,5548,4903
3161,5228,4698,3258,3182
5463,5328,3053,3143,3232
5235,4714,3139,5328,3299
5419,3195,5508,3216,3428
5194,4881,3106,5457,3268
5339,4705,5548,5256,3412
5361,5241,5045,14667,3089
4957,16351,3167,5432,3605
4943,3517,5338,3139,3271
3182,14653,5314,5091,3341
5314,5502,3178,16479,3053
3195,5419,14653,5045,3429
4714,14710,16448,3412,5194
4953,5235,3269,4951,5350
5220,3155,3512,3333,5463
3106,3154,3153,3085,5468
14638,4705,4898,5467,5231
4714,3232,5421,4897,5432
5350,5387,16392,3457,5308
3143,3230,5090,16351,5515
3451,14562,5387,3177,5263
5045,3155,14580,3512,5316
4951,5045,5494,5295,5435
3185,3269,4881,3299,5494
5241,14905,4879,14905,5207
5241,4787,3065,3249,5365
16531,3165,5044,3358,5295
3153,4943,4920,3424,5486
5361,5499,5449,5263,5256
4668,14685,4669,4669,5449
5295,3171,5350,5494,5328
16342,5235,5361,16399,5510
3232,14667,14727,16442,5235
4957,5365,5462,3167,5387
4881,5233,3303,14594,5421
4787,16399,3347,5062,5502
3532,4894,3171,3336,3249
5231,5274,16531,5462,3065
5468,14785,14785,5339,3177
3269,4759,14905,3161,3235
3177,5256,5048,5048,3263
3424,3085,4705,5508,3143
2960,4792,14710,3269,3085
3058,3258,3517,2986,3058
5045,3161,5354,16448,3216
4705,16440,16342,5091,3336
3161,3532,3532,5316,3347
5449,4920,14744,4913,3517
14653,16401,5256,5457,5216
3238,5343,3238,3269,5361
4787,5314,3347,3605,5356
4792,14744,3195,4903,5462
3428,3457,3314,5354,5233
3358,5356,14594,14580,5343
5231,4669,5309,14656,5390
5390,14656,5207,14727,5548
5457,14580,3143,5207,5274
5432,5314,5356,14852,5419
5510,3336,5486,5241,5314
16427,16427,4705,5314,5508
3269,5228,5494,3605,2986
16446,5241,5510,5235,3155
3089,5449,3106,5328,3171
3336,3058,5048,3429,3325
3424,3314,14905,3269,3157
14685,4951,3451,5462,2960
5468,3167,5091,5387,3154
3138,3127,5339,3532,3424
3532,16399,16399,2960,3195
5310,5316,14667,5207,3258
5207,5256,5387,3138,3155
5048,5048,5361,3299,3457
3325,4668,5274,3167,3165
5186,5494,5548,5241,3106
3424,3195,4669,14594,3161
3249,3451,2986,3127,3303
14710,3303,5241,16448,3178
5263,3138,3230,3161,3127
16531,3268,16448,5449,3185
14785,3341,5465,5231,3167
3216,5314,5449,5309,3532
5435,16342,3235,16351,3238
3127,5309,4951,16427,3358
4792,5308,16351,3195,3230
3303,5468,16440,5220,5186
14905,14685,3053,3216,5354
3058,4920,5502,14694,5342
4705,3106,4879,3161,5499
3155,16479,16427,3269,5230
5241,16427,3605,5233,5465
5421,3347,3429,5044,5314
3139,14694,4957,3053,5457
5090,14744,5420,3314,5241
5230,4879,14786,3182,5339
,5361,5233,5231,5420
,2960,14638,5186,5467
,5231,3269,4907,14685
,14594,3085,5263,16342
,4787,3268,4898,14744
,14627,16479,3058,16479
,4898,3139,5361,14594
,3053,14562,4915,14694
,5289,14694,3412,16351
,3258,5499,3268,16440
,5499,3303,5421,14785
,5230,5365,16442,16399
,5231,5390,4879,14656
,4881,14627,3085,16448
,3358,4880,5361,14653
,16351,5508,3264,14852
,4953,5314,5387,16427
,4915,4953,5421,16446
,2986,3341,5194,14627
,5350,5304,14653,14710
,14656,5241,16479,16401
,3165,4894,3605,16531
,3314,4897,5354,14667
,4894,3089,4880,16392
,3299,3428,5339,14727
,5467,4714,4787,16442
,5510,5354,5256,4705
,4953,14727,5230,4894
,5432,5048,5457,4951
,4951,5432,16392,5045
,16399,16446,4897,4759
,5230,5316,5308,4920
,3154,16448,5328,4915
,3161,3238,5314,5048
,5228,14667,5390,4668
,5308,5230,3232,4897
,14653,3451,5350,4957
,5486,3428,16399,5091
,3182,3155,4759,4669
,3269,3269,5207,4898
,16448,3153,3127,4907
,16351,4903,5235,5044
,5186,3424,16531,4698
,14727,5044,4907,4943
,3605,3230,14905,4913
,4714,3303,5220,5090
,3398,3268,3412,4792
,14852,3299,5462,4880
,14744,4953,3428,4953
,4881,5343,3235,5062
,14694,3143,5463,
,5216,16442,5263,
,14710,5486,5228,
,3155,14905,3185,
,3303,16479,5365,
,5062,3157,14656,
,5465,5463,4792,
,3269,3347,5499,
,14580,3089,5449,
,5338,14685,14638,
,3138,4792,3139,
,4897,3325,3138,
,5499,5231,5486,
,3429,14785,3127,
,3085,5365,3089,
,3058,14594,3154,
,4915,5465,3232,
,3153,3341,3457,
,5314,3333,4894,
,4943,3167,4759,
,3065,5328,5421,
,3230,5220,5235,
,5457,5420,5502,
,14594,3185,5457,
,2960,3232,3153,
,4907,5194,14653,
,3053,4705,4698,
,3157,14761,5356,
,5343,3457,3424,
,16448,14562,5420,
,3336,3195,3336,
,5309,14638,4920,
,14656,3161,5304,
,3143,5356,3157,
,14761,3517,3230,
,3230,5186,5045,
,14786,5435,3605,
,3139,5309,3177,
,16392,5462,14710,
,3185,5256,5328,
,3264,3263,16399,
,5342,5314,5342,
,5387,5421,14685,
,3358,5457,16440,
,14594,14852,3299,
,16427,5090,5256,
,5044,4880,3333,
,5499,5390,5207,
,3341,14786,14667,
