N,N2,N3,M,All
651.64,581.107,703.5,437.92,268.72
536.95,644.157,291.643,494.597,268.017
581.407,507.247,427.66,687.6,276.103
381.123,521.7,476.9,543.083,275.427
424.49,455.72,680.557,476.953,260.267
615.057,537.143,429.643,260.637,266.483
476.997,279.903,713.39,266.527,259.807
263.643,264.38,251.573,278.197,266.19
272.053,299.85,564.093,579.023,268.557
247.517,715.25,279.247,517.123,267.853
612.97,246.273,256.667,428.027,260.41
510.21,263.91,587.24,260.48,259.903
555.613,561.96,305.173,821.51,275.92
264.33,286.427,617.207,562.923,266.527
576.247,378.283,687.6,485.477,275.373
268.883,652.653,299.707,253.01,266.113
482.64,446.25,263.373,817.793,268.773
456.37,424.89,291.173,456.74,268.17
510.857,482.377,499.27,254.733,276.03
564.063,446.64,304.997,817.34,275.69
583.847,426.443,295.503,446.63,268.603
631.583,715.907,262.563,261.31,275.957
609.2,251.87,408.683,614.57,268.11
652.55,295.683,713.673,434.643,275.31
671.73,482.083,509.273,266.51,260.48
713.577,277.853,246.273,286.327,259.963
262.567,421.113,508.423,263.887,260.38
445.213,809.937,631.283,279.013,259.84
741.59,809.97,607.377,690.59,266.67
286.427,275.957,449.383,512.773,266.51
521.7,259.807,537.143,575.477,266.22
433.927,462.473,665.223,446.68,266.273
427.07,817.793,817.353,449.383,305.4
254.033,580.41,644.357,609.33,304.9
381.403,295.61,690.217,310.697,310.58
706.59,535.697,741.887,256.82,310.177
251.587,433.693,612.643,291.2,295.47
263.823,247.507,263.363,616.087,299.66
521.443,666.553,380.147,270.137,295.367
279.267,299.677,714.667,428.427,299.637
259.84,476.31,571.51,544.823,305.26
587.24,425.873,444.6,544.58,304.967
613.763,256.34,487.373,783.877,295.507
780.757,447.647,576.217,651.703,295.257
498.49,513.233,440.41,427.243,310.52
510.837,444.607,671.4,249.64,299.77
715.993,266.67,428.16,449.133,310.153
573.63,498.49,652.653,583.847,299.637
482.877,780.93,581.513,310.327,305.283
286.337,295.683,781.163,299.907,304.997
588.2,545.017,462.473,508.423,310.577
290.917,279.757,666.33,608.68,310.217
254.733,305.443,711.233,726.79,305.48
561.933,286.427,361.703,257.927,310.793
291.577,256.82,517.123,652.467,304.94
310.673,516.22,590.18,476.997,310.29
519.413,427.243,613.447,715.737,295.59
299.77,275.92,362.613,275.427,295.333
432.03,506.36,485.59,244.23,295.527
367.067,588.2,544.58,518.96,295.41
427.66,487.373,575.7,408.073,299.69
672.137,666.493,268.207,482.877,299.843
