"","Performance","freqAll","freqN1","freqN2","freqN3","freqPW"
"1",0.5029,0.000390625,0,0,0,0
"2",0.5682,0.000390625,0,0,0.0037037037037037,0
"3",3.2676,0.000390625,0,0,0,0
"4",0.5394,0.000390625,0,0,0,0
"5",6.5127,0.000390625,0,0,0,0
"6",5.8566,0.000390625,0,0,0,0
"7",6.5093,0.000390625,0,0.00555555555555555,0,0.00431654676258993
"8",5.8708,0.000390625,0,0,0,0
"9",6.5311,0.000390625,0,0,0,0
"10",6.5117,0.000390625,0,0,0,0
"11",5.8709,0.000390625,0,0,0,0
"12",5.8449,0.000390625,0,0,0,0
"13",0.4676,0.00078125,0,0,0,0
"14",0.3748,0.000390625,0,0,0,0
"15",0.5266,0.00078125,0,0,0.0037037037037037,0
"16",0.4742,0.000390625,0,0,0,0
"17",0.5337,0.000390625,0,0,0,0
"18",6.5416,0.000390625,0.0111111111111111,0,0,0.00143884892086331
"19",6.5501,0.000390625,0.0111111111111111,0,0,0
"20",5.8636,0.000390625,0,0,0,0
"21",5.8617,0.000390625,0,0,0,0
"22",0.4789,0.000390625,0,0,0,0.00143884892086331
"23",0.5283,0.00078125,0,0,0,0
"24",6.522,0.000390625,0,0,0,0.00143884892086331
"25",2.0329,0.000390625,0,0,0,0
"26",5.8585,0.000390625,0,0,0,0
"27",0.4787,0.00078125,0,0.00555555555555555,0.0037037037037037,0.00143884892086331
"28",6.5301,0.000390625,0,0,0,0
"29",0.5322,0.00078125,0,0.00555555555555555,0,0
"30",5.8455,0.000390625,0,0.00555555555555555,0,0.00287769784172662
"31",0.4785,0.001171875,0.0111111111111111,0,0,0
"32",10.7562,0.000390625,0,0,0,0
"33",0.7546,0.001171875,0,0,0.0037037037037037,0
"34",10.9212,0.001171875,0,0,0,0.00287769784172662
"35",0.5015,0.000390625,0,0,0,0
"36",0.3861,0.00078125,0,0.00555555555555555,0,0
"37",0.7514,0.00078125,0,0,0,0
"38",10.7736,0.000390625,0,0,0,0
"39",10.9093,0.00078125,0,0,0,0.00143884892086331
"40",0.5106,0.000390625,0,0,0,0
"41",10.725,0.000390625,0,0,0,0
"42",0.4991,0.000390625,0,0,0,0.00143884892086331
"43",10.7364,0.000390625,0,0,0,0
"44",0.7562,0.000390625,0,0,0,0
"45",0.742,0.000390625,0,0,0,0
"46",10.9029,0.000390625,0,0,0,0
"47",2.0843,0.000390625,0,0,0,0
"48",10.9054,0.000390625,0,0.00555555555555555,0,0.00143884892086331
"49",0.5022,0.00078125,0,0,0.0037037037037037,0.00143884892086331
"50",10.7314,0.000390625,0,0,0,0
"51",0.7347,0.000390625,0,0,0,0
"52",10.8926,0.000390625,0,0,0,0.00143884892086331
"53",0.5013,0.000390625,0,0,0.0037037037037037,0
"54",0.7413,0.000390625,0,0,0,0
"55",10.7426,0.000390625,0,0,0.0037037037037037,0
"56",10.9174,0.000390625,0,0,0,0
"57",0.5031,0.000390625,0,0,0,0
"58",0.5264,0.000390625,0,0,0,0
"59",10.7292,0.000390625,0,0,0,0
"60",0.4973,0.000390625,0.0111111111111111,0,0,0
"61",10.7242,0.000390625,0,0,0,0.00143884892086331
"62",0.7475,0.00078125,0,0,0,0.00143884892086331
"63",0.7474,0.000390625,0,0,0,0
"64",10.9249,0.00078125,0,0,0,0
"65",10.9099,0.000390625,0,0,0,0
"66",0.5085,0.000390625,0,0,0,0
"67",10.7475,0.00078125,0,0.00555555555555555,0.0037037037037037,0.00143884892086331
"68",0.7726,0.000390625,0,0,0,0.00143884892086331
"69",0.5774,0.000390625,0,0,0,0.00143884892086331
"70",10.9437,0.000390625,0,0,0,0
"71",0.5102,0.001171875,0,0,0,0.00143884892086331
"72",0.7711,0.000390625,0,0,0,0
"73",10.745,0.000390625,0,0,0,0
"74",10.9276,0.000390625,0,0,0,0
"75",0.5124,0.000390625,0.0111111111111111,0,0.0037037037037037,0
"76",10.703,0.000390625,0,0,0,0
"77",0.518,0.001171875,0,0,0.0037037037037037,0.00143884892086331
"78",10.71,0.000390625,0,0,0,0
"79",0.7508,0.0015625,0,0,0.0037037037037037,0
"80",0.3763,0.000390625,0,0,0,0.00143884892086331
"81",0.7626,0.000390625,0,0,0,0
"82",10.901,0.000390625,0,0,0,0
"83",10.9158,0.000390625,0,0,0,0
"84",0.5203,0.00078125,0,0,0,0
"85",10.7398,0.000390625,0,0.00555555555555555,0,0.00143884892086331
"86",0.7715,0.000390625,0,0,0,0.00143884892086331
"87",10.9396,0.00078125,0,0,0,0
"88",0.5202,0.001171875,0,0,0,0
"89",0.7569,0.000390625,0,0,0,0
