Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,Y,N,N,N,N,Y,N,N,900
Y,Y,N,Y,Y,N,N,N,N,1080
Y,Y,Y,Y,Y,N,N,N,N,2220
Y,Y,N,N,N,Y,Y,N,N,840
Y,Y,Y,Y,N,N,Y,N,Y,1170
Y,Y,N,Y,N,Y,N,Y,N,990
Y,Y,N,Y,Y,Y,Y,N,N,900
Y,N,Y,Y,N,Y,N,Y,N,2100
Y,N,N,Y,Y,Y,N,N,Y,1140
Y,Y,Y,N,Y,Y,Y,N,N,1680
Y,Y,N,Y,N,Y,Y,N,Y,870
Y,Y,N,N,N,Y,N,N,N,900
Y,Y,Y,Y,N,Y,N,N,Y,1080
Y,N,Y,N,N,N,Y,N,N,1920
Y,N,N,N,N,Y,Y,Y,N,1140
Y,Y,Y,N,Y,N,N,N,Y,1320
Y,N,N,N,N,Y,N,N,Y,1050
Y,N,N,N,N,Y,N,Y,N,1260
