Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,N,Y,N,N,Y,Y,N,1320
Y,Y,Y,Y,Y,Y,Y,N,N,1800
Y,Y,Y,Y,N,Y,Y,Y,N,1860
Y,N,Y,Y,N,Y,N,Y,N,2100
Y,N,N,N,N,N,Y,Y,N,1290
Y,Y,Y,N,Y,Y,N,Y,N,2070
Y,N,Y,Y,Y,N,Y,Y,N,2430
Y,Y,Y,Y,N,Y,N,Y,N,1890
Y,Y,N,N,Y,Y,N,Y,N,1020
Y,Y,N,N,Y,N,N,Y,N,1140
Y,N,Y,N,Y,N,N,N,Y,1380
Y,N,Y,N,N,Y,Y,N,Y,1260
Y,N,Y,Y,N,N,Y,N,N,2130
Y,N,N,Y,Y,Y,N,N,Y,1140
Y,Y,N,Y,Y,N,Y,Y,N,1080
Y,Y,Y,N,Y,N,Y,N,N,1890
Y,N,Y,N,Y,Y,Y,N,N,1740
Y,N,Y,N,Y,N,Y,N,Y,1110
Y,N,Y,Y,N,N,Y,N,Y,1320
Y,Y,Y,Y,Y,Y,N,N,N,1920
Y,Y,N,N,Y,N,Y,N,N,930
Y,Y,Y,Y,Y,N,N,N,N,2220
Y,Y,Y,N,N,Y,Y,Y,N,1860
Y,Y,N,N,N,N,N,Y,N,1110
Y,N,N,Y,N,N,N,N,N,1320
Y,Y,N,Y,Y,Y,Y,Y,N,990
Y,Y,N,N,Y,Y,Y,N,N,840
Y,Y,N,Y,Y,Y,Y,N,N,900
Y,N,N,Y,Y,N,Y,N,Y,1230
