time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,Y,N,N,Y,Y,N,Y,N,Y,233.00
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,256.18
Y,N,Y,Y,N,N,Y,Y,Y,Y,N,227.15
Y,Y,N,N,N,N,Y,N,Y,Y,N,226.57
Y,N,N,N,Y,Y,Y,Y,N,N,N,204.51
Y,N,N,N,Y,N,Y,Y,N,Y,Y,215.96
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,254.13
Y,Y,N,N,Y,Y,N,N,N,N,N,229.86
Y,Y,Y,N,Y,N,Y,Y,N,Y,N,240.41
Y,N,Y,N,Y,N,Y,N,N,N,N,222.82
Y,N,Y,N,N,N,Y,N,Y,N,N,218.82
Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,215.95
Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,251.52
Y,N,N,Y,N,N,Y,N,Y,N,N,209.70
Y,Y,Y,N,Y,N,N,Y,N,N,N,246.27
Y,Y,N,N,N,N,Y,N,Y,N,Y,232.62
Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,244.23
Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,251.30
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,254.12
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,255.36
Y,N,Y,N,N,Y,N,N,N,N,N,224.73
Y,Y,N,Y,Y,N,N,Y,N,N,N,239.56
