OperatingSystemCharacteristics,SQLITE_SECURE_DELETE,ChooseSQLITE_TEMP_STORE,SQLITE_TEMP_STOREzero,SQLITE_TEMP_STOREone,SQLITE_TEMP_STOREtwo,SQLITE_TEMP_STOREthree,EnableFeatures,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,DisableFeatures,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,OmitFeatures,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,Options,SetAutoVacuum,AutoVacuumOff,AutoVacuumOn,SetCacheSize,StandardCacheSize,LowerCacheSize,HigherCacheSize,LockingMode,ExclusiveLock,NormalLockingMode,PageSize,StandardPageSize,LowerPageSize,HigherPageSize,HighestPageSize,Performance
Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,14.322
Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,15.911
Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,15.514
Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,13.432
Y,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,14.940
Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,15.313
Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,13.474
Y,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,15.002
Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,15.034
Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,14.000
