no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,783.777
Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,509.803
Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,263.363
Y,Y,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,287.113
Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,487.117
Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,253.080
Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,486.637
Y,N,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,510.837
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,444.380
Y,N,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,262.567
Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,299.690
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,462.473
Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,476.863
Y,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,256.820
Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,508.340
Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,492.427
Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,508.623
Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,726.600
Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,268.110
Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,687.600
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,263.643
Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,286.440
Y,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,509.523
Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,379.400
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,645.380
Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,680.563
Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,310.287
Y,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,482.877
Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,807.017
Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,275.417
Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,448.530
Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,486.827
Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,604.917
Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,276.027
Y,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,270.153
Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,652.550
Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,732.007
Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,544.580
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,439.020
Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,683.420
Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,266.483
Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,427.477
Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,295.680
Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,299.850
Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,278.077
Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,573.400
Y,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,260.410
Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,269.950
