worker_id,hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,check,preset,extreme,sparse,size,time
78,i686,1495,1,4096,773036,none,0,#NAME?,#NAME?,12344,132.94
78,i686,1495,1,4096,773036,none,0,#NAME?,,12344,132.79
78,i686,1495,1,4096,773036,none,-2,,#NAME?,13128,34.48
78,i686,1495,1,4096,773036,crc64,-5,#NAME?,#NAME?,11980,167.59
78,i686,1495,1,4096,773036,crc64,-5,#NAME?,,11980,167.96
78,i686,1495,1,4096,773036,crc64,-5,,#NAME?,12240,71.51
78,i686,1495,1,4096,773036,crc64,-5,,,12240,71.6
78,i686,1495,1,4096,773036,crc64,-6,#NAME?,#NAME?,11976,185.94
78,i686,1495,1,4096,773036,crc64,-6,#NAME?,,11976,186.34
78,i686,1495,1,4096,773036,crc64,-6,,#NAME?,12108,90.63
78,i686,1495,1,4096,773036,crc64,-6,,,12108,90.21
78,i686,1495,1,4096,773036,crc64,-7,#NAME?,#NAME?,11960,193.7
78,i686,1495,1,4096,773036,crc64,-7,#NAME?,,11960,193.55
78,i686,1495,1,4096,773036,none,-2,,,13128,34.5
78,i686,1495,1,4096,773036,crc64,-7,,#NAME?,12096,93.53
78,i686,1495,1,4096,773036,crc64,-7,,,12096,93.58
78,i686,1495,1,4096,773036,crc64,-8,#NAME?,#NAME?,11960,195.03
78,i686,1495,1,4096,773036,crc64,-8,#NAME?,,11960,195.61
78,i686,1495,1,4096,773036,crc64,-8,,#NAME?,12096,94.66
78,i686,1495,1,4096,773036,crc64,-8,,,12096,95.29
78,i686,1495,1,4096,773036,crc64,-9,#NAME?,#NAME?,11960,196.78
78,i686,1495,1,4096,773036,crc64,-9,#NAME?,,11960,198.04
78,i686,1495,1,4096,773036,crc64,-9,,#NAME?,12096,96.06
78,i686,1495,1,4096,773036,crc64,-9,,,12096,104.96
78,i686,1495,1,4096,773036,none,-3,#NAME?,#NAME?,12004,159.77
78,i686,1495,1,4096,773036,sha256,0,#NAME?,#NAME?,12344,133.4
78,i686,1495,1,4096,773036,sha256,0,#NAME?,,12344,133.57
78,i686,1495,1,4096,773036,sha256,0,,#NAME?,13808,21.88
78,i686,1495,1,4096,773036,sha256,0,,,13808,22.54
78,i686,1495,1,4096,773036,sha256,-1,#NAME?,#NAME?,12108,154.15
78,i686,1495,1,4096,773036,sha256,-1,#NAME?,,12108,154.45
78,i686,1495,1,4096,773036,sha256,-1,,#NAME?,13316,27.97
78,i686,1495,1,4096,773036,sha256,-1,,,13316,28.26
78,i686,1495,1,4096,773036,sha256,-2,#NAME?,#NAME?,12040,163.32
78,i686,1495,1,4096,773036,sha256,-2,#NAME?,,12040,163.96
78,i686,1495,1,4096,773036,none,-3,#NAME?,,12004,159.96
78,i686,1495,1,4096,773036,sha256,-2,,#NAME?,13128,36.28
78,i686,1495,1,4096,773036,sha256,-2,,,13128,36.38
78,i686,1495,1,4096,773036,sha256,-3,#NAME?,#NAME?,12004,161.22
78,i686,1495,1,4096,773036,sha256,-3,#NAME?,,12004,162.69
78,i686,1495,1,4096,773036,sha256,-3,,#NAME?,13036,47.37
78,i686,1495,1,4096,773036,sha256,-3,,,13036,47.22
78,i686,1495,1,4096,773036,sha256,-4,#NAME?,#NAME?,12000,174.45
78,i686,1495,1,4096,773036,sha256,-4,#NAME?,,12000,174.02
78,i686,1495,1,4096,773036,sha256,-4,,#NAME?,12560,59.95
78,i686,1495,1,4096,773036,sha256,-4,,,12560,60.38
78,i686,1495,1,4096,773036,none,-3,,#NAME?,13036,45.81
78,i686,1495,1,4096,773036,sha256,-5,#NAME?,#NAME?,11980,169.83
78,i686,1495,1,4096,773036,sha256,-5,#NAME?,,11980,169.86
78,i686,1495,1,4096,773036,sha256,-5,,#NAME?,12240,73.91
78,i686,1495,1,4096,773036,sha256,-5,,,12240,73.82
78,i686,1495,1,4096,773036,sha256,-6,#NAME?,#NAME?,11976,187.09
78,i686,1495,1,4096,773036,sha256,-6,#NAME?,,11976,188.96
78,i686,1495,1,4096,773036,sha256,-6,,#NAME?,12108,93.82
78,i686,1495,1,4096,773036,sha256,-6,,,12108,92.49
78,i686,1495,1,4096,773036,sha256,-7,#NAME?,#NAME?,11960,195.98
78,i686,1495,1,4096,773036,sha256,-7,#NAME?,,11960,196.06
78,i686,1495,1,4096,773036,none,-3,,,13036,45.79
78,i686,1495,1,4096,773036,sha256,-7,,#NAME?,12096,95.02
78,i686,1495,1,4096,773036,sha256,-7,,,12096,95.3
78,i686,1495,1,4096,773036,sha256,-8,#NAME?,#NAME?,11960,197.19
78,i686,1495,1,4096,773036,sha256,-8,#NAME?,,11960,197.61
78,i686,1495,1,4096,773036,sha256,-8,,#NAME?,12096,96.41
78,i686,1495,1,4096,773036,sha256,-8,,,12096,96.65
78,i686,1495,1,4096,773036,sha256,-9,#NAME?,#NAME?,11960,198.76
78,i686,1495,1,4096,773036,sha256,-9,#NAME?,,11960,198.66
78,i686,1495,1,4096,773036,sha256,-9,,#NAME?,12096,98.29
78,i686,1495,1,4096,773036,sha256,-9,,,12096,98.4
78,i686,1495,1,4096,773036,none,-4,#NAME?,#NAME?,12000,173.61
78,i686,1495,1,4096,773036,none,-4,#NAME?,,12000,172.54
78,i686,1495,1,4096,773036,none,-4,,#NAME?,12560,58.02
78,i686,1495,1,4096,773036,none,-4,,,12560,60.24
78,i686,1495,1,4096,773036,none,0,,#NAME?,13808,20.03
78,i686,1495,1,4096,773036,none,-5,#NAME?,#NAME?,11980,168.43
78,i686,1495,1,4096,773036,none,-5,#NAME?,,11980,168.01
78,i686,1495,1,4096,773036,none,-5,,#NAME?,12240,71.66
78,i686,1495,1,4096,773036,none,-5,,,12240,71.35
78,i686,1495,1,4096,773036,none,-6,#NAME?,#NAME?,11976,186.44
78,i686,1495,1,4096,773036,none,-6,#NAME?,,11976,186.68
78,i686,1495,1,4096,773036,none,-6,,#NAME?,12108,90.25
78,i686,1495,1,4096,773036,none,-6,,,12108,90.71
78,i686,1495,1,4096,773036,none,-7,#NAME?,#NAME?,11960,197.17
78,i686,1495,1,4096,773036,none,-7,#NAME?,,11960,194.77
78,i686,1495,1,4096,773036,none,0,,,13808,20.8
78,i686,1495,1,4096,773036,none,-7,,#NAME?,12096,93.61
78,i686,1495,1,4096,773036,none,-7,,,12096,94.24
78,i686,1495,1,4096,773036,none,-8,#NAME?,#NAME?,11960,196.16
78,i686,1495,1,4096,773036,none,-8,#NAME?,,11960,196.21
78,i686,1495,1,4096,773036,none,-8,,#NAME?,12096,95.72
78,i686,1495,1,4096,773036,none,-8,,,12096,94.82
78,i686,1495,1,4096,773036,none,-9,#NAME?,#NAME?,11960,197.22
78,i686,1495,1,4096,773036,none,-9,#NAME?,,11960,196.64
78,i686,1495,1,4096,773036,none,-9,,#NAME?,12096,96.04
78,i686,1495,1,4096,773036,none,-9,,,12096,96.11
78,i686,1495,1,4096,773036,none,-1,#NAME?,#NAME?,12108,152.6
