hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,check,preset,extreme,sparse,PERF
i686,1495,1,4096,773036,none,PRESET0,1,1,132.672
i686,1495,1,4096,773036,none,PRESET0,1,0,132.242
i686,1495,1,4096,773036,none,PRESET2,0,1,34.33
i686,1495,1,4096,773036,crc64,PRESET5,1,1,167.91
i686,1495,1,4096,773036,crc64,PRESET5,1,0,169.40
i686,1495,1,4096,773036,crc64,PRESET5,0,1,72.008
i686,1495,1,4096,773036,crc64,PRESET5,0,0,71.824
i686,1495,1,4096,773036,crc64,PRESET6,1,1,186.106
i686,1495,1,4096,773036,crc64,PRESET6,1,0,185.826
i686,1495,1,4096,773036,crc64,PRESET6,0,1,90.722
i686,1495,1,4096,773036,crc64,PRESET6,0,0,90.248
i686,1495,1,4096,773036,crc64,PRESET7,1,1,193.356
i686,1495,1,4096,773036,crc64,PRESET7,1,0,193.678
i686,1495,1,4096,773036,none,PRESET2,0,0,34.472
i686,1495,1,4096,773036,crc64,PRESET7,0,1,92.81
i686,1495,1,4096,773036,crc64,PRESET7,0,0,93.564
i686,1495,1,4096,773036,crc64,PRESET8,1,1,195.126
i686,1495,1,4096,773036,crc64,PRESET8,1,0,196.172
i686,1495,1,4096,773036,crc64,PRESET8,0,1,94.87
i686,1495,1,4096,773036,crc64,PRESET8,0,0,94.768
i686,1495,1,4096,773036,crc64,PRESET9,1,1,198.328
i686,1495,1,4096,773036,crc64,PRESET9,1,0,197.562
i686,1495,1,4096,773036,crc64,PRESET9,0,1,96.684
i686,1495,1,4096,773036,crc64,PRESET9,0,0,98.624
i686,1495,1,4096,773036,none,PRESET3,1,1,160.188
i686,1495,1,4096,773036,sha256,PRESET0,1,1,134.414
i686,1495,1,4096,773036,sha256,PRESET0,1,0,134.716
i686,1495,1,4096,773036,sha256,PRESET0,0,1,22.298
i686,1495,1,4096,773036,sha256,PRESET0,0,0,23.032
i686,1495,1,4096,773036,sha256,PRESET1,1,1,154.442
i686,1495,1,4096,773036,sha256,PRESET1,1,0,154.368
i686,1495,1,4096,773036,sha256,PRESET1,0,1,28.18
i686,1495,1,4096,773036,sha256,PRESET1,0,0,28.344
i686,1495,1,4096,773036,sha256,PRESET2,1,1,164.288
i686,1495,1,4096,773036,sha256,PRESET2,1,0,164.136
i686,1495,1,4096,773036,none,PRESET3,1,0,160.168
i686,1495,1,4096,773036,sha256,PRESET2,0,1,36.314
i686,1495,1,4096,773036,sha256,PRESET2,0,0,36.318
i686,1495,1,4096,773036,sha256,PRESET3,1,1,161.786
i686,1495,1,4096,773036,sha256,PRESET3,1,0,161.778
i686,1495,1,4096,773036,sha256,PRESET3,0,1,47.596
i686,1495,1,4096,773036,sha256,PRESET3,0,0,47.446
i686,1495,1,4096,773036,sha256,PRESET4,1,1,174.798
i686,1495,1,4096,773036,sha256,PRESET4,1,0,174.274
i686,1495,1,4096,773036,sha256,PRESET4,0,1,59.674
i686,1495,1,4096,773036,sha256,PRESET4,0,0,59.924
i686,1495,1,4096,773036,none,PRESET3,0,1,45.764
i686,1495,1,4096,773036,sha256,PRESET5,1,1,169.756
i686,1495,1,4096,773036,sha256,PRESET5,1,0,169.356
i686,1495,1,4096,773036,sha256,PRESET5,0,1,73.602
i686,1495,1,4096,773036,sha256,PRESET5,0,0,73.942
i686,1495,1,4096,773036,sha256,PRESET6,1,1,187.596
i686,1495,1,4096,773036,sha256,PRESET6,1,0,187.702
i686,1495,1,4096,773036,sha256,PRESET6,0,1,93.452
i686,1495,1,4096,773036,sha256,PRESET6,0,0,93.456
i686,1495,1,4096,773036,sha256,PRESET7,1,1,196.05
i686,1495,1,4096,773036,sha256,PRESET7,1,0,195.62
i686,1495,1,4096,773036,none,PRESET3,0,0,45.816
i686,1495,1,4096,773036,sha256,PRESET7,0,1,94.492
i686,1495,1,4096,773036,sha256,PRESET7,0,0,95.348
i686,1495,1,4096,773036,sha256,PRESET8,1,1,199.606
i686,1495,1,4096,773036,sha256,PRESET8,1,0,198.808
i686,1495,1,4096,773036,sha256,PRESET8,0,1,96.444
i686,1495,1,4096,773036,sha256,PRESET8,0,0,96.488
i686,1495,1,4096,773036,sha256,PRESET9,1,1,198.666
i686,1495,1,4096,773036,sha256,PRESET9,1,0,199.29
i686,1495,1,4096,773036,sha256,PRESET9,0,1,97.986
i686,1495,1,4096,773036,sha256,PRESET9,0,0,97.984
i686,1495,1,4096,773036,none,PRESET4,1,1,173.994
i686,1495,1,4096,773036,none,PRESET4,1,0,172.83
i686,1495,1,4096,773036,none,PRESET4,0,1,58.25
i686,1495,1,4096,773036,none,PRESET4,0,0,59.724
i686,1495,1,4096,773036,none,PRESET0,0,1,22.796
i686,1495,1,4096,773036,none,PRESET5,1,1,168.25
i686,1495,1,4096,773036,none,PRESET5,1,0,168.884
i686,1495,1,4096,773036,none,PRESET5,0,1,72.156
i686,1495,1,4096,773036,none,PRESET5,0,0,72.17
i686,1495,1,4096,773036,none,PRESET6,1,1,186.518
i686,1495,1,4096,773036,none,PRESET6,1,0,186.55
i686,1495,1,4096,773036,none,PRESET6,0,1,90.474
i686,1495,1,4096,773036,none,PRESET6,0,0,91.196
i686,1495,1,4096,773036,none,PRESET7,1,1,194.212
i686,1495,1,4096,773036,none,PRESET7,1,0,194.248
i686,1495,1,4096,773036,none,PRESET0,0,0,20.47
i686,1495,1,4096,773036,none,PRESET7,0,1,92.932
i686,1495,1,4096,773036,none,PRESET7,0,0,93.062
i686,1495,1,4096,773036,none,PRESET8,1,1,195.52
i686,1495,1,4096,773036,none,PRESET8,1,0,195.62
i686,1495,1,4096,773036,none,PRESET8,0,1,94.858
i686,1495,1,4096,773036,none,PRESET8,0,0,94.606
i686,1495,1,4096,773036,none,PRESET9,1,1,197.206
i686,1495,1,4096,773036,none,PRESET9,1,0,197.52
i686,1495,1,4096,773036,none,PRESET9,0,1,96.586
i686,1495,1,4096,773036,none,PRESET9,0,0,97.476
i686,1495,1,4096,773036,none,PRESET1,1,1,156.612
i686,1495,1,4096,773036,crc32,PRESET0,1,1,133.096
i686,1495,1,4096,773036,crc32,PRESET0,1,0,134.086
i686,1495,1,4096,773036,crc32,PRESET0,0,1,20.95
i686,1495,1,4096,773036,crc32,PRESET0,0,0,21.832
i686,1495,1,4096,773036,crc32,PRESET1,1,1,153.032
i686,1495,1,4096,773036,crc32,PRESET1,1,0,153.522
i686,1495,1,4096,773036,crc32,PRESET1,0,1,26.48
i686,1495,1,4096,773036,crc32,PRESET1,0,0,26.614
i686,1495,1,4096,773036,crc32,PRESET2,1,1,172.272
i686,1495,1,4096,773036,crc32,PRESET2,1,0,162.438
i686,1495,1,4096,773036,none,PRESET1,1,0,152.502
i686,1495,1,4096,773036,crc32,PRESET2,0,1,34.834
i686,1495,1,4096,773036,crc32,PRESET2,0,0,34.89
i686,1495,1,4096,773036,crc32,PRESET3,1,1,160.758
i686,1495,1,4096,773036,crc32,PRESET3,1,0,165.26
i686,1495,1,4096,773036,crc32,PRESET3,0,1,46.366
i686,1495,1,4096,773036,crc32,PRESET3,0,0,46.084
