check,preset,extreme,sparse,PERF
none,PRESET0,1,1,22.568
none,PRESET0,1,0,23.104
none,PRESET2,0,1,4.13
crc64,PRESET5,1,1,27.42
crc64,PRESET5,1,0,27.312
crc64,PRESET5,0,1,11.556
crc64,PRESET5,0,0,11.566
crc64,PRESET6,1,1,29.398
crc64,PRESET6,1,0,29.402
crc64,PRESET6,0,1,14.522
crc64,PRESET6,0,0,14.508
crc64,PRESET7,1,1,30.314
crc64,PRESET7,1,0,30.31
none,PRESET2,0,0,4.12
crc64,PRESET7,0,1,14.984
crc64,PRESET7,0,0,14.82
crc64,PRESET8,1,1,30.696
crc64,PRESET8,1,0,30.276
crc64,PRESET8,0,1,14.996
crc64,PRESET8,0,0,14.838
crc64,PRESET9,1,1,30.632
crc64,PRESET9,1,0,30.85
crc64,PRESET9,0,1,15.092
crc64,PRESET9,0,0,14.944
none,PRESET3,1,1,26.68
sha256,PRESET0,1,1,22.692
sha256,PRESET0,1,0,23.022
sha256,PRESET0,0,1,3.046
sha256,PRESET0,0,0,3.096
sha256,PRESET1,1,1,25.372
sha256,PRESET1,1,0,25.906
sha256,PRESET1,0,1,3.248
sha256,PRESET1,0,0,3.252
sha256,PRESET2,1,1,27.78
sha256,PRESET2,1,0,27.074
none,PRESET3,1,0,26.666
sha256,PRESET2,0,1,4.426
sha256,PRESET2,0,0,4.44
sha256,PRESET3,1,1,26.83
sha256,PRESET3,1,0,26.792
sha256,PRESET3,0,1,5.754
sha256,PRESET3,0,0,5.778
sha256,PRESET4,1,1,28.40
sha256,PRESET4,1,0,28.668
sha256,PRESET4,0,1,9.446
sha256,PRESET4,0,0,9.458
none,PRESET3,0,1,5.434
sha256,PRESET5,1,1,27.862
sha256,PRESET5,1,0,27.95
sha256,PRESET5,0,1,11.772
sha256,PRESET5,0,0,12.114
sha256,PRESET6,1,1,29.88
sha256,PRESET6,1,0,29.642
sha256,PRESET6,0,1,15.132
sha256,PRESET6,0,0,14.964
sha256,PRESET7,1,1,30.346
sha256,PRESET7,1,0,30.586
none,PRESET3,0,0,5.454
sha256,PRESET7,0,1,15.112
sha256,PRESET7,0,0,15.236
sha256,PRESET8,1,1,30.816
sha256,PRESET8,1,0,30.598
sha256,PRESET8,0,1,15.268
sha256,PRESET8,0,0,15.082
sha256,PRESET9,1,1,30.938
