Check_none,Check_crc64,Check_sha256,Check_crc32,Preset_0,Preset_-2,Preset_-5,Preset_-6,Preset_-7,Preset_-8,Preset_-9,Preset_-3,Preset_-1,Preset_-4,extreme,sparse,PERF
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,42.222
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42.12
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.65
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,53.64
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,53.736
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22.388
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.472
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,57.546
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,57.616
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,28.408
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.496
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,58.96
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,59.006
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.522
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28.894
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.878
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,59.45
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59.442
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,29.18
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.16
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,60.044
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,59.852
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,29.354
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.368
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,51.568
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,42.602
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,42.662
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4.966
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.97
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,49.11
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,48.99
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6.508
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.51
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,52.752
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,52.706
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,50.76
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.05
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.07
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,52.148
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,52.16
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,11.666
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11.534
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,54.762
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,54.852
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,17.434
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17.41
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10.734
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,52.752
