"V1","V2","V3","V4"
"Sampling Amount","MinSplit","MinBucket","Fault Rate"
"9","4","2","122.172088265181"
"18","4","2","102.213480807763"
"27","6","3","88.043330768644"
"36","8","4","60.142784723021"
"45","10","5","63.1881963687943"
"54","10","5","54.0581495346147"
"63","12","6","48.2565193694955"
"72","14","7","45.1263600541099"
"81","16","8","44.6824546212579"
"90","18","9","45.301558131438"
"99","20","10","46.7988098844419"
"108","11","5","23.8456882535477"
"117","12","6","26.6310591499014"
"126","13","6","24.3608930250497"
"135","14","7","24.1163456115072"
"144","14","7","22.8947601585187"
"153","15","7","22.3455987416081"
"162","16","8","23.9079956915978"
"171","17","8","22.6832273672069"
"180","18","9","22.2979569923986"
