"V1","V2","V3","V4"
"Sampling Amount","MinSplit","MinBucket","Fault Rate"
"38","8","4","52.7865752012221"
"76","16","8","55.2233044956045"
"114","11","5","42.7789559462079"
"152","15","7","42.9923774410285"
"190","19","9","42.1825985291951"
"228","23","11","42.615428793864"
"266","27","13","42.7459843637416"
"304","30","15","42.5312452990409"
"342","34","17","41.4010295800263"
"380","38","19","41.33791375467"
"418","42","21","41.0000772056363"
"456","46","23","40.784882184138"
"494","49","24","40.6974537387762"
"532","53","26","40.4852125822782"
"570","57","28","40.5654321639539"
"608","61","30","40.2574306072416"
"646","65","32","40.5013889635169"
"684","68","34","40.3742507618056"
"722","72","36","40.3168108965797"
"760","76","38","40.4859349204787"
