"V1","V2","V3","V4"
"Sampling Amount","MinSplit","MinBucket","Fault Rate"
"4","4","2","120.742671001768"
"8","4","2","53.2890142238889"
"12","4","2","42.221914396532"
"16","4","2","27.5359277727883"
"20","4","2","24.0716417760693"
"24","4","2","20.5857065519196"
"28","6","3","21.190297155271"
"32","6","3","19.1097052759517"
"36","8","4","15.7162153135491"
"40","8","4","12.0082785056369"
"44","8","4","9.12811636613438"
"48","10","5","8.84401030580315"
"52","10","5","8.64556575782311"
"56","12","6","10.0200945685883"
"60","12","6","8.82350175719431"
"64","12","6","8.23884874241365"
"68","14","7","8.75515676582819"
"72","14","7","8.11191128336065"
"76","16","8","9.18860015517812"
"80","16","8","7.85625779646725"
