Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,N,Y,N,Y,N,N,N,1170
Y,N,N,N,N,N,N,N,N,1200
Y,N,N,Y,Y,N,N,Y,N,1470
Y,N,N,Y,N,N,N,N,N,1320
Y,Y,Y,Y,Y,Y,N,N,N,1920
Y,N,Y,N,N,N,N,N,Y,1200
Y,Y,N,Y,N,N,Y,N,N,960
Y,N,Y,Y,Y,Y,Y,Y,N,2070
Y,N,N,N,Y,Y,Y,Y,N,1230
Y,N,N,N,Y,N,N,Y,N,1410
Y,Y,Y,N,Y,N,Y,N,N,1890
Y,Y,Y,Y,Y,N,N,N,Y,1050
Y,N,Y,N,N,Y,N,Y,N,2130
Y,N,N,Y,N,N,Y,N,N,1230
Y,Y,Y,N,Y,N,Y,N,Y,1170
Y,N,Y,N,N,Y,Y,Y,N,1980
Y,N,Y,Y,Y,N,Y,Y,N,2430
Y,N,N,Y,N,N,Y,Y,N,1320
Y,Y,N,Y,Y,Y,N,N,N,960
Y,Y,N,Y,N,Y,N,N,N,930
Y,N,Y,Y,Y,Y,Y,N,Y,1170
Y,Y,N,Y,N,Y,N,N,Y,930
Y,N,Y,Y,N,N,N,N,Y,1290
Y,N,Y,Y,Y,N,Y,N,N,2190
Y,Y,N,Y,N,Y,Y,N,Y,870
Y,Y,Y,N,N,Y,Y,N,Y,1140
Y,Y,N,Y,N,N,N,N,Y,990
