Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,N,N,Y,Y,N,Y,N,N,1170,[3N 2N ],1212.0000,0.0359
Y,Y,N,N,N,Y,N,Y,N,1020,[3N 2Y 6Y 9N ],960.0000,0.0588
Y,Y,Y,Y,Y,N,N,N,Y,1050,[3Y 9Y ],1248.0000,0.1886
Y,Y,Y,N,N,Y,Y,N,N,1620,[3Y 9N 8N ],1875.0000,0.1574
Y,N,N,N,Y,Y,N,N,Y,1200,[3N 2N ],1212.0000,0.0100
Y,N,N,N,Y,Y,Y,N,N,990,[3N 2N ],1212.0000,0.2242
Y,N,N,Y,N,N,N,Y,N,1410,[3N 2N ],1212.0000,0.1404
Y,Y,Y,N,Y,Y,Y,N,Y,1500,[3Y 9Y ],1248.0000,0.1680
Y,Y,Y,Y,N,Y,Y,N,Y,1470,[3Y 9Y ],1248.0000,0.1510
Y,N,Y,Y,N,N,Y,N,N,2130,[3Y 9N 8N ],1875.0000,0.1197
Y,N,Y,Y,N,N,N,N,Y,1290,[3Y 9Y ],1248.0000,0.0326
Y,Y,N,N,N,N,Y,N,N,900,[3N 2Y 6N ],1005.0000,0.1167
Y,Y,Y,Y,N,Y,Y,Y,N,1860,[3Y 9N 8Y ],2062.5000,0.1089
Y,Y,N,N,N,Y,Y,N,N,840,[3N 2Y 6Y 9N ],960.0000,0.1429
Y,Y,N,N,Y,Y,Y,Y,N,960,[3N 2Y 6Y 9N ],960.0000,0.0000
Y,N,N,N,Y,N,Y,N,N,1140,[3N 2N ],1212.0000,0.0632
Y,Y,N,Y,N,Y,N,Y,N,990,[3N 2Y 6Y 9N ],960.0000,0.0303
Y,N,Y,N,Y,N,N,N,N,2100,[3Y 9N 8N ],1875.0000,0.1071
Y,Y,Y,Y,Y,N,Y,N,Y,1200,[3Y 9Y ],1248.0000,0.0400
Y,N,Y,N,Y,Y,Y,N,N,1740,[3Y 9N 8N ],1875.0000,0.0776
Y,N,Y,Y,N,N,Y,Y,N,2310,[3Y 9N 8Y ],2062.5000,0.1071
Y,N,Y,N,Y,Y,Y,N,Y,1230,[3Y 9Y ],1248.0000,0.0146
Y,Y,N,N,Y,Y,Y,N,Y,900,[3N 2Y 6Y 9Y ],920.0000,0.0222
Y,N,Y,N,N,Y,N,N,Y,1230,[3Y 9Y ],1248.0000,0.0146
Y,Y,Y,N,Y,N,N,N,Y,1320,[3Y 9Y ],1248.0000,0.0545
Y,N,Y,Y,Y,Y,N,N,Y,1200,[3Y 9Y ],1248.0000,0.0400
Y,N,N,N,N,N,N,Y,N,1410,[3N 2N ],1212.0000,0.1404
Y,N,N,N,Y,N,N,Y,N,1410,[3N 2N ],1212.0000,0.1404
Y,N,N,Y,N,Y,Y,N,N,1080,[3N 2N ],1212.0000,0.1222
Y,N,N,Y,Y,N,Y,Y,N,1380,[3N 2N ],1212.0000,0.1217
Y,Y,Y,Y,N,N,Y,N,N,2010,[3Y 9N 8N ],1875.0000,0.0672
Y,Y,Y,N,N,N,N,N,Y,1140,[3Y 9Y ],1248.0000,0.0947
Y,Y,N,Y,Y,N,Y,N,N,990,[3N 2Y 6N ],1005.0000,0.0152
Y,Y,N,Y,N,N,Y,Y,N,1020,[3N 2Y 6N ],1005.0000,0.0147
Y,Y,N,N,Y,N,Y,Y,N,1050,[3N 2Y 6N ],1005.0000,0.0429
Y,Y,Y,N,Y,N,Y,N,Y,1170,[3Y 9Y ],1248.0000,0.0667
Y,Y,Y,Y,N,N,Y,N,Y,1170,[3Y 9Y ],1248.0000,0.0667
