HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance
Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,21.2736
N,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,Y,0.3614
Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,21.2520
N,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,0.5408
N,N,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,0.9540
N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,0.7768
N,Y,N,Y,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,1.2708
Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,38.9634
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,2.0872
N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,0.4733
Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,19.9232
N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,1.2688
N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,2.3942
N,N,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,0.6435
N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,0.6307
N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,0.9094
Y,N,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,10.7338
N,N,N,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,0.6347
N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,0.9229
N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,1.2587
Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,19.9614
Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,6.5054
Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,10.8982
N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,0.5204
N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,0.5288
Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,3.2797
Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,5.8644
N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,0.4975
Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,10.7422
N,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,Y,0.3642
N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,1.2665
N,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,0.5703
