Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,N,N,Y,N,Y,N,Y,N,1260,[5N 3N ],1200.0000,0.0476
Y,N,N,Y,N,Y,Y,Y,N,1140,[5N 3N ],1200.0000,0.0526
Y,N,Y,N,Y,N,Y,Y,N,2430,[5Y 3Y ],2190.0000,0.0988
Y,Y,N,N,Y,N,N,Y,N,1140,[5Y 3N ],1140.0000,0.0000
Y,N,N,N,Y,Y,Y,N,N,990,[5Y 3N ],1140.0000,0.1515
Y,N,N,N,Y,N,N,N,N,1200,[5Y 3N ],1140.0000,0.0500
Y,Y,Y,Y,N,Y,N,Y,N,1890,[5N 3Y ],1890.0000,0.0000
Y,N,N,Y,Y,Y,N,N,N,1200,[5Y 3N ],1140.0000,0.0500
Y,N,N,N,Y,Y,N,N,Y,1200,[5Y 3N ],1140.0000,0.0500
Y,N,Y,Y,N,N,Y,N,Y,1320,[5N 3Y ],1890.0000,0.4318
Y,N,Y,Y,Y,N,N,N,Y,1200,[5Y 3Y ],2190.0000,0.8250
Y,Y,Y,N,Y,N,N,Y,N,2280,[5Y 3Y ],2190.0000,0.0395
Y,Y,N,N,N,Y,Y,Y,N,930,[5N 3N ],1200.0000,0.2903
Y,N,Y,N,Y,N,Y,N,Y,1110,[5Y 3Y ],2190.0000,0.9730
Y,Y,N,Y,Y,Y,Y,Y,N,990,[5Y 3N ],1140.0000,0.1515
Y,N,Y,N,N,N,Y,N,Y,1350,[5N 3Y ],1890.0000,0.4000
Y,Y,Y,N,N,N,N,N,N,1950,[5N 3Y ],1890.0000,0.0308
Y,Y,Y,N,Y,N,N,N,N,1950,[5Y 3Y ],2190.0000,0.1231
Y,Y,Y,Y,Y,Y,Y,Y,N,1860,[5Y 3Y ],2190.0000,0.1774
Y,N,Y,N,N,N,Y,Y,N,2250,[5N 3Y ],1890.0000,0.1600
Y,N,Y,N,Y,N,N,N,N,2100,[5Y 3Y ],2190.0000,0.0429
Y,N,Y,N,N,Y,N,Y,N,2130,[5N 3Y ],1890.0000,0.1127
Y,Y,Y,Y,N,Y,Y,N,Y,1470,[5N 3Y ],1890.0000,0.2857
