time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,249.30,[3N 2Y 5N ],229.5950,0.0790
Y,Y,N,N,Y,Y,N,Y,N,Y,Y,235.57,[3N 2Y 5Y ],234.7100,0.0037
Y,N,N,Y,Y,Y,N,N,N,N,N,216.37,[3N 2N 10N ],207.1050,0.0428
Y,Y,N,Y,N,N,Y,N,Y,Y,Y,248.78,[3N 2Y 5N ],229.5950,0.0771
Y,Y,N,N,N,N,N,Y,N,N,Y,236.21,[3N 2Y 5N ],229.5950,0.0280
Y,N,Y,Y,N,N,Y,Y,Y,Y,N,232.29,[3Y 2N 11N 9Y ],222.9850,0.0401
Y,N,N,N,N,Y,Y,N,Y,N,Y,215.19,[3N 2N 10N ],207.1050,0.0376
Y,Y,N,Y,Y,N,N,Y,N,Y,Y,244.85,[3N 2Y 5Y ],234.7100,0.0414
Y,Y,Y,N,Y,Y,Y,Y,N,N,N,244.61,[3Y 2Y 4N 6Y ],249.1750,0.0187
Y,N,N,N,N,N,Y,Y,Y,Y,Y,214.33,[3N 2N 10Y ],215.9550,0.0076
Y,N,Y,Y,N,Y,Y,N,Y,N,N,228.27,[3Y 2N 11N 9Y ],222.9850,0.0232
Y,N,N,N,Y,N,Y,Y,Y,N,N,205.74,[3N 2N 10N ],207.1050,0.0066
Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,255.42,[3N 2Y 5Y ],234.7100,0.0811
Y,N,N,N,Y,Y,N,Y,N,N,Y,215.20,[3N 2N 10N ],207.1050,0.0376
Y,N,Y,N,Y,Y,Y,N,Y,N,N,220.37,[3Y 2N 11N 9Y ],222.9850,0.0119
Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,234.65,[3Y 2N 11Y ],245.2733,0.0453
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,253.74,[3N 2Y 5Y ],234.7100,0.0750
Y,Y,Y,N,N,Y,N,Y,N,N,N,244.73,[3Y 2Y 4N 6Y ],249.1750,0.0182
Y,Y,N,Y,Y,N,Y,Y,N,Y,N,235.30,[3N 2Y 5Y ],234.7100,0.0025
Y,N,N,N,N,N,Y,Y,N,N,N,202.39,[3N 2N 10N ],207.1050,0.0233
Y,N,N,Y,Y,Y,Y,Y,Y,N,N,214.41,[3N 2N 10N ],207.1050,0.0341
Y,Y,N,Y,N,Y,N,N,N,Y,N,232.33,[3N 2Y 5N ],229.5950,0.0118
Y,N,N,Y,Y,Y,Y,Y,N,N,Y,263.43,[3N 2N 10N ],207.1050,0.2138
Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,237.23,[3Y 2N 11Y ],245.2733,0.0339
Y,N,Y,N,N,N,Y,Y,N,Y,Y,232.65,[3Y 2N 11Y ],245.2733,0.0543
Y,N,Y,N,Y,N,N,Y,N,Y,N,220.86,[3Y 2N 11N 9N ],223.7750,0.0132
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,231.16,[3Y 2N 11N 9Y ],222.9850,0.0354
Y,Y,N,N,N,Y,Y,Y,Y,N,Y,234.95,[3N 2Y 5N ],229.5950,0.0228
Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,251.52,[3Y 2N 11Y ],245.2733,0.0248
