time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,Y,Y,Y,N,N,N,N,N,Y,Y,258.56
Y,N,N,Y,N,N,Y,N,N,N,N,214.72
Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,230.79
Y,N,N,Y,Y,Y,Y,N,Y,Y,N,215.37
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,235.23
Y,Y,N,Y,Y,N,Y,N,Y,N,Y,247.79
Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,261.36
Y,N,N,Y,Y,N,N,N,N,N,Y,266.32
Y,N,N,Y,N,N,Y,Y,N,N,N,212.52
Y,N,Y,Y,Y,N,N,Y,N,N,Y,249.49
Y,N,N,Y,Y,N,Y,Y,N,N,Y,259.37
Y,Y,Y,Y,Y,N,N,Y,N,N,N,256.47
Y,N,Y,N,Y,N,Y,Y,N,N,Y,237.41
Y,Y,Y,N,Y,N,Y,N,N,N,Y,252.99
Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,242.74
Y,N,Y,Y,Y,N,N,N,N,N,Y,269.52
Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,249.62
Y,Y,Y,Y,N,Y,N,N,N,N,Y,266.97
Y,N,Y,N,N,N,Y,Y,Y,Y,Y,236.36
Y,N,N,N,Y,Y,Y,N,Y,N,N,202.81
Y,N,Y,Y,N,N,N,Y,N,N,Y,248.90
Y,N,N,Y,N,Y,Y,Y,N,Y,N,213.00
