no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance,[DomFlist],DomEst,RelErr
Y,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,445.487,[16N 14N 5N ],434.5657,0.0245
Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,463.500,[16N 14N 5Y ],473.9254,0.0225
Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,556.340,[16Y 7Y ],604.6358,0.0868
Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,263.367,[16N 14Y 6N ],262.8092,0.0021
Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,286.470,[16N 14Y 6Y ],294.0421,0.0264
Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,276.103,[16N 14Y 6N ],262.8092,0.0481
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,456.363,[16N 14N 5Y ],473.9254,0.0385
Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,270.013,[16N 14Y 6N ],262.8092,0.0267
Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,507.390,[16N 14N 5Y ],473.9254,0.0660
Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,279.890,[16N 14Y 6Y ],294.0421,0.0506
Y,Y,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,561.847,[16Y 7Y ],604.6358,0.0762
Y,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,712.870,[16Y 7N 5N ],666.0504,0.0657
Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,783.517,[16Y 7N 5Y ],764.6542,0.0241
Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,672.207,[16Y 7Y ],604.6358,0.1005
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,644.157,[16Y 7Y ],604.6358,0.0614
Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,703.500,[16Y 7N 5Y ],764.6542,0.0869
Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,482.373,[16N 14N 5Y ],473.9254,0.0175
Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,784.020,[16Y 7N 5Y ],764.6542,0.0247
Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,535.707,[16N 14N 5Y ],473.9254,0.1153
Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,581.407,[16Y 7N 5N ],666.0504,0.1456
Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,581.107,[16Y 7N 5N ],666.0504,0.1462
Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,476.310,[16N 14N 5Y ],473.9254,0.0050
Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,652.467,[16Y 7Y ],604.6358,0.0733
Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,807.273,[16Y 7N 5Y ],764.6542,0.0528
Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,279.853,[16N 14Y 6Y ],294.0421,0.0507
Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,490.473,[16Y 7Y ],604.6358,0.2328
Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,615.287,[16Y 7N 5N ],666.0504,0.0825
Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,254.013,[16N 14Y 6N ],262.8092,0.0346
Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,433.213,[16N 14N 5N ],434.5657,0.0031
Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,433.267,[16N 14N 5N ],434.5657,0.0030
Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,268.883,[16N 14Y 6N ],262.8092,0.0226
Y,N,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,305.383,[16N 14Y 6Y ],294.0421,0.0371
Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,575.477,[16Y 7Y ],604.6358,0.0507
Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,446.640,[16N 14N 5Y ],473.9254,0.0611
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,609.200,[16Y 7Y ],604.6358,0.0075
Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,671.500,[16Y 7Y ],604.6358,0.0996
Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,261.310,[16N 14Y 6N ],262.8092,0.0057
Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,287.037,[16N 14Y 6Y ],294.0421,0.0244
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,555.203,[16Y 7Y ],604.6358,0.0890
Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,427.520,[16N 14N 5N ],434.5657,0.0165
Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,536.850,[16N 14N 5Y ],473.9254,0.1172
Y,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,N,446.633,[16N 14N 5N ],434.5657,0.0270
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,517.123,[16N 14N 5Y ],473.9254,0.0835
Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,263.403,[16N 14Y 6N ],262.8092,0.0023
Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,305.027,[16N 14Y 6Y ],294.0421,0.0360
Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,733.777,[16Y 7N 5Y ],764.6542,0.0421
Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,254.110,[16N 14Y 6N ],262.8092,0.0342
Y,Y,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,590.180,[16Y 7N 5N ],666.0504,0.1286
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,644.357,[16Y 7Y ],604.6358,0.0616
Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,266.670,[16N 14Y 6N ],262.8092,0.0145
Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,271.337,[16N 14Y 6N ],262.8092,0.0314
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,476.093,[16N 14N 5Y ],473.9254,0.0046
Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,588.673,[16Y 7N 5N ],666.0504,0.1314
Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,487.057,[16N 14N 5Y ],473.9254,0.0270
Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,645.447,[16Y 7Y ],604.6358,0.0632
Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,680.617,[16Y 7N 5N ],666.0504,0.0214
Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,256.667,[16N 14Y 6N ],262.8092,0.0239
Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,462.500,[16N 14N 5Y ],473.9254,0.0247
Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,252.780,[16N 14Y 6N ],262.8092,0.0397
Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,252.827,[16N 14Y 6N ],262.8092,0.0395
Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,482.083,[16N 14N 5Y ],473.9254,0.0169
Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,508.547,[16N 14N 5Y ],473.9254,0.0681
Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,496.230,[16Y 7Y ],604.6358,0.2185
