time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,Y,N,N,N,Y,Y,N,Y,N,N,227.39
Y,Y,Y,N,N,N,N,Y,N,Y,N,239.66
Y,N,Y,N,N,Y,Y,Y,Y,N,N,221.26
Y,N,Y,N,N,N,Y,N,Y,Y,N,222.87
Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,252.77
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,264.47
Y,Y,N,N,Y,Y,N,Y,N,Y,Y,235.57
Y,N,N,Y,N,N,Y,Y,Y,Y,Y,244.12
Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,259.26
Y,N,Y,N,N,Y,Y,Y,N,Y,Y,232.99
Y,Y,Y,Y,N,N,N,N,N,Y,N,244.91
Y,Y,N,Y,N,N,Y,N,Y,N,N,238.25
Y,Y,N,N,N,N,Y,Y,N,Y,Y,232.27
Y,N,Y,N,Y,N,Y,N,N,Y,Y,233.42
Y,N,Y,N,Y,N,Y,N,N,N,Y,236.74
Y,N,N,Y,N,N,Y,N,Y,Y,N,215.85
Y,Y,N,N,Y,Y,N,N,N,N,N,229.86
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,251.13
Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,250.68
Y,N,Y,Y,N,Y,Y,N,N,Y,Y,251.20
Y,N,Y,N,N,Y,Y,Y,Y,Y,N,223.70
Y,Y,N,N,N,Y,Y,Y,N,N,Y,235.85
