time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,250.45,[4Y 11Y 3Y ],253.9160,0.0138
Y,N,Y,N,Y,Y,N,N,N,N,N,233.28,[4N 2N 3Y ],224.2867,0.0386
Y,N,N,Y,N,Y,Y,N,N,Y,N,212.44,[4Y 11N 2N ],223.5980,0.0525
Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,241.69,[4Y 11N 2Y ],247.7575,0.0251
Y,N,Y,Y,Y,N,Y,N,N,N,Y,250.60,[4Y 11Y 3Y ],253.9160,0.0132
Y,N,Y,N,N,N,N,Y,N,N,N,221.38,[4N 2N 3Y ],224.2867,0.0131
Y,N,N,N,N,Y,Y,N,Y,Y,N,203.53,[4N 2N 3N ],213.2400,0.0477
Y,Y,Y,N,N,N,N,Y,N,Y,Y,249.50,[4N 2Y 3Y ],243.8125,0.0228
Y,N,N,N,N,Y,N,N,N,N,Y,219.50,[4N 2N 3N ],213.2400,0.0285
Y,Y,N,Y,N,N,Y,N,Y,Y,Y,248.78,[4Y 11Y 3N ],258.1180,0.0375
Y,Y,N,Y,Y,N,Y,N,N,N,Y,252.43,[4Y 11Y 3N ],258.1180,0.0225
Y,Y,Y,N,N,N,Y,N,Y,N,Y,251.71,[4N 2Y 3Y ],243.8125,0.0314
Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,255.39,[4Y 11N 2Y ],247.7575,0.0299
Y,N,N,Y,N,N,Y,N,Y,N,Y,260.88,[4Y 11Y 3N ],258.1180,0.0106
Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,249.36,[4Y 11Y 3Y ],253.9160,0.0183
Y,N,Y,N,Y,Y,Y,N,N,Y,Y,236.35,[4N 2N 3Y ],224.2867,0.0510
Y,Y,N,N,Y,Y,Y,N,N,Y,N,227.64,[4N 2Y 3N ],231.0133,0.0148
Y,Y,N,Y,Y,Y,N,Y,N,Y,N,238.46,[4Y 11N 2Y ],247.7575,0.0390
Y,N,N,N,N,Y,Y,N,N,N,N,205.21,[4N 2N 3N ],213.2400,0.0391
Y,N,N,Y,N,N,Y,Y,N,Y,N,211.19,[4Y 11N 2N ],223.5980,0.0588
Y,N,N,Y,Y,N,Y,Y,N,N,Y,259.37,[4Y 11Y 3N ],258.1180,0.0048
Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,250.23,[4Y 11Y 3N ],258.1180,0.0315
Y,N,N,N,Y,N,Y,N,N,N,N,207.23,[4N 2N 3N ],213.2400,0.0290
Y,Y,N,Y,N,N,N,N,N,Y,N,230.17,[4Y 11N 2Y ],247.7575,0.0764
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,263.59,[4Y 11Y 3Y ],253.9160,0.0367
Y,N,Y,Y,Y,Y,N,N,N,N,Y,269.38,[4Y 11Y 3Y ],253.9160,0.0574
Y,N,Y,N,Y,Y,Y,N,Y,N,Y,234.13,[4N 2N 3Y ],224.2867,0.0420
Y,N,N,N,Y,N,Y,Y,Y,Y,Y,215.27,[4N 2N 3N ],213.2400,0.0094
Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,238.82,[4N 2Y 3N ],231.0133,0.0327
Y,N,N,N,N,Y,Y,Y,Y,Y,N,206.35,[4N 2N 3N ],213.2400,0.0334
Y,Y,Y,N,N,N,Y,Y,N,Y,N,239.27,[4N 2Y 3Y ],243.8125,0.0190
Y,Y,Y,N,N,N,Y,N,Y,N,N,243.37,[4N 2Y 3Y ],243.8125,0.0018
Y,Y,Y,Y,Y,Y,N,Y,N,N,N,254.89,[4Y 11N 2Y ],247.7575,0.0280
Y,N,N,Y,N,N,Y,Y,Y,Y,N,210.24,[4Y 11N 2N ],223.5980,0.0635
Y,N,Y,Y,Y,Y,N,Y,N,Y,N,227.29,[4Y 11N 2N ],223.5980,0.0162
Y,N,N,Y,Y,N,Y,Y,Y,N,N,214.15,[4Y 11N 2N ],223.5980,0.0441
Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,251.24,[4Y 11Y 3Y ],253.9160,0.0107
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,241.23,[4Y 11Y 3N ],258.1180,0.0700
Y,N,Y,N,N,Y,Y,N,N,N,N,222.52,[4N 2N 3Y ],224.2867,0.0079
Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,232.98,[4N 2N 3Y ],224.2867,0.0373
Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,239.51,[4Y 11N 2Y ],247.7575,0.0344
Y,Y,N,Y,Y,N,N,Y,N,N,N,239.56,[4Y 11N 2Y ],247.7575,0.0342
Y,Y,Y,Y,N,N,Y,Y,N,Y,N,247.72,[4Y 11N 2Y ],247.7575,0.0002
Y,Y,Y,N,Y,Y,N,N,N,N,Y,254.73,[4N 2Y 3Y ],243.8125,0.0429
Y,N,N,Y,Y,N,Y,Y,N,Y,Y,260.82,[4Y 11Y 3N ],258.1180,0.0104
Y,N,Y,N,N,N,N,Y,N,Y,Y,233.66,[4N 2N 3Y ],224.2867,0.0401
Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,253.54,[4Y 11Y 3N ],258.1180,0.0181
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,248.58,[4Y 11Y 3Y ],253.9160,0.0215
Y,Y,Y,N,Y,Y,N,N,N,Y,Y,249.37,[4N 2Y 3Y ],243.8125,0.0223
Y,N,N,N,Y,N,N,Y,N,Y,N,204.50,[4N 2N 3N ],213.2400,0.0427
Y,N,N,Y,Y,Y,Y,Y,N,N,Y,263.43,[4Y 11Y 3N ],258.1180,0.0202
