Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,Y,Y,N,Y,Y,N,N,N,1770
Y,Y,Y,N,N,Y,Y,N,Y,1140
Y,Y,N,N,Y,Y,N,N,N,900
Y,N,Y,N,N,N,N,N,N,2040
Y,N,N,N,N,Y,Y,N,Y,1080
Y,N,Y,N,N,N,Y,N,N,1920
Y,Y,N,N,N,N,Y,N,Y,960
Y,N,Y,N,Y,Y,N,N,N,1830
Y,N,N,N,Y,N,N,N,N,1200
Y,Y,N,N,N,N,N,N,Y,990
Y,Y,N,N,Y,Y,Y,N,N,840
Y,Y,Y,N,N,N,Y,N,Y,1020
Y,Y,Y,N,N,N,N,N,Y,1140
Y,N,N,N,N,N,N,N,N,1200
Y,Y,Y,N,N,N,N,N,N,1950
Y,N,N,N,Y,Y,N,N,Y,1200
Y,Y,N,N,Y,Y,N,N,Y,930
Y,Y,Y,N,N,Y,N,N,N,1710
Y,N,N,N,N,N,Y,N,N,1110
Y,Y,N,N,Y,N,N,N,N,960
Y,N,N,N,Y,Y,Y,N,Y,1050
Y,N,N,N,N,Y,N,N,N,1080
Y,N,N,N,N,Y,Y,N,N,1020
Y,Y,N,N,N,Y,Y,N,N,840
Y,N,Y,N,N,Y,Y,N,N,1680
Y,Y,N,N,Y,N,Y,N,Y,960
Y,N,Y,N,N,Y,Y,N,Y,1260
Y,N,N,N,N,N,Y,N,Y,1080
Y,Y,N,N,N,Y,Y,N,Y,870
