Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,Y,Y,N,N,Y,N,Y,N,1980,[3Y 9N 6Y ],1830.0000,0.0758
Y,N,Y,N,N,N,N,N,N,2040,[3Y 9N 6N ],2145.0000,0.0515
Y,Y,N,N,N,Y,N,Y,N,1020,[3N 6Y 9N ],1062.0000,0.0412
Y,Y,N,Y,N,Y,Y,N,Y,870,[3N 6Y 9Y ],1120.0000,0.2874
Y,Y,Y,Y,Y,Y,Y,Y,N,1860,[3Y 9N 6Y ],1830.0000,0.0161
Y,N,N,N,Y,Y,N,N,Y,1200,[3N 6Y 9Y ],1120.0000,0.0667
Y,Y,N,Y,N,N,Y,N,N,960,[3N 6N 7Y ],1140.0000,0.1875
Y,N,Y,N,Y,Y,N,N,Y,1350,[3Y 9Y ],1140.0000,0.1556
Y,N,N,N,N,N,Y,N,Y,1080,[3N 6N 7Y ],1140.0000,0.0556
Y,Y,Y,N,N,Y,Y,N,Y,1140,[3Y 9Y ],1140.0000,0.0000
Y,N,Y,N,Y,Y,N,Y,N,2190,[3Y 9N 6Y ],1830.0000,0.1644
Y,N,Y,Y,N,Y,N,N,N,1980,[3Y 9N 6Y ],1830.0000,0.0758
Y,Y,N,Y,N,N,Y,N,Y,960,[3N 6N 7Y ],1140.0000,0.1875
Y,Y,Y,N,Y,N,Y,Y,N,2190,[3Y 9N 6N ],2145.0000,0.0205
Y,Y,Y,N,Y,N,N,Y,N,2280,[3Y 9N 6N ],2145.0000,0.0592
Y,N,N,N,N,Y,Y,N,N,1020,[3N 6Y 9N ],1062.0000,0.0412
Y,N,Y,N,Y,Y,Y,N,N,1740,[3Y 9N 6Y ],1830.0000,0.0517
Y,Y,N,N,N,Y,N,N,Y,930,[3N 6Y 9Y ],1120.0000,0.2043
Y,N,N,N,N,N,N,N,N,1200,[3N 6N 7N ],1266.0000,0.0550
Y,N,N,Y,Y,Y,N,Y,N,1260,[3N 6Y 9N ],1062.0000,0.1571
Y,N,Y,N,Y,Y,Y,N,Y,1230,[3Y 9Y ],1140.0000,0.0732
Y,Y,N,N,N,N,Y,N,Y,960,[3N 6N 7Y ],1140.0000,0.1875
Y,Y,Y,N,N,N,Y,N,Y,1020,[3Y 9Y ],1140.0000,0.1176
Y,N,Y,N,N,N,Y,N,N,1920,[3Y 9N 6N ],2145.0000,0.1172
Y,N,N,Y,Y,Y,Y,N,N,1110,[3N 6Y 9N ],1062.0000,0.0432
Y,Y,Y,N,N,N,Y,N,N,1830,[3Y 9N 6N ],2145.0000,0.1721
Y,N,Y,Y,N,Y,Y,N,Y,1230,[3Y 9Y ],1140.0000,0.0732
Y,N,N,N,Y,Y,N,N,N,1020,[3N 6Y 9N ],1062.0000,0.0412
Y,N,Y,Y,Y,N,Y,N,Y,1110,[3Y 9Y ],1140.0000,0.0270
Y,Y,N,N,Y,N,Y,N,Y,960,[3N 6N 7Y ],1140.0000,0.1875
Y,Y,Y,Y,N,N,Y,Y,N,2160,[3Y 9N 6N ],2145.0000,0.0069
Y,Y,Y,Y,Y,N,N,N,N,2220,[3Y 9N 6N ],2145.0000,0.0338
Y,Y,N,N,N,Y,Y,Y,N,930,[3N 6Y 9N ],1062.0000,0.1419
Y,Y,N,N,N,Y,Y,N,N,840,[3N 6Y 9N ],1062.0000,0.2643
Y,Y,Y,Y,N,N,N,N,N,2130,[3Y 9N 6N ],2145.0000,0.0070
Y,Y,Y,Y,Y,N,Y,N,Y,1200,[3Y 9Y ],1140.0000,0.0500
Y,N,Y,N,Y,N,N,Y,N,2400,[3Y 9N 6N ],2145.0000,0.1062
Y,N,N,N,N,Y,Y,Y,N,1140,[3N 6Y 9N ],1062.0000,0.0684
Y,Y,N,Y,N,N,N,Y,N,1110,[3N 6N 7N ],1266.0000,0.1405
Y,N,Y,Y,N,Y,N,N,Y,1020,[3Y 9Y ],1140.0000,0.1176
Y,Y,N,Y,Y,Y,Y,N,N,900,[3N 6Y 9N ],1062.0000,0.1800
Y,Y,N,N,Y,N,Y,N,N,930,[3N 6N 7Y ],1140.0000,0.2258
Y,N,Y,Y,Y,N,Y,Y,N,2430,[3Y 9N 6N ],2145.0000,0.1173
Y,Y,N,Y,Y,Y,N,N,N,960,[3N 6Y 9N ],1062.0000,0.1062
Y,N,N,Y,N,N,N,N,Y,1200,[3N 6N 7N ],1266.0000,0.0550
Y,Y,N,Y,N,Y,N,N,Y,930,[3N 6Y 9Y ],1120.0000,0.2043
Y,N,N,N,N,N,Y,Y,N,1290,[3N 6N 7Y ],1140.0000,0.1163
Y,N,N,Y,N,N,Y,N,N,1230,[3N 6N 7Y ],1140.0000,0.0732
Y,N,Y,Y,Y,N,Y,N,N,2190,[3Y 9N 6N ],2145.0000,0.0205
Y,N,N,N,Y,Y,N,Y,N,1320,[3N 6Y 9N ],1062.0000,0.1955
