Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,Y,Y,Y,N,N,N,N,Y,1170,[6N 7N ],2510.0000,1.1453
Y,Y,N,N,Y,N,N,Y,N,1140,[6N 7N ],2510.0000,1.2018
Y,Y,N,N,N,Y,N,N,N,900,[6Y 2Y 7N ],2020.0000,1.2444
Y,N,Y,N,N,Y,Y,N,N,1680,[6Y 2N ],2088.0000,0.2429
Y,Y,Y,N,Y,N,Y,N,Y,1170,[6N 7Y ],2325.0000,0.9872
Y,Y,Y,Y,Y,Y,Y,Y,N,1860,[6Y 2Y 7Y ],1880.0000,0.0108
Y,N,N,N,Y,N,N,N,N,1200,[6N 7N ],2510.0000,1.0917
Y,N,Y,Y,Y,Y,Y,N,N,1890,[6Y 2N ],2088.0000,0.1048
Y,Y,Y,N,N,Y,Y,N,Y,1140,[6Y 2Y 7Y ],1880.0000,0.6491
Y,Y,Y,N,Y,N,N,N,N,1950,[6N 7N ],2510.0000,0.2872
Y,N,N,Y,N,N,Y,Y,N,1320,[6N 7Y ],2325.0000,0.7614
Y,Y,N,Y,Y,N,N,N,N,1080,[6N 7N ],2510.0000,1.3241
Y,Y,Y,N,N,N,N,Y,N,2280,[6N 7N ],2510.0000,0.1009
Y,N,Y,Y,N,N,Y,Y,N,2310,[6N 7Y ],2325.0000,0.0065
Y,N,Y,Y,N,N,Y,N,Y,1320,[6N 7Y ],2325.0000,0.7614
Y,Y,N,N,N,N,N,N,N,990,[6N 7N ],2510.0000,1.5354
Y,N,Y,N,Y,N,Y,Y,N,2430,[6N 7Y ],2325.0000,0.0432
Y,N,N,Y,N,N,N,N,Y,1200,[6N 7N ],2510.0000,1.0917
Y,Y,Y,N,Y,Y,Y,Y,N,1920,[6Y 2Y 7Y ],1880.0000,0.0208
Y,Y,N,N,N,Y,Y,Y,N,930,[6Y 2Y 7Y ],1880.0000,1.0215
Y,N,Y,Y,Y,Y,Y,Y,N,2070,[6Y 2N ],2088.0000,0.0087
Y,N,N,Y,N,Y,N,N,Y,1110,[6Y 2N ],2088.0000,0.8811
Y,Y,N,N,N,N,N,Y,N,1110,[6N 7N ],2510.0000,1.2613
Y,N,Y,Y,Y,N,N,N,Y,1200,[6N 7N ],2510.0000,1.0917
Y,N,Y,Y,N,N,N,N,Y,1290,[6N 7N ],2510.0000,0.9457
Y,Y,Y,Y,N,Y,Y,N,N,1770,[6Y 2Y 7Y ],1880.0000,0.0621
Y,N,Y,Y,Y,N,N,N,N,2370,[6N 7N ],2510.0000,0.0591
Y,N,Y,N,Y,N,N,Y,N,2400,[6N 7N ],2510.0000,0.0458
Y,N,Y,N,Y,Y,N,N,Y,1350,[6Y 2N ],2088.0000,0.5467
Y,N,Y,Y,N,Y,Y,N,N,1830,[6Y 2N ],2088.0000,0.1410
