HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance,[DomFlist],DomEst,RelErr
N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0.3834,[1N 6Y ],2.1281,4.5507
Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,10.7292,[1Y ],38.9453,2.6298
Y,N,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,6.5260,[1Y ],38.9453,4.9677
Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,Y,N,6.5398,[1Y ],38.9453,4.9551
N,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,0.4638,[1N 6N 7Y ],2.1474,3.6300
Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,21.2640,[1Y ],38.9453,0.8315
N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0.5800,[1N 6N 7Y ],2.1474,2.7024
Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,5.8173,[1Y ],38.9453,5.6947
N,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,1.2568,[1N 6Y ],2.1281,0.6933
Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,6.5372,[1Y ],38.9453,4.9575
Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,5.8602,[1Y ],38.9453,5.6457
N,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,0.4732,[1N 6N 7Y ],2.1474,3.5380
Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,6.5178,[1Y ],38.9453,4.9752
N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,0.5666,[1N 6N 7Y ],2.1474,2.7899
N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,0.9246,[1N 6N 7N ],2.3910,1.5860
Y,N,Y,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,20.0246,[1Y ],38.9453,0.9449
Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,2.0874,[1Y ],38.9453,17.6573
N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,0.5250,[1N 6Y ],2.1281,3.0536
Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,21.2842,[1Y ],38.9453,0.8298
N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,0.4617,[1N 6N 7Y ],2.1474,3.6510
Y,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,37.7616,[1Y ],38.9453,0.0313
Y,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,38.9832,[1Y ],38.9453,0.0010
Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,21.2103,[1Y ],38.9453,0.8361
N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,0.5128,[1N 6N 7N ],2.3910,3.6627
N,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,0.7619,[1N 6N 7N ],2.3910,2.1382
N,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,0.5197,[1N 6Y ],2.1281,3.0949
Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,10.7489,[1Y ],38.9453,2.6232
Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,38.9337,[1Y ],38.9453,0.0003
N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,0.3898,[1N 6Y ],2.1281,4.4595
N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,0.7534,[1N 6Y ],2.1281,1.8247
Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,21.2864,[1Y ],38.9453,0.8296
N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,0.5322,[1N 6N 7Y ],2.1474,3.0349
N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,0.9166,[1N 6Y ],2.1281,1.3218
Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,10.9228,[1Y ],38.9453,2.5655
N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,0.5681,[1N 6N 7Y ],2.1474,2.7799
N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,0.6290,[1N 6N 7N ],2.3910,2.8013
N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,0.3589,[1N 6N 7N ],2.3910,5.6621
N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,0.9276,[1N 6Y ],2.1281,1.2942
N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,0.5181,[1N 6Y ],2.1281,3.1076
N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,0.3658,[1N 6N 7N ],2.3910,5.5364
N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,0.5363,[1N 6N 7Y ],2.1474,3.0040
N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,0.5177,[1N 6Y ],2.1281,3.1107
N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,0.3538,[1N 6N 7N ],2.3910,5.7581
Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,21.2674,[1Y ],38.9453,0.8312
Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,10.9392,[1Y ],38.9453,2.5602
Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,6.5342,[1Y ],38.9453,4.9602
N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,1.2694,[1N 6N 7N ],2.3910,0.8836
N,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,0.7476,[1N 6Y ],2.1281,1.8466
N,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,0.6412,[1N 6Y ],2.1281,2.3190
Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,21.2393,[1Y ],38.9453,0.8336
N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,0.9242,[1N 6Y ],2.1281,1.3027
N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,0.5254,[1N 6Y ],2.1281,3.0505
Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,19.9646,[1Y ],38.9453,0.9507
N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,0.7546,[1N 6Y ],2.1281,1.8202
N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,0.5387,[1N 6N 7Y ],2.1474,2.9862
N,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,2.1485,[1N 6N 7Y ],2.1474,0.0005
Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,6.5220,[1Y ],38.9453,4.9714
N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,0.5182,[1N 6Y ],2.1281,3.1068
N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,0.6161,[1N 6N 7N ],2.3910,2.8809
N,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,N,0.3652,[1N 6Y ],2.1281,4.8273
Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,21.3011,[1Y ],38.9453,0.8283
N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,0.7550,[1N 6Y ],2.1281,1.8187
N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,0.7761,[1N 6N 7Y ],2.1474,1.7669
Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,10.9626,[1Y ],38.9453,2.5526
N,N,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,N,0.4477,[1N 6Y ],2.1281,3.7535
Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,2.0312,[1Y ],38.9453,18.1735
Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,5.8231,[1Y ],38.9453,5.6881
Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,20.0014,[1Y ],38.9453,0.9471
N,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,1.3114,[1N 6N 7Y ],2.1474,0.6375
Y,N,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,10.7345,[1Y ],38.9453,2.6280
Y,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,10.7378,[1Y ],38.9453,2.6269
N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,0.9533,[1N 6N 7Y ],2.1474,1.2526
N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,0.4532,[1N 6N 7N ],2.3910,4.2759
Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,10.9155,[1Y ],38.9453,2.5679
Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,37.8026,[1Y ],38.9453,0.0302
N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,N,0.5147,[1N 6Y ],2.1281,3.1347
Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,N,5.8350,[1Y ],38.9453,5.6744
N,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,0.5172,[1N 6Y ],2.1281,3.1147
Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,10.9054,[1Y ],38.9453,2.5712
