HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,10.7396,[1Y 9N 2N ],6.5274,0.3922
N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,0.5340,[1N 2Y 9N ],0.5233,0.0200
N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0.5695,[1N 2N 9Y 7Y ],0.5713,0.0032
N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,2.1552,[1N 2Y 9N ],0.5233,0.7572
N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,0.5797,[1N 2N 9Y 7Y ],0.5713,0.0145
Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,38.8631,[1Y 9N 2Y ],5.8430,0.8497
Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,21.2674,[1Y 9N 2Y ],5.8430,0.7253
N,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,N,0.7471,[1N 2Y 9N ],0.5233,0.2996
Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,10.9309,[1Y 9N 2Y ],5.8430,0.4655
N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,0.9298,[1N 2N 9N ],0.4596,0.5056
N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,0.3898,[1N 2Y 9Y ],0.3758,0.0358
Y,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,N,10.7555,[1Y 9N 2N ],6.5274,0.3931
Y,N,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,6.5407,[1Y 9N 2N ],6.5274,0.0020
Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,21.2668,[1Y 9N 2Y ],5.8430,0.7253
Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,10.9089,[1Y 9N 2Y ],5.8430,0.4644
Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,38.8233,[1Y 9N 2Y ],5.8430,0.8495
N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,0.7496,[1N 2Y 9N ],0.5233,0.3019
Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,21.1973,[1Y 9N 2Y ],5.8430,0.7244
Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,20.0173,[1Y 9N 2N ],6.5274,0.6739
Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,21.2952,[1Y 9N 2Y ],5.8430,0.7256
Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,38.9265,[1Y 9N 2Y ],5.8430,0.8499
N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,2.1470,[1N 2Y 9N ],0.5233,0.7563
Y,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,10.7362,[1Y 9N 2N ],6.5274,0.3920
N,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,0.7475,[1N 2Y 9N ],0.5233,0.2999
N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,0.9338,[1N 2N 9N ],0.4596,0.5078
Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,38.8241,[1Y 9N 2Y ],5.8430,0.8495
Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,5.8709,[1Y 9N 2Y ],5.8430,0.0048
N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,2.1604,[1N 2Y 9N ],0.5233,0.7578
Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,10.7399,[1Y 9N 2N ],6.5274,0.3922
N,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,0.6440,[1N 2N 9N ],0.4596,0.2863
N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,0.4992,[1N 2N 9N ],0.4596,0.0792
Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,6.5171,[1Y 9N 2N ],6.5274,0.0016
Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,3.2412,[1Y 9Y 2N ],3.2536,0.0038
N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,1.2693,[1N 2Y 9N ],0.5233,0.5877
N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0.5833,[1N 2N 9Y 7Y ],0.5713,0.0206
Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,5.8699,[1Y 9N 2Y ],5.8430,0.0046
Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,N,6.5068,[1Y 9N 2N ],6.5274,0.0032
Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,37.6887,[1Y 9N 2N ],6.5274,0.8268
N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,0.5693,[1N 2N 9Y 7Y ],0.5713,0.0035
Y,N,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,19.9743,[1Y 9N 2N ],6.5274,0.6732
Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,6.5263,[1Y 9N 2N ],6.5274,0.0002
Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,5.8403,[1Y 9N 2Y ],5.8430,0.0005
N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,0.9250,[1N 2N 9N ],0.4596,0.5031
Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,6.5046,[1Y 9N 2N ],6.5274,0.0035
Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,38.8024,[1Y 9N 2Y ],5.8430,0.8494
N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,0.4728,[1N 2N 9N ],0.4596,0.0278
Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,10.9227,[1Y 9N 2Y ],5.8430,0.4651
Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,20.0094,[1Y 9N 2N ],6.5274,0.6738
Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,10.7688,[1Y 9N 2N ],6.5274,0.3939
