time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,Y,N,Y,N,N,N,N,N,N,N,248.17
Y,Y,Y,Y,N,N,N,N,N,Y,Y,258.56
Y,N,Y,Y,N,Y,N,N,N,N,Y,252.27
Y,N,N,Y,N,N,N,Y,N,Y,N,212.94
Y,Y,Y,N,N,N,N,N,N,Y,N,234.87
Y,Y,Y,Y,N,Y,N,N,N,Y,N,246.94
Y,Y,Y,Y,N,Y,N,Y,N,Y,N,247.27
Y,N,N,N,N,Y,N,Y,N,N,N,207.12
Y,Y,N,N,N,Y,N,Y,N,N,Y,239.59
Y,Y,Y,Y,N,Y,N,N,N,N,N,253.96
Y,N,Y,N,N,Y,N,N,N,N,N,224.73
Y,N,N,N,N,N,N,Y,N,N,Y,216.64
Y,N,N,Y,N,Y,N,N,N,N,Y,266.19
Y,N,N,Y,N,N,N,N,N,N,Y,220.87
Y,N,Y,Y,N,N,N,N,N,Y,N,224.49
Y,N,N,Y,N,N,N,N,N,N,N,208.92
Y,Y,N,N,N,N,N,N,N,Y,Y,228.30
Y,N,Y,N,N,N,N,Y,N,N,N,221.38
Y,Y,N,Y,N,N,N,Y,N,N,N,238.62
Y,Y,N,N,N,N,N,Y,N,Y,N,224.73
Y,Y,Y,N,N,N,N,Y,N,Y,Y,249.50
Y,N,Y,N,N,N,N,N,N,Y,Y,230.74
Y,Y,N,Y,N,N,N,N,N,Y,Y,243.93
Y,Y,N,Y,N,N,N,Y,N,Y,N,235.17
Y,Y,Y,Y,N,N,N,Y,N,N,Y,264.99
Y,N,Y,Y,N,Y,N,Y,N,Y,Y,246.65
Y,Y,N,Y,N,Y,N,Y,N,Y,Y,245.56
Y,Y,N,N,N,Y,N,N,N,Y,N,222.24
Y,Y,N,Y,N,Y,N,N,N,Y,N,232.33
Y,Y,Y,N,N,Y,N,Y,N,Y,N,241.70
Y,N,N,N,N,N,N,N,N,Y,Y,212.45
Y,N,Y,Y,N,N,N,Y,N,N,N,229.28
Y,N,Y,N,N,N,N,Y,N,Y,N,220.40
Y,N,N,Y,N,N,N,N,N,Y,Y,241.78
Y,N,N,Y,N,Y,N,Y,N,N,Y,263.58
Y,N,N,Y,N,N,N,Y,N,N,Y,246.96
Y,N,Y,Y,N,N,N,N,N,Y,Y,244.92
Y,Y,N,N,N,Y,N,Y,N,Y,N,223.21
Y,N,N,N,N,N,N,N,N,Y,N,210.34
Y,Y,Y,Y,N,Y,N,Y,N,N,N,253.26
Y,Y,N,N,N,Y,N,N,N,N,Y,238.75
Y,N,N,N,N,Y,N,Y,N,Y,Y,214.65
Y,Y,N,N,N,Y,N,N,N,Y,Y,231.22
Y,Y,N,Y,N,Y,N,N,N,N,Y,252.21
Y,Y,Y,N,N,Y,N,N,N,N,Y,255.21
Y,N,Y,Y,N,N,N,N,N,N,N,224.95
Y,N,Y,Y,N,N,N,Y,N,Y,N,228.65
Y,N,Y,Y,N,Y,N,Y,N,Y,N,226.57
Y,Y,N,Y,N,N,N,Y,N,Y,Y,247.63
Y,N,N,N,N,N,N,Y,N,Y,N,203.18
Y,N,N,N,N,Y,N,N,N,N,Y,219.50
Y,Y,N,Y,N,N,N,N,N,Y,N,230.17
Y,Y,Y,Y,N,N,N,N,N,N,N,244.30
Y,Y,N,Y,N,Y,N,N,N,Y,Y,245.79
Y,Y,Y,Y,N,N,N,N,N,Y,N,244.91
Y,N,Y,Y,N,N,N,Y,N,N,Y,248.90
Y,N,Y,N,N,Y,N,N,N,Y,Y,231.62
Y,N,N,Y,N,Y,N,N,N,Y,Y,256.60
Y,Y,Y,N,N,N,N,N,N,N,N,232.70
Y,Y,Y,Y,N,Y,N,N,N,Y,Y,260.50
Y,Y,Y,Y,N,Y,N,N,N,N,Y,266.97
Y,Y,N,N,N,Y,N,N,N,N,N,230.74
