time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,N,N,Y,N,N,Y,Y,232.22,[4N 2N 8N ],221.5633,0.0459
Y,N,Y,Y,Y,N,Y,N,Y,Y,N,228.26,[4Y 11N 2N ],222.2571,0.0263
Y,N,N,N,Y,N,Y,N,Y,Y,N,202.93,[4N 2N 8N ],221.5633,0.0918
Y,Y,N,Y,N,Y,Y,N,N,N,Y,253.39,[4Y 11Y 6Y ],255.6320,0.0088
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,247.17,[4N 2Y 11N ],230.0271,0.0694
Y,N,Y,N,N,Y,Y,Y,Y,N,N,221.26,[4N 2N 8Y ],213.8950,0.0333
Y,N,Y,N,Y,Y,N,N,N,Y,Y,233.33,[4N 2N 8N ],221.5633,0.0504
Y,N,N,N,N,N,Y,N,Y,N,N,203.64,[4N 2N 8N ],221.5633,0.0880
Y,Y,Y,Y,Y,N,N,Y,N,N,Y,268.38,[4Y 11Y 6N ],246.5044,0.0815
Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,246.16,[4N 2Y 11N ],230.0271,0.0655
Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,264.74,[4Y 11Y 6Y ],255.6320,0.0344
Y,N,N,Y,Y,Y,N,Y,N,N,N,212.71,[4Y 11N 2N ],222.2571,0.0449
Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,253.54,[4Y 11Y 6N ],246.5044,0.0277
Y,N,N,Y,N,Y,Y,Y,Y,N,Y,263.57,[4Y 11Y 6Y ],255.6320,0.0301
Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,250.43,[4Y 11Y 6Y ],255.6320,0.0208
Y,N,Y,Y,N,N,Y,Y,N,Y,N,227.19,[4Y 11N 2N ],222.2571,0.0217
Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,254.42,[4N 2Y 11Y ],240.4283,0.0550
Y,N,Y,N,N,N,Y,N,Y,Y,Y,233.45,[4N 2N 8N ],221.5633,0.0509
Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,249.58,[4N 2Y 11Y ],240.4283,0.0367
Y,Y,Y,N,Y,N,N,N,N,Y,Y,247.80,[4N 2Y 11Y ],240.4283,0.0297
Y,N,Y,Y,N,N,Y,Y,N,N,N,232.76,[4Y 11N 2N ],222.2571,0.0451
Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,267.59,[4Y 11Y 6Y ],255.6320,0.0447
Y,N,Y,Y,Y,N,Y,N,Y,N,N,227.75,[4Y 11N 2N ],222.2571,0.0241
Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,235.79,[4N 2N 8N ],221.5633,0.0603
Y,Y,N,N,N,N,N,Y,N,Y,N,224.73,[4N 2Y 11N ],230.0271,0.0236
Y,Y,Y,N,N,Y,N,Y,N,Y,N,241.70,[4N 2Y 11N ],230.0271,0.0483
Y,N,Y,Y,N,N,N,Y,N,N,N,229.28,[4Y 11N 2N ],222.2571,0.0306
Y,Y,N,N,Y,Y,N,N,N,N,Y,255.64,[4N 2Y 11Y ],240.4283,0.0595
Y,Y,Y,N,Y,N,N,N,N,N,Y,254.34,[4N 2Y 11Y ],240.4283,0.0547
Y,Y,N,N,Y,Y,Y,N,N,N,N,230.59,[4N 2Y 11N ],230.0271,0.0024
Y,N,N,Y,Y,N,Y,N,Y,Y,N,213.85,[4Y 11N 2N ],222.2571,0.0393
Y,N,N,Y,N,N,Y,Y,N,N,N,212.52,[4Y 11N 2N ],222.2571,0.0458
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,254.12,[4N 2Y 11Y ],240.4283,0.0539
Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,229.55,[4Y 11N 2N ],222.2571,0.0318
Y,N,Y,Y,N,N,Y,N,N,N,Y,250.16,[4Y 11Y 6N ],246.5044,0.0146
Y,Y,N,N,Y,Y,Y,Y,N,N,N,228.56,[4N 2Y 11N ],230.0271,0.0064
Y,N,N,N,N,Y,Y,N,Y,Y,Y,216.72,[4N 2N 8N ],221.5633,0.0223
Y,N,N,N,Y,N,N,N,N,Y,N,199.68,[4N 2N 8N ],221.5633,0.1096
Y,N,N,Y,N,N,Y,N,N,Y,Y,256.94,[4Y 11Y 6N ],246.5044,0.0406
Y,N,N,Y,N,Y,N,Y,N,Y,Y,263.75,[4Y 11Y 6Y ],255.6320,0.0308
Y,Y,N,Y,Y,Y,N,Y,N,N,Y,252.89,[4Y 11Y 6Y ],255.6320,0.0108
Y,Y,N,Y,N,N,Y,Y,Y,N,N,235.97,[4Y 11N 2Y ],243.1909,0.0306
Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,219.95,[4N 2N 8Y ],213.8950,0.0275
Y,N,Y,Y,N,N,Y,Y,Y,N,N,224.99,[4Y 11N 2N ],222.2571,0.0121
Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,253.10,[4Y 11N 2Y ],243.1909,0.0392
Y,N,N,N,Y,Y,Y,N,N,N,Y,218.96,[4N 2N 8N ],221.5633,0.0119
Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,251.43,[4N 2Y 11Y ],240.4283,0.0438
Y,N,N,Y,Y,Y,Y,Y,N,N,Y,263.43,[4Y 11Y 6Y ],255.6320,0.0296
Y,Y,N,Y,Y,Y,Y,N,Y,N,N,242.46,[4Y 11N 2Y ],243.1909,0.0030
Y,N,Y,N,N,Y,Y,N,N,N,N,222.52,[4N 2N 8N ],221.5633,0.0043
Y,N,Y,Y,N,N,N,Y,N,Y,Y,249.53,[4Y 11Y 6N ],246.5044,0.0121
Y,N,Y,Y,Y,Y,N,N,N,N,N,223.77,[4Y 11N 2N ],222.2571,0.0068
Y,N,N,Y,Y,N,Y,Y,Y,N,N,214.31,[4Y 11N 2N ],222.2571,0.0371
Y,N,Y,Y,Y,N,N,N,N,N,Y,269.52,[4Y 11Y 6N ],246.5044,0.0854
Y,Y,N,Y,N,N,N,Y,N,N,Y,250.88,[4Y 11Y 6N ],246.5044,0.0174
Y,N,N,Y,N,N,Y,N,Y,N,Y,243.79,[4Y 11Y 6N ],246.5044,0.0111
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,267.51,[4Y 11Y 6Y ],255.6320,0.0444
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,269.47,[4Y 11Y 6Y ],255.6320,0.0514
Y,Y,Y,N,N,Y,Y,Y,Y,N,N,245.60,[4N 2Y 11N ],230.0271,0.0634
Y,N,N,N,Y,Y,Y,N,Y,N,N,203.93,[4N 2N 8N ],221.5633,0.0865
Y,Y,Y,Y,N,N,N,Y,N,Y,N,248.97,[4Y 11N 2Y ],243.1909,0.0232
Y,Y,Y,N,N,Y,Y,N,Y,N,Y,251.93,[4N 2Y 11Y ],240.4283,0.0457
Y,Y,N,N,N,N,Y,Y,N,N,N,226.50,[4N 2Y 11N ],230.0271,0.0156
Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,264.93,[4Y 11Y 6N ],246.5044,0.0695
Y,Y,Y,N,N,N,Y,Y,Y,N,Y,250.50,[4N 2Y 11Y ],240.4283,0.0402
Y,N,N,N,N,N,Y,Y,N,Y,N,201.90,[4N 2N 8Y ],213.8950,0.0594
Y,N,N,N,N,Y,Y,Y,N,N,Y,215.48,[4N 2N 8Y ],213.8950,0.0074
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,268.42,[4Y 11Y 6Y ],255.6320,0.0476
Y,N,N,N,Y,Y,N,Y,N,Y,Y,215.18,[4N 2N 8Y ],213.8950,0.0060
Y,N,Y,N,Y,N,N,Y,N,N,Y,234.38,[4N 2N 8Y ],213.8950,0.0874
Y,N,Y,Y,Y,N,N,Y,N,Y,Y,249.53,[4Y 11Y 6N ],246.5044,0.0121
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,246.67,[4Y 11Y 6N ],246.5044,0.0007
Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,254.42,[4N 2Y 11Y ],240.4283,0.0550
Y,N,Y,Y,N,Y,Y,N,N,Y,N,231.25,[4Y 11N 2N ],222.2571,0.0389
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,256.18,[4Y 11N 2Y ],243.1909,0.0507
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,250.49,[4Y 11N 2Y ],243.1909,0.0291
Y,Y,N,Y,N,Y,N,Y,N,N,Y,251.91,[4Y 11Y 6Y ],255.6320,0.0148
Y,N,Y,N,N,N,N,N,N,N,N,219.64,[4N 2N 8N ],221.5633,0.0088
Y,N,N,Y,N,N,Y,Y,N,Y,Y,261.13,[4Y 11Y 6N ],246.5044,0.0560
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,231.16,[4N 2N 8Y ],213.8950,0.0747
Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,253.51,[4N 2Y 11Y ],240.4283,0.0516
Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,251.31,[4Y 11Y 6Y ],255.6320,0.0172
