time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,N,Y,N,Y,N,N,N,224.18,[11N 2N 3Y ],229.2758,0.0227
Y,N,Y,Y,N,Y,N,Y,N,N,Y,252.93,[11Y 8Y 3Y ],262.1743,0.0365
Y,N,N,N,Y,N,Y,Y,Y,Y,N,207.10,[11N 2N 3N ],214.5833,0.0361
Y,Y,Y,Y,N,N,Y,Y,N,N,Y,268.58,[11Y 8Y 3Y ],262.1743,0.0239
Y,N,N,Y,Y,Y,N,Y,N,Y,N,211.48,[11N 2N 3N ],214.5833,0.0147
Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,261.36,[11Y 8Y 3Y ],262.1743,0.0031
Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,253.82,[11Y 8N 2Y ],256.2957,0.0098
Y,N,Y,Y,Y,N,Y,N,Y,N,N,227.73,[11N 2N 3Y ],229.2758,0.0068
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,254.13,[11N 2Y 3Y ],250.9838,0.0124
Y,N,N,N,Y,Y,Y,N,Y,Y,Y,216.87,[11Y 8N 2N ],250.0833,0.1531
Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,218.62,[11N 2N 3N ],214.5833,0.0185
Y,N,N,N,Y,N,Y,N,Y,Y,N,205.87,[11N 2N 3N ],214.5833,0.0423
Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,215.95,[11N 2N 3N ],214.5833,0.0063
Y,Y,N,Y,N,N,N,N,N,Y,Y,243.93,[11Y 8N 2Y ],256.2957,0.0507
Y,N,N,N,Y,N,N,Y,N,Y,Y,217.19,[11Y 8Y 3N ],257.0750,0.1836
Y,N,N,Y,N,Y,Y,N,Y,Y,Y,265.40,[11Y 8N 2N ],250.0833,0.0577
Y,Y,N,N,N,Y,Y,N,N,N,Y,237.89,[11Y 8N 2Y ],256.2957,0.0774
Y,Y,N,Y,N,N,N,N,N,N,N,248.17,[11N 2Y 3N ],235.4914,0.0511
Y,N,Y,N,N,Y,N,N,N,N,N,224.73,[11N 2N 3Y ],229.2758,0.0202
Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,234.45,[11Y 8Y 3N ],257.0750,0.0965
Y,N,Y,N,N,N,N,Y,N,N,Y,234.27,[11Y 8Y 3Y ],262.1743,0.1191
Y,N,Y,N,Y,Y,Y,Y,N,N,Y,234.75,[11Y 8Y 3Y ],262.1743,0.1168
Y,N,Y,Y,N,N,Y,N,Y,N,N,227.13,[11N 2N 3Y ],229.2758,0.0094
