time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,Y,Y,N,N,Y,Y,Y,Y,N,232.29
Y,N,N,Y,N,Y,Y,N,Y,Y,N,213.60
Y,N,N,Y,N,N,Y,Y,Y,N,Y,264.18
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,252.14
Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,262.67
Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,267.70
Y,N,Y,Y,N,Y,Y,Y,Y,N,N,230.94
Y,N,Y,Y,N,N,Y,Y,Y,N,Y,245.50
Y,N,N,Y,N,Y,Y,N,Y,Y,N,215.94
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,268.42
Y,Y,N,Y,N,N,Y,N,Y,Y,Y,246.39
Y,N,N,Y,N,N,Y,Y,Y,Y,Y,244.12
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,266.11
Y,N,Y,Y,Y,N,Y,N,Y,N,N,227.75
Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,262.60
Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,253.54
Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,266.39
Y,N,N,Y,N,N,Y,N,Y,Y,N,215.85
Y,N,N,Y,N,N,Y,N,Y,Y,N,211.39
Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,260.41
Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,251.25
Y,N,N,Y,N,N,Y,Y,Y,N,N,214.25
Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,231.21
Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,254.27
Y,N,N,Y,Y,N,Y,Y,Y,Y,N,215.74
Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,258.23
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,265.82
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,261.85
Y,Y,Y,Y,N,N,Y,Y,Y,N,N,254.14
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,231.20
Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,247.26
Y,N,N,Y,N,Y,Y,Y,Y,N,N,211.00
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,262.68
Y,N,N,Y,Y,N,Y,Y,Y,N,N,214.31
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,250.62
Y,N,N,Y,Y,Y,Y,N,Y,Y,N,215.37
Y,N,Y,Y,Y,N,Y,Y,Y,N,N,229.56
Y,N,N,Y,N,N,Y,N,Y,Y,Y,246.13
Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,261.69
Y,N,N,Y,Y,N,Y,N,Y,N,N,211.59
Y,N,Y,Y,N,Y,Y,N,Y,N,N,228.27
Y,Y,N,Y,N,N,Y,N,Y,Y,Y,248.78
Y,N,N,Y,N,Y,Y,N,Y,N,Y,258.16
Y,N,N,Y,Y,Y,Y,N,Y,N,N,213.97
Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,231.33
Y,Y,N,Y,N,N,Y,Y,Y,Y,N,240.99
Y,Y,N,Y,N,N,Y,N,Y,N,N,236.24
Y,N,N,Y,N,Y,Y,N,Y,N,Y,261.77
Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,251.79
Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,264.29
Y,Y,N,Y,N,N,Y,Y,Y,N,Y,243.81
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,264.60
Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,242.50
Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,248.70
Y,N,N,Y,N,Y,Y,N,Y,Y,Y,263.13
Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,262.74
Y,N,Y,Y,N,N,Y,N,Y,N,Y,248.43
Y,N,Y,Y,N,N,Y,N,Y,N,Y,247.47
Y,N,N,Y,Y,Y,Y,Y,Y,N,N,214.41
Y,N,Y,Y,N,N,Y,N,Y,Y,Y,248.20
Y,Y,N,Y,N,Y,Y,N,Y,N,Y,248.60
Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,250.40
