no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance,[DomFlist],DomEst,RelErr
Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,494.257,[15Y 7N 6Y ],500.5940,0.0128
Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,244.333,[15N 7Y ],530.5721,1.1715
Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,561.970,[15N 7Y ],530.5721,0.0559
Y,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,378.417,[15Y 7Y 6N ],374.0011,0.0117
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,361.703,[15Y 7Y 6N ],374.0011,0.0340
Y,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,604.887,[15N 7N 6N ],600.4067,0.0074
Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,408.617,[15Y 7Y 6Y ],418.1541,0.0233
Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,690.717,[15N 7N 6Y ],703.1932,0.0181
Y,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,263.823,[15N 7N 6N ],600.4067,1.2758
Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,279.740,[15N 7Y ],530.5721,0.8967
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,363.937,[15Y 7Y 6N ],374.0011,0.0277
Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,462.740,[15Y 7Y 6Y ],418.1541,0.0964
Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,588.540,[15N 7N 6N ],600.4067,0.0202
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,490.043,[15N 7Y ],530.5721,0.0827
Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,299.707,[15N 7N 6Y ],703.1932,1.3463
Y,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,433.223,[15Y 7Y 6Y ],418.1541,0.0348
