no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,581.717
Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,419.700
Y,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,445.487
Y,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,518.800
Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,420.683
Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,421.113
Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,706.247
Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,742.463
Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,588.540
Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,706.063
Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,426.417
Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,518.567
Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,590.837
Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,487.737
Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,495.560
Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,488.773
Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,617.420
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,445.577
Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,494.597
Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,731.410
Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,712.953
Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,590.550
Y,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,604.887
Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,494.320
Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,715.583
Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,607.700
Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,741.887
Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,508.547
Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,731.760
Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,584.977
Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,487.583
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,439.020
Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,516.587
Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,745.443
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,604.483
Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,607.927
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,613.447
Y,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,745.597
Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,509.803
Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,516.767
