no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,817.793
Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,580.410
Y,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,295.610
Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,535.697
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,433.693
Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,247.507
Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,666.553
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,299.677
Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,476.310
Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,425.873
Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,256.340
Y,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,447.647
Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,513.233
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,444.607
Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,266.670
Y,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,498.490
Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,780.930
Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,295.683
Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,545.017
Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,279.757
Y,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,305.443
Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,286.427
Y,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,256.820
Y,N,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,516.220
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,427.243
Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,275.920
Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,506.360
Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,588.200
Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,487.373
Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,666.493
Y,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,712.917
Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,561.960
