N,2N,3N,I2
0.3713,0.4877,0.0688,0.0088
0.8271,0.4874,0.4176,0.013
3.2524,0.4862,0.1843,0.0017
0.3581,0.3239,0.1845,0.0357
0.2345,0.0534,0.4047,0.76
0.0019,0.6587,0.2616,0.0027
0.4454,0.0995,0.4622,0.0556
1.173,0.1421,0.0779,0.0976
2.0509,0.4886,0.8973,0.0259
0.2934,0.0316,0.4797,0.0024
0.0029,0.1148,2.4602,0.5137
0.463,0.4844,0.0156,0.0191
0.2933,20.2744,0.3443,0.0102
3.4309,7.964,2.1122,0.0341
0.9962,0.4828,0.4793,0.0992
0.0144,0.3164,0.5254,0.003
1.1083,0.1137,0.6727,0.3947
0.1818,0.481,0.8532,0.0013
1.1067,8.0522,0.1409,0.0115
0.6365,0.3196,0.0469,0.362
0.0015,0.4809,0.7741,0.0082
0.0091,0.0871,0.1021,0.0011
11.0265,0.4869,0.0632,0.0347
0.6131,0.4812,2.1125,0.009
0.1811,0.3186,1.8211,0.0012
0.1852,0.4289,0.1948,0.0052
0.1875,0.1019,0.3952,0.4854
0.2941,0.5043,0.3198,0.0003
11.3607,0.5946,0.016,0.0075
0.0332,0.6595,0.0489,0.3524
0.3924,0.0838,0.3803,0.1259
0.8025,0.0707,0.1211,0.1349
0.32,0.4867,0.8932,0.7741
0.0768,0.545,0.2753,0.0374
1.151,7.1296,0.3792,0.1623
10.9642,1.3676,0.8904,0.035
1.2888,0.5157,0.612,0.0014
3.2901,8.1429,0.8913,0.0898
0.6143,0.2081,0.3888,0.0138
0.0012,0.1519,0.1003,0.0799
0.638,0.5457,0.0635,0.0161
1.2842,0.5448,0.3003,0.0003
0.1549,0.3169,0.2726,0.009
0.0093,0.4807,0.2784,0.0022
0.1916,0.118,1.1179,0.0041
0.0434,0.0873,0.181,0.3574
0.0004,7.1054,0.0025,0.4942
3.413,7.08,0.1332,0.0085
0.7959,0.068,0.0215,0.0003
0.1396,0.544,0.3554,0.075
0.6735,0.0568,1.1022,0.4544
0.2936,0.3453,0.3318,0.0006
0.6374,0.1005,0.5099,0.0506
0.2385,0.1612,2.1195,0.0007
1.098,0.6521,0.3095,0.0195
0.3207,0.1134,0.4802,0.1216
0.6737,0.0395,0.1504,0.0112
0.3541,0.0341,0.111,0.3815
0.1734,0.5171,0.1403,0.0327
0.8268,0.6732,0.0315,0.0007
0.0001,0.594,0.8878,0.0075
