Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,Y,Y,Y,N,Y,Y,N,2430
Y,Y,Y,Y,N,Y,N,N,Y,1080
Y,N,Y,N,Y,Y,Y,N,N,1740
Y,N,Y,N,Y,N,N,N,Y,1380
Y,N,N,Y,N,Y,N,N,N,1170
Y,Y,Y,Y,N,N,Y,N,N,2010
Y,Y,Y,Y,N,N,N,Y,N,2160
Y,Y,N,Y,Y,Y,N,N,N,960
Y,Y,N,Y,Y,Y,Y,N,N,900
Y,Y,N,N,Y,Y,Y,N,Y,900
Y,Y,N,Y,Y,N,N,N,Y,1050
Y,N,N,N,Y,Y,N,N,Y,1200
Y,Y,N,N,Y,Y,N,N,Y,930
Y,Y,N,Y,Y,Y,N,Y,N,1020
Y,Y,N,Y,N,Y,Y,N,N,900
Y,N,N,N,N,N,Y,Y,N,1290
Y,N,Y,N,N,N,N,N,N,2040
Y,Y,N,Y,N,Y,N,Y,N,990
