Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,Y,Y,N,N,Y,Y,N,N,1620,[3Y 9N 2Y ],1960.0000,0.2099
Y,N,Y,N,N,Y,N,Y,N,2130,[3Y 9N 2N ],2120.0000,0.0047
Y,N,Y,Y,Y,Y,N,N,Y,1200,[3Y 9Y 4Y ],1170.0000,0.0250
Y,Y,N,N,N,N,Y,N,N,900,[3N 2Y 8N ],920.0000,0.0222
Y,N,Y,Y,Y,Y,Y,Y,N,2070,[3Y 9N 2N ],2120.0000,0.0242
Y,Y,N,N,Y,Y,Y,N,Y,900,[3N 2Y 8N ],920.0000,0.0222
Y,Y,Y,N,N,N,Y,Y,N,2160,[3Y 9N 2Y ],1960.0000,0.0926
Y,Y,Y,N,N,Y,Y,Y,N,1860,[3Y 9N 2Y ],1960.0000,0.0538
Y,Y,Y,N,N,Y,Y,N,Y,1140,[3Y 9Y 4N ],1250.0000,0.0965
Y,N,Y,Y,Y,Y,N,N,N,2040,[3Y 9N 2N ],2120.0000,0.0392
Y,N,N,Y,N,N,Y,Y,N,1320,[3N 2N 8Y ],1260.0000,0.0455
Y,Y,N,N,N,Y,Y,N,Y,870,[3N 2Y 8N ],920.0000,0.0575
Y,Y,Y,Y,Y,Y,Y,Y,N,1860,[3Y 9N 2Y ],1960.0000,0.0538
Y,Y,Y,N,Y,Y,Y,N,N,1680,[3Y 9N 2Y ],1960.0000,0.1667
Y,Y,Y,N,N,Y,N,N,Y,1200,[3Y 9Y 4N ],1250.0000,0.0417
Y,N,Y,Y,N,Y,N,N,Y,1020,[3Y 9Y 4Y ],1170.0000,0.1471
Y,Y,Y,Y,Y,Y,Y,N,N,1800,[3Y 9N 2Y ],1960.0000,0.0889
Y,Y,N,N,N,Y,Y,Y,N,930,[3N 2Y 8Y ],1072.5000,0.1532
Y,Y,N,Y,Y,Y,Y,N,N,900,[3N 2Y 8N ],920.0000,0.0222
Y,N,N,N,Y,Y,N,Y,N,1320,[3N 2N 8Y ],1260.0000,0.0455
Y,N,Y,Y,Y,N,N,Y,N,2640,[3Y 9N 2N ],2120.0000,0.1970
Y,N,Y,Y,N,Y,N,Y,N,2100,[3Y 9N 2N ],2120.0000,0.0095
Y,Y,Y,N,N,N,N,Y,N,2280,[3Y 9N 2Y ],1960.0000,0.1404
Y,Y,N,N,N,Y,Y,N,N,840,[3N 2Y 8N ],920.0000,0.0952
Y,Y,N,Y,N,N,N,N,Y,990,[3N 2Y 8N ],920.0000,0.0707
Y,Y,Y,N,N,N,N,N,N,1950,[3Y 9N 2Y ],1960.0000,0.0051
Y,N,N,Y,Y,N,N,N,Y,1200,[3N 2N 8N ],1102.5000,0.0812
Y,N,Y,N,Y,N,Y,N,Y,1110,[3Y 9Y 4N ],1250.0000,0.1261
Y,N,N,Y,Y,Y,Y,Y,N,1230,[3N 2N 8Y ],1260.0000,0.0244
Y,N,Y,N,N,N,Y,N,Y,1350,[3Y 9Y 4N ],1250.0000,0.0741
Y,N,N,Y,N,N,N,Y,N,1410,[3N 2N 8Y ],1260.0000,0.1064
Y,Y,Y,Y,Y,N,Y,N,Y,1200,[3Y 9Y 4Y ],1170.0000,0.0250
Y,N,N,N,N,N,N,Y,N,1410,[3N 2N 8Y ],1260.0000,0.1064
Y,N,Y,Y,Y,N,Y,Y,N,2430,[3Y 9N 2N ],2120.0000,0.1276
Y,Y,N,Y,Y,N,Y,N,Y,990,[3N 2Y 8N ],920.0000,0.0707
Y,N,N,Y,N,Y,N,N,N,1170,[3N 2N 8N ],1102.5000,0.0577
Y,Y,N,Y,Y,Y,Y,N,Y,870,[3N 2Y 8N ],920.0000,0.0575
Y,N,Y,N,Y,Y,Y,N,Y,1230,[3Y 9Y 4N ],1250.0000,0.0163
Y,N,N,N,N,Y,Y,N,N,1020,[3N 2N 8N ],1102.5000,0.0809
Y,N,Y,N,N,N,N,N,N,2040,[3Y 9N 2N ],2120.0000,0.0392
Y,N,N,N,N,N,N,N,Y,1230,[3N 2N 8N ],1102.5000,0.1037
Y,N,Y,N,Y,N,N,N,Y,1380,[3Y 9Y 4N ],1250.0000,0.0942
Y,N,N,N,N,N,Y,N,N,1110,[3N 2N 8N ],1102.5000,0.0068
Y,N,N,Y,Y,Y,N,N,N,1200,[3N 2N 8N ],1102.5000,0.0812
Y,Y,Y,Y,N,Y,Y,Y,N,1860,[3Y 9N 2Y ],1960.0000,0.0538
Y,Y,Y,Y,Y,N,N,N,Y,1050,[3Y 9Y 4Y ],1170.0000,0.1143
Y,N,N,N,N,N,N,N,N,1200,[3N 2N 8N ],1102.5000,0.0812
Y,N,N,N,Y,Y,Y,N,N,990,[3N 2N 8N ],1102.5000,0.1136
Y,Y,Y,N,N,Y,N,Y,N,1980,[3Y 9N 2Y ],1960.0000,0.0101
Y,N,N,N,Y,Y,N,N,N,1020,[3N 2N 8N ],1102.5000,0.0809
Y,N,Y,N,Y,Y,Y,Y,N,2100,[3Y 9N 2N ],2120.0000,0.0095
Y,Y,N,Y,Y,N,Y,Y,N,1080,[3N 2Y 8Y ],1072.5000,0.0069
Y,Y,Y,Y,N,N,N,N,N,2130,[3Y 9N 2Y ],1960.0000,0.0798
Y,Y,Y,N,Y,N,N,N,Y,1320,[3Y 9Y 4N ],1250.0000,0.0530
Y,N,Y,Y,N,Y,Y,Y,N,1980,[3Y 9N 2N ],2120.0000,0.0707
Y,Y,Y,N,Y,N,N,N,N,1950,[3Y 9N 2Y ],1960.0000,0.0051
Y,N,N,Y,N,N,Y,N,Y,1140,[3N 2N 8N ],1102.5000,0.0329
Y,Y,N,N,Y,N,N,N,N,960,[3N 2Y 8N ],920.0000,0.0417
Y,N,N,Y,N,N,Y,N,N,1230,[3N 2N 8N ],1102.5000,0.1037
Y,N,Y,N,N,Y,N,N,Y,1230,[3Y 9Y 4N ],1250.0000,0.0163
Y,N,N,Y,Y,N,Y,N,N,1170,[3N 2N 8N ],1102.5000,0.0577
Y,N,Y,Y,N,N,Y,N,N,2130,[3Y 9N 2N ],2120.0000,0.0047
Y,N,N,N,N,Y,N,Y,N,1260,[3N 2N 8Y ],1260.0000,0.0000
Y,Y,N,Y,Y,N,N,N,Y,1050,[3N 2Y 8N ],920.0000,0.1238
Y,N,Y,N,N,N,Y,Y,N,2250,[3Y 9N 2N ],2120.0000,0.0578
Y,Y,N,N,Y,Y,Y,Y,N,960,[3N 2Y 8Y ],1072.5000,0.1172
Y,Y,Y,N,Y,Y,N,Y,N,2070,[3Y 9N 2Y ],1960.0000,0.0531
Y,Y,N,Y,Y,Y,N,Y,N,1020,[3N 2Y 8Y ],1072.5000,0.0515
Y,Y,Y,N,N,N,Y,N,N,1830,[3Y 9N 2Y ],1960.0000,0.0710
Y,Y,Y,N,Y,N,Y,N,N,1890,[3Y 9N 2Y ],1960.0000,0.0370
Y,N,Y,N,N,Y,Y,N,N,1680,[3Y 9N 2N ],2120.0000,0.2619
Y,Y,Y,Y,N,Y,N,N,Y,1080,[3Y 9Y 4Y ],1170.0000,0.0833
Y,Y,N,Y,N,Y,N,N,N,930,[3N 2Y 8N ],920.0000,0.0108
Y,Y,N,N,Y,N,Y,Y,N,1050,[3N 2Y 8Y ],1072.5000,0.0214
Y,Y,N,Y,N,N,N,N,N,1050,[3N 2Y 8N ],920.0000,0.1238
Y,N,Y,N,N,Y,Y,N,Y,1260,[3Y 9Y 4N ],1250.0000,0.0079
Y,N,N,N,N,Y,Y,N,Y,1080,[3N 2N 8N ],1102.5000,0.0208
Y,N,Y,Y,N,N,N,N,Y,1290,[3Y 9Y 4Y ],1170.0000,0.0930
Y,N,N,Y,Y,N,Y,N,Y,1230,[3N 2N 8N ],1102.5000,0.1037
Y,Y,Y,Y,N,N,N,Y,N,2160,[3Y 9N 2Y ],1960.0000,0.0926
Y,N,Y,Y,Y,N,Y,N,N,2190,[3Y 9N 2N ],2120.0000,0.0320
Y,Y,Y,N,Y,Y,Y,Y,N,1920,[3Y 9N 2Y ],1960.0000,0.0208
Y,N,N,N,Y,N,N,N,Y,1260,[3N 2N 8N ],1102.5000,0.1250
Y,Y,Y,N,Y,Y,N,N,N,1770,[3Y 9N 2Y ],1960.0000,0.1073
Y,Y,N,Y,N,N,N,Y,N,1110,[3N 2Y 8Y ],1072.5000,0.0338
Y,N,N,Y,N,Y,N,N,Y,1110,[3N 2N 8N ],1102.5000,0.0068
Y,Y,Y,Y,Y,N,N,N,N,2220,[3Y 9N 2Y ],1960.0000,0.1171
Y,Y,N,N,N,N,N,Y,N,1110,[3N 2Y 8Y ],1072.5000,0.0338
Y,N,N,N,Y,N,Y,N,N,1140,[3N 2N 8N ],1102.5000,0.0329
Y,Y,N,N,Y,N,N,N,Y,1020,[3N 2Y 8N ],920.0000,0.0980
Y,Y,N,N,N,N,Y,Y,N,1020,[3N 2Y 8Y ],1072.5000,0.0515
Y,N,Y,N,Y,Y,N,Y,N,2190,[3Y 9N 2N ],2120.0000,0.0320
Y,Y,N,Y,Y,N,N,Y,N,1140,[3N 2Y 8Y ],1072.5000,0.0592
Y,Y,Y,N,N,N,N,N,Y,1140,[3Y 9Y 4N ],1250.0000,0.0965
Y,Y,N,N,Y,N,Y,N,N,930,[3N 2Y 8N ],920.0000,0.0108
Y,N,Y,N,Y,Y,Y,N,N,1740,[3Y 9N 2N ],2120.0000,0.2184
Y,Y,N,N,N,Y,N,N,Y,930,[3N 2Y 8N ],920.0000,0.0108
Y,N,N,N,Y,Y,Y,N,Y,1050,[3N 2N 8N ],1102.5000,0.0500
Y,N,Y,Y,Y,Y,Y,N,N,1890,[3Y 9N 2N ],2120.0000,0.1217
Y,N,Y,Y,N,Y,Y,N,Y,1230,[3Y 9Y 4Y ],1170.0000,0.0488
Y,Y,N,N,N,N,N,N,Y,990,[3N 2Y 8N ],920.0000,0.0707
Y,Y,Y,Y,N,N,Y,Y,N,2160,[3Y 9N 2Y ],1960.0000,0.0926
Y,Y,N,N,Y,Y,Y,N,N,840,[3N 2Y 8N ],920.0000,0.0952
Y,Y,N,N,Y,Y,N,Y,N,1020,[3N 2Y 8Y ],1072.5000,0.0515
Y,Y,Y,N,Y,Y,Y,N,Y,1500,[3Y 9Y 4N ],1250.0000,0.1667
Y,Y,N,Y,N,Y,Y,Y,N,960,[3N 2Y 8Y ],1072.5000,0.1172
Y,Y,Y,Y,Y,Y,N,Y,N,2100,[3Y 9N 2Y ],1960.0000,0.0667
Y,Y,N,Y,Y,Y,N,N,Y,930,[3N 2Y 8N ],920.0000,0.0108
Y,Y,Y,N,Y,Y,N,N,Y,1080,[3Y 9Y 4N ],1250.0000,0.1574
Y,Y,Y,Y,Y,Y,N,N,Y,1170,[3Y 9Y 4Y ],1170.0000,0.0000
Y,Y,N,Y,N,Y,Y,N,N,900,[3N 2Y 8N ],920.0000,0.0222
Y,N,N,N,Y,Y,Y,Y,N,1230,[3N 2N 8Y ],1260.0000,0.0244
Y,N,Y,N,Y,N,N,N,N,2100,[3Y 9N 2N ],2120.0000,0.0095
Y,Y,Y,Y,Y,Y,Y,N,Y,870,[3Y 9Y 4Y ],1170.0000,0.3448
Y,Y,N,N,Y,N,Y,N,Y,960,[3N 2Y 8N ],920.0000,0.0417
Y,Y,Y,N,Y,N,N,Y,N,2280,[3Y 9N 2Y ],1960.0000,0.1404
Y,N,Y,Y,N,Y,Y,N,N,1830,[3Y 9N 2N ],2120.0000,0.1585
Y,N,Y,Y,N,N,Y,Y,N,2310,[3Y 9N 2N ],2120.0000,0.0823
Y,N,N,N,N,Y,N,N,N,1080,[3N 2N 8N ],1102.5000,0.0208
Y,Y,Y,Y,N,Y,N,N,N,1890,[3Y 9N 2Y ],1960.0000,0.0370
Y,N,N,Y,N,Y,Y,N,N,1080,[3N 2N 8N ],1102.5000,0.0208
Y,Y,Y,N,N,N,Y,N,Y,1020,[3Y 9Y 4N ],1250.0000,0.2255
Y,N,N,Y,Y,N,N,N,N,1350,[3N 2N 8N ],1102.5000,0.1833
Y,N,N,N,Y,N,Y,N,Y,1200,[3N 2N 8N ],1102.5000,0.0812
Y,N,N,N,Y,N,N,N,N,1200,[3N 2N 8N ],1102.5000,0.0812
Y,N,Y,N,Y,N,Y,N,N,1950,[3Y 9N 2N ],2120.0000,0.0872
Y,N,Y,Y,N,N,N,Y,N,2460,[3Y 9N 2N ],2120.0000,0.1382
Y,Y,N,Y,N,Y,Y,N,Y,870,[3N 2Y 8N ],920.0000,0.0575
Y,Y,N,N,Y,Y,N,N,N,900,[3N 2Y 8N ],920.0000,0.0222
Y,N,Y,N,Y,Y,N,N,N,1830,[3Y 9N 2N ],2120.0000,0.1585
Y,N,N,Y,Y,N,Y,Y,N,1380,[3N 2N 8Y ],1260.0000,0.0870
