time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,Y,N,N,N,Y,N,Y,N,N,221.17
Y,N,Y,N,Y,N,N,N,N,Y,Y,231.32
Y,Y,N,N,N,Y,Y,N,N,N,N,229.68
Y,N,Y,Y,N,Y,N,N,N,N,N,230.54
Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,243.12
Y,N,Y,Y,Y,N,Y,N,Y,Y,N,228.26
Y,N,N,Y,Y,N,Y,Y,Y,N,N,214.15
Y,N,N,Y,N,Y,N,Y,N,N,Y,263.58
Y,N,N,N,Y,Y,Y,Y,N,Y,Y,216.91
Y,N,Y,Y,N,N,Y,N,Y,N,Y,248.43
Y,Y,N,N,N,Y,N,N,N,N,N,230.74
Y,Y,Y,N,Y,N,N,N,N,N,Y,254.34
Y,N,N,N,N,N,Y,N,N,Y,Y,214.37
Y,N,Y,Y,Y,Y,N,Y,N,N,Y,250.61
Y,Y,N,Y,N,N,Y,N,Y,Y,Y,246.39
Y,N,Y,Y,Y,N,Y,N,Y,N,N,227.75
Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,218.50
Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,249.36
Y,Y,N,Y,N,Y,Y,Y,Y,N,N,237.37
Y,Y,Y,N,N,N,N,N,N,Y,N,234.87
Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,249.57
Y,Y,N,N,N,N,Y,N,Y,N,Y,232.62
Y,N,N,Y,N,N,Y,N,N,Y,Y,256.94
Y,Y,Y,Y,N,Y,Y,Y,N,N,N,252.68
Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,264.29
Y,Y,Y,Y,Y,N,Y,N,N,Y,N,251.41
Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,262.95
Y,N,Y,N,Y,Y,Y,N,Y,N,N,220.37
Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,258.23
Y,N,N,N,N,N,N,Y,N,Y,N,203.18
Y,N,N,Y,N,N,Y,Y,N,N,Y,259.39
Y,Y,Y,N,N,N,N,Y,N,N,N,242.92
Y,N,N,Y,Y,N,N,N,N,N,N,217.29
