time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,N,N,Y,N,N,N,Y,N,Y,N,212.94,[11N 2N 6N ],215.5950,0.0125
Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,251.25,[11Y 4Y ],254.5309,0.0131
Y,N,Y,N,Y,Y,N,N,N,Y,Y,233.33,[11Y 4N 2N ],225.4482,0.0338
Y,N,N,N,N,Y,N,Y,N,N,N,207.12,[11N 2N 6Y ],211.9533,0.0233
Y,N,Y,N,N,N,Y,Y,N,Y,N,218.89,[11N 2N 6N ],215.5950,0.0151
Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,252.87,[11Y 4N 2Y ],246.6420,0.0246
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,223.52,[11N 2N 6Y ],211.9533,0.0517
Y,N,Y,N,N,Y,Y,N,N,Y,N,222.19,[11N 2N 6Y ],211.9533,0.0461
Y,N,Y,N,Y,Y,N,N,N,Y,N,218.12,[11N 2N 6Y ],211.9533,0.0283
Y,N,Y,Y,N,Y,Y,Y,N,Y,N,228.86,[11N 2N 6Y ],211.9533,0.0739
Y,Y,Y,N,Y,Y,N,N,N,Y,Y,249.37,[11Y 4N 2Y ],246.6420,0.0109
Y,N,N,N,N,N,Y,Y,Y,N,Y,217.55,[11Y 4N 2N ],225.4482,0.0363
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,257.17,[11N 2Y 3Y ],248.4988,0.0337
Y,N,Y,Y,N,N,N,N,N,N,Y,256.25,[11Y 4Y ],254.5309,0.0067
Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,248.65,[11Y 4Y ],254.5309,0.0237
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,252.58,[11N 2Y 3Y ],248.4988,0.0162
Y,Y,Y,N,N,Y,N,Y,N,Y,Y,250.34,[11Y 4N 2Y ],246.6420,0.0148
Y,N,N,Y,Y,N,Y,N,Y,Y,Y,259.50,[11Y 4Y ],254.5309,0.0191
Y,Y,Y,Y,Y,N,N,Y,N,Y,N,247.80,[11N 2Y 3Y ],248.4988,0.0028
Y,N,Y,N,N,Y,Y,N,Y,Y,Y,233.43,[11Y 4N 2N ],225.4482,0.0342
Y,N,Y,N,N,N,Y,N,N,Y,N,218.97,[11N 2N 6N ],215.5950,0.0154
Y,Y,N,N,N,Y,N,Y,N,Y,N,223.21,[11N 2Y 3N ],229.8475,0.0297
Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,262.11,[11Y 4Y ],254.5309,0.0289
