no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance,[DomFlist],DomEst,RelErr
Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,721.757,[16Y 7N 5N ],651.6514,0.0971
Y,N,Y,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,604.747,[16Y 7N 5N ],651.6514,0.0776
Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,555.180,[16Y 7Y 6Y ],641.9700,0.1563
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,277.533,[16N 14Y 6N ],257.3020,0.0729
Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,617.420,[16Y 7N 5N ],651.6514,0.0554
Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,270.137,[16N 14Y 6N ],257.3020,0.0475
Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,561.933,[16Y 7Y 6Y ],641.9700,0.1424
Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,687.033,[16Y 7N 5N ],651.6514,0.0515
Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,491.687,[16N 14N 7N ],507.7717,0.0327
Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,580.577,[16Y 7Y 6Y ],641.9700,0.1057
Y,N,Y,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,295.620,[16N 14Y 6Y ],295.3490,0.0009
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,476.100,[16N 14N 7Y ],428.6537,0.0997
Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,279.333,[16N 14Y 6N ],257.3020,0.0789
Y,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,721.867,[16Y 7N 5N ],651.6514,0.0973
Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,295.367,[16N 14Y 6Y ],295.3490,0.0001
Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,775.540,[16Y 7N 5Y ],734.0783,0.0535
Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,377.830,[16N 14N 7Y ],428.6537,0.1345
Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,269.917,[16N 14Y 6N ],257.3020,0.0467
Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,419.397,[16N 14N 7N ],507.7717,0.2107
Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,505.857,[16N 14N 7N ],507.7717,0.0038
Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,773.220,[16Y 7N 5Y ],734.0783,0.0506
Y,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,380.840,[16N 14N 7Y ],428.6537,0.1255
Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,380.147,[16N 14N 7Y ],428.6537,0.1276
Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,N,Y,680.647,[16Y 7N 5N ],651.6514,0.0426
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,252.630,[16N 14Y 6N ],257.3020,0.0185
Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,629.337,[16Y 7Y 6N ],572.7120,0.0900
Y,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,510.857,[16Y 7Y 6N ],572.7120,0.1211
Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,266.527,[16N 14Y 6N ],257.3020,0.0346
Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,295.503,[16N 14Y 6Y ],295.3490,0.0005
Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,733.217,[16Y 7N 5Y ],734.0783,0.0012
Y,N,Y,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,262.653,[16N 14Y 6N ],257.3020,0.0204
Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,807.017,[16Y 7N 5Y ],734.0783,0.0904
Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,433.913,[16N 14N 7Y ],428.6537,0.0121
Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,610.687,[16Y 7Y 6N ],572.7120,0.0622
Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,299.690,[16N 14Y 6Y ],295.3490,0.0145
Y,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,370.770,[16N 14N 7Y ],428.6537,0.1561
Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,712.953,[16Y 7N 5Y ],734.0783,0.0296
Y,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,N,Y,712.743,[16Y 7N 5N ],651.6514,0.0857
Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,310.250,[16N 14Y 6Y ],295.3490,0.0480
Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,485.537,[16N 14N 7N ],507.7717,0.0458
Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,492.623,[16N 14N 7N ],507.7717,0.0308
Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,487.010,[16N 14N 7N ],507.7717,0.0426
Y,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,616.960,[16Y 7N 5N ],651.6514,0.0562
Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,588.200,[16Y 7N 5N ],651.6514,0.1079
Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,263.207,[16N 14Y 6N ],257.3020,0.0224
Y,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,383.053,[16N 14N 7Y ],428.6537,0.1190
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,299.703,[16N 14Y 6Y ],295.3490,0.0145
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,279.903,[16N 14Y 6Y ],295.3490,0.0552
Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,485.583,[16N 14N 7N ],507.7717,0.0457
Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,645.540,[16Y 7Y 6Y ],641.9700,0.0055
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,251.587,[16N 14Y 6N ],257.3020,0.0227
Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,275.427,[16N 14Y 6Y ],295.3490,0.0723
Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,367.543,[16N 14N 7Y ],428.6537,0.1663
Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,434.970,[16N 14N 7Y ],428.6537,0.0145
Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,416.263,[16N 14N 7N ],507.7717,0.2198
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,299.677,[16N 14Y 6Y ],295.3490,0.0144
Y,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,715.827,[16Y 7N 5N ],651.6514,0.0897
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,299.960,[16N 14Y 6Y ],295.3490,0.0154
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,517.123,[16N 14N 7N ],507.7717,0.0181
Y,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,726.917,[16Y 7N 5N ],651.6514,0.1035
Y,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,256.720,[16N 14Y 6N ],257.3020,0.0023
Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,666.503,[16Y 7Y 6Y ],641.9700,0.0368
Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,488.773,[16N 14N 7N ],507.7717,0.0389
Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,561.927,[16Y 7Y 6Y ],641.9700,0.1424
Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,291.673,[16N 14Y 6Y ],295.3490,0.0126
Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,260.267,[16N 14Y 6N ],257.3020,0.0114
Y,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,607.537,[16Y 7N 5N ],651.6514,0.0726
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,268.720,[16N 14Y 6N ],257.3020,0.0425
Y,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,492.127,[16N 14N 7N ],507.7717,0.0318
Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,613.397,[16Y 7Y 6N ],572.7120,0.0663
Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,631.737,[16Y 7Y 6N ],572.7120,0.0934
Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,310.253,[16N 14Y 6Y ],295.3490,0.0480
Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,715.250,[16Y 7N 5Y ],734.0783,0.0263
Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,247.517,[16N 14Y 6N ],257.3020,0.0395
Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,382.010,[16N 14N 7Y ],428.6537,0.1221
Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,509.893,[16Y 7Y 6N ],572.7120,0.1232
Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,407.990,[16N 14N 7Y ],428.6537,0.0506
Y,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,310.697,[16N 14Y 6Y ],295.3490,0.0494
Y,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,295.353,[16N 14Y 6Y ],295.3490,0.0000
Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,246.410,[16N 14Y 6N ],257.3020,0.0442
Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,286.457,[16N 14Y 6Y ],295.3490,0.0310
Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,275.417,[16N 14Y 6Y ],295.3490,0.0724
Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,249.497,[16N 14Y 6N ],257.3020,0.0313
Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,254.733,[16N 14Y 6N ],257.3020,0.0101
Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,421.113,[16N 14N 7N ],507.7717,0.2058
Y,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,304.967,[16N 14Y 6Y ],295.3490,0.0315
Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,269.733,[16N 14Y 6N ],257.3020,0.0461
Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,817.340,[16Y 7N 5Y ],734.0783,0.1019
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,456.437,[16N 14N 7Y ],428.6537,0.0609
Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,491.237,[16Y 7Y 6N ],572.7120,0.1659
