no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,731.353
Y,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,446.600
Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,731.760
Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,263.403
Y,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,511.153
Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,299.690
Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,445.457
Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,291.200
Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,414.847
Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,291.603
Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,305.147
Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,652.653
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,444.607
Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,521.843
Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,275.897
Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,484.290
Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,590.550
Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,257.973
Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,652.483
Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,627.813
Y,N,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,295.413
Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,279.357
Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,625.710
Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,535.800
Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,444.710
Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,492.353
Y,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,383.053
Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,253.127
Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,259.903
Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,425.063
Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,270.063
Y,Y,N,N,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,543.083
