SampleSize,NormalizedValue,Kind,AvgBreadth,AvgDepth,FaultRate,Accuracy,NmlzAvgBreadth,NmlzAvgDepth,NmlzAccuracy
16,0.7,AvgBreadth,7,3.6,15.1,84.9,0.7,0.36,0.849
16,0.36,AvgDepth,,,,,,,
16,0.849,Accuracy,,,,,,,
32,0.88,AvgBreadth,8.8,4,8.5,91.5,0.88,0.4,0.915
32,0.4,AvgDepth,,,,,,,
32,0.915,Accuracy,,,,,,,
48,0.72,AvgBreadth,7.2,3.6,7.2,92.8,0.72,0.36,0.928
48,0.36,AvgDepth,,,,,,,
48,0.928,Accuracy,,,,,,,
81,0.74,AvgBreadth,7.4,3.6,6.4,93.6,0.74,0.36,0.936
81,0.36,AvgDepth,,,,,,,
81,0.936,Accuracy,,,,,,,
