no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,651.64
Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,536.95
Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,581.407
Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,381.123
Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,424.49
Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,615.057
Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,476.997
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,263.643
Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,272.053
Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,247.517
Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,612.97
Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,510.21
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,555.613
Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,264.33
Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,576.247
Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,268.883
Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,482.64
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,456.37
Y,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,510.857
Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,564.063
Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,583.847
Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,631.583
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,609.2
Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,652.55
Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,671.73
Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,713.577
Y,N,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,262.567
Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,445.213
Y,N,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,741.59
Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,286.427
Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,521.7
Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,433.927
Y,Y,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,N,427.07
Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,254.033
Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,381.403
Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,706.59
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,251.587
Y,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,263.823
