N,N2,N3,M,All
249.81,233,221.62,259.37,210.44
240.22,256.18,251.25,231.69,200.66
220.98,227.15,245.5,201.52,213.6
242.92,226.57,252.5,260.41,248.58
263.57,204.51,231.91,239.6,251.8
262.11,215.96,266.32,217.19,261.57
239.98,254.13,229.17,250.88,267.59
253.98,229.86,260.41,251.8,260.69
223.34,240.41,253.96,203.19,265.42
199.68,222.82,245.79,237.37,262.94
235.3,218.82,251.36,211.48,263.82
243.79,215.95,262.67,266.21,267.51
251.57,251.52,235.3,265.42,268.55
257.17,209.7,241.33,217.68,214.89
251.31,246.27,250.67,240.98,249.34
262.6,232.62,245.2,218.5,251.79
235.51,244.23,265.65,247.67,251.52
253.26,251.3,235.35,217.9,252.68
224.51,254.12,224.88,234.47,263.59
227.85,255.36,244.91,232.2,264.74
241.97,224.73,253.57,227.13,269.47
269.47,239.56,245.56,245.21,269.47
206.43,253.82,234.87,222.87,249.36
249.25,227.12,205.21,267.43,250.43
247.63,218.73,221.78,228.97,211
232.22,262.67,231.44,267.17,262.11
229.19,259.69,200.92,255.64,267.17
216.63,260.17,249.37,235.16,252.45
231.31,231.22,216.22,235.31,265.82
236.6,257.71,200.82,213.53,253.67
268.55,249.34,224.73,251.58,215.1
254.26,262.94,252.62,214.25,212.53
227.12,231,249.39,227.64,216.37
248.9,211.19,249.62,233.85,210.51
213.85,253.67,243.93,234.1,212.71
235.85,256.94,250.24,209.58,211.48
252.6,242.55,225.77,227.53,213.97
257.68,241.7,233.67,237.89,202.39
243.26,243.78,249.13,219.31,214.41
243.81,219.33,227.27,264.93,215.73
247.8,253.39,234.8,215.1,215.95
250.57,221.78,201.7,228.65,217.24
214.48,247.77,251.91,253.15,212.44
253.49,211.27,268.8,236.21,214.38
216.84,258.56,244.92,246.81,215.94
240.98,214.72,216.87,257.71,217.47
250.88,230.79,251.32,247.5,213.41
253.49,215.37,265.38,215.18,216.92
236.24,235.23,235.17,241.9,201.9
227.4,247.79,252.87,228.72,215.37
262.67,261.36,203.56,207.65,218.23
238.75,266.32,247.37,260.77,213
250.44,212.52,232.86,249.57,214.48
219.87,249.49,257.71,246.38,214.5
201.47,259.37,228.65,255.36,215.47
,256.47,229.55,246.76,217.29
,237.41,265.82,219.4,218.32
,252.99,235.79,212.94,218.62
,242.74,216.91,240.73,219.64
,269.52,257.17,249.66,203.64
,249.62,214.41,223.77,216.4
,266.97,247.77,238.82,218.82
,236.36,212.45,218.23,219.28
,202.81,250.68,264.47,221.38
,248.9,261.57,246.81,217.29
,213,212.71,223.13,220.4
,255.13,223.7,268.55,219.39
,204.53,220.8,247.8,222.43
,215.61,263.82,250.16,218.97
,262.68,232.27,253.65,220.42
,222.82,264.6,218.5,204.18
,222.56,200.82,238.62,218.89
,221.17,218.37,232.96,221.17
,259.37,229.17,201.97,221.1
,235.23,249.46,260.41,222.87
,227.91,216.23,215.2,223.3
,215.85,234.53,251.91,224.73
,243.44,225.62,264.74,217.7
,263.59,231.32,247.77,219.97
,254.42,246.61,213.97,220.39
,249.3,252.13,232.86,222.52
