"","Performance","freqAll","freqN1","freqN2","freqN3","freqPW"
"1",210.44,0.0009765625,0,0,0,0.0032258064516129
"2",200.66,0.0009765625,0,0,0,0.0032258064516129
"3",213.6,0.0009765625,0,0,0,0
"4",248.58,0.0009765625,0,0,0,0.0032258064516129
"5",251.8,0.0009765625,0,0,0,0.00645161290322581
"6",261.57,0.0009765625,0,0,0.00606060606060606,0
"7",267.59,0.0009765625,0,0,0,0
"8",260.69,0.0009765625,0,0,0,0
"9",265.42,0.0009765625,0,0,0,0.0032258064516129
"10",262.94,0.0009765625,0,0.00909090909090909,0,0.00645161290322581
"11",263.82,0.0009765625,0,0,0.00606060606060606,0
"12",267.51,0.0009765625,0,0,0,0
"13",268.55,0.0009765625,0.0181818181818182,0,0,0.00645161290322581
"14",214.89,0.001953125,0,0,0,0
"15",249.34,0.001953125,0,0.00909090909090909,0,0
"16",251.79,0.001953125,0,0,0,0
"17",251.52,0.0029296875,0,0.00909090909090909,0.00606060606060606,0.0032258064516129
"18",252.68,0.001953125,0,0,0.00606060606060606,0
"19",263.59,0.0009765625,0,0.00909090909090909,0,0
"20",264.74,0.001953125,0,0,0,0.0032258064516129
"21",269.47,0.001953125,0.0181818181818182,0.00909090909090909,0,0
"23",249.36,0.0009765625,0,0,0.00606060606060606,0
"24",250.43,0.0009765625,0,0,0,0.0032258064516129
"25",211,0.0009765625,0,0,0,0
"26",262.11,0.0009765625,0.0181818181818182,0,0.00606060606060606,0
"27",267.17,0.001953125,0,0,0,0.00967741935483871
"28",252.45,0.0009765625,0,0,0,0
"29",265.82,0.0009765625,0,0,0.00606060606060606,0
"30",253.67,0.0009765625,0,0.00909090909090909,0,0
"31",215.1,0.0009765625,0,0,0,0.00645161290322581
"32",212.53,0.0009765625,0,0,0,0
"33",216.37,0.0009765625,0,0,0,0.00645161290322581
"34",210.51,0.0009765625,0,0,0,0
"35",212.71,0.0009765625,0,0,0.00606060606060606,0
"36",211.48,0.0009765625,0,0,0,0.0032258064516129
"37",213.97,0.0009765625,0,0,0,0.0032258064516129
"38",202.39,0.0009765625,0,0,0,0.0032258064516129
"39",214.41,0.0009765625,0,0,0.00606060606060606,0
"40",215.73,0.0009765625,0,0,0,0
"41",215.95,0.0009765625,0,0.00909090909090909,0,0
"42",217.24,0.0009765625,0,0,0,0
"43",212.44,0.0009765625,0,0,0,0
"44",214.38,0.0009765625,0,0,0,0
"45",215.94,0.0009765625,0,0,0,0
"46",217.47,0.0009765625,0,0,0,0
"47",213.41,0.0009765625,0,0,0,0
"48",216.92,0.0009765625,0,0,0,0
"49",201.9,0.0009765625,0,0,0,0
"50",215.37,0.0009765625,0,0.00909090909090909,0,0
"51",218.23,0.0009765625,0,0,0.00606060606060606,0.00645161290322581
"52",213,0.0009765625,0,0.00909090909090909,0,0
"53",214.48,0.0009765625,0.0181818181818182,0,0,0
"54",214.5,0.0009765625,0,0,0,0
"55",215.47,0.0009765625,0,0,0,0
"56",217.29,0.0029296875,0,0,0.00606060606060606,0.0032258064516129
"57",218.32,0.0009765625,0,0,0,0
