Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,N,N,Y,N,Y,Y,N,1380
Y,Y,Y,Y,Y,Y,Y,N,N,1800
Y,N,N,Y,N,N,N,Y,N,1410
Y,Y,Y,N,Y,N,N,Y,N,2280
Y,Y,Y,Y,N,N,Y,N,N,2010
Y,Y,Y,N,Y,N,Y,Y,N,2190
Y,N,N,Y,N,Y,Y,N,N,1080
Y,N,N,N,Y,Y,N,N,N,1020
Y,Y,Y,Y,N,Y,N,N,Y,1080
Y,N,Y,Y,Y,Y,N,N,N,2040
Y,N,N,N,Y,N,N,Y,N,1410
Y,N,N,Y,Y,N,N,N,Y,1200
Y,N,Y,N,N,Y,N,N,N,1770
Y,Y,N,N,Y,Y,Y,Y,N,960
Y,Y,Y,N,N,N,Y,Y,N,2160
Y,N,N,N,Y,N,Y,N,N,1140
Y,Y,N,Y,Y,N,N,N,N,1080
Y,N,Y,N,N,Y,Y,N,Y,1260
Y,Y,N,Y,Y,N,Y,N,Y,990
Y,Y,N,Y,Y,Y,N,N,N,960
Y,N,N,N,N,N,N,N,Y,1230
Y,N,N,N,N,Y,N,N,Y,1050
Y,Y,Y,Y,Y,N,Y,N,N,2070
Y,N,Y,Y,N,Y,N,N,Y,1020
Y,N,Y,N,N,Y,N,Y,N,2130
Y,N,Y,Y,Y,Y,Y,N,Y,1170
Y,N,N,Y,Y,N,Y,N,N,1170
