no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,773.437
Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,310.793
Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,607.627
Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,413.913
Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,543.463
Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,279.753
Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,665.223
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,627.500
Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,257.450
Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,275.310
Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,666.250
Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,482.040
Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,671.730
Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,425.063
Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,773.277
Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,544.580
Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,279.777
Y,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,511.580
Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,575.397
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,490.043
Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,305.147
Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,445.837
Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,275.433
Y,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,601.590
Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,783.493
Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,432.143
Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,262.510
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,442.250
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,455.493
Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,721.757
Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,304.940
Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,275.453
