no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,247.537
Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,424.490
Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,583.527
Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,436.117
Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,437.920
Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,580.543
Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,268.873
Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,310.327
Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,247.730
Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,Y,716.033
Y,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,607.537
Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,628.757
Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,486.973
Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,256.320
Y,N,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,726.643
Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,287.050
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,275.523
Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,305.433
Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,482.640
Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,279.333
Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,556.513
Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,414.847
Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,781.163
Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,690.217
Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,426.417
Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,444.520
Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,666.493
Y,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,543.217
Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,299.690
