check,preset,extreme,sparse,PERF
none,PRESET0,1,1,66.494
none,PRESET0,1,0,66.424
none,PRESET2,0,1,16.436
crc64,PRESET5,1,1,81.926
crc64,PRESET5,1,0,81.954
crc64,PRESET5,0,1,36.036
crc64,PRESET5,0,0,36.07
crc64,PRESET6,1,1,88.798
crc64,PRESET6,1,0,88.664
crc64,PRESET6,0,1,44.22
crc64,PRESET6,0,0,44.264
crc64,PRESET7,1,1,91.542
crc64,PRESET7,1,0,91.382
none,PRESET2,0,0,16.468
crc64,PRESET7,0,1,44.716
crc64,PRESET7,0,0,44.752
crc64,PRESET8,1,1,92.504
crc64,PRESET8,1,0,92.56
crc64,PRESET8,0,1,45.438
crc64,PRESET8,0,0,45.318
crc64,PRESET9,1,1,93.362
crc64,PRESET9,1,0,93.514
crc64,PRESET9,0,1,46.212
crc64,PRESET9,0,0,46.694
none,PRESET3,1,1,79.39
sha256,PRESET0,1,1,67.304
sha256,PRESET0,1,0,67.336
sha256,PRESET0,0,1,9.968
sha256,PRESET0,0,0,9.96
sha256,PRESET1,1,1,77.222
sha256,PRESET1,1,0,77.288
sha256,PRESET1,0,1,13.50
sha256,PRESET1,0,0,13.46
sha256,PRESET2,1,1,81.514
sha256,PRESET2,1,0,81.444
none,PRESET3,1,0,79.64
sha256,PRESET2,0,1,17.27
sha256,PRESET2,0,0,17.294
sha256,PRESET3,1,1,80.344
sha256,PRESET3,1,0,80.946
sha256,PRESET3,0,1,22.188
sha256,PRESET3,0,0,22.192
sha256,PRESET4,1,1,85.384
sha256,PRESET4,1,0,85.164
sha256,PRESET4,0,1,30.462
sha256,PRESET4,0,0,30.482
none,PRESET3,0,1,21.358
sha256,PRESET5,1,1,82.618
sha256,PRESET5,1,0,82.724
sha256,PRESET5,0,1,36.728
sha256,PRESET5,0,0,36.736
sha256,PRESET6,1,1,89.46
sha256,PRESET6,1,0,89.434
sha256,PRESET6,0,1,45.004
sha256,PRESET6,0,0,45.004
sha256,PRESET7,1,1,92.18
sha256,PRESET7,1,0,92.322
none,PRESET3,0,0,21.352
sha256,PRESET7,0,1,45.542
sha256,PRESET7,0,0,45.382
sha256,PRESET8,1,1,93.306
sha256,PRESET8,1,0,93.49
sha256,PRESET8,0,1,46.37
sha256,PRESET8,0,0,46.054
sha256,PRESET9,1,1,94.128
sha256,PRESET9,1,0,94.21
sha256,PRESET9,0,1,46.924
sha256,PRESET9,0,0,46.904
none,PRESET4,1,1,84.426
none,PRESET4,1,0,84.248
none,PRESET4,0,1,29.584
none,PRESET4,0,0,29.616
none,PRESET0,0,1,9.162
none,PRESET5,1,1,81.906
none,PRESET5,1,0,81.72
none,PRESET5,0,1,35.956
none,PRESET5,0,0,35.96
none,PRESET6,1,1,88.634
none,PRESET6,1,0,88.63
none,PRESET6,0,1,44.158
none,PRESET6,0,0,44.288
none,PRESET7,1,1,91.332
none,PRESET7,1,0,91.426
none,PRESET0,0,0,9.218
none,PRESET7,0,1,44.60
none,PRESET7,0,0,44.624
none,PRESET8,1,1,92.198
none,PRESET8,1,0,92.284
none,PRESET8,0,1,45.236
none,PRESET8,0,0,45.26
none,PRESET9,1,1,93.14
none,PRESET9,1,0,93.326
none,PRESET9,0,1,46.066
none,PRESET9,0,0,46.168
none,PRESET1,1,1,76.348
crc32,PRESET0,1,1,66.626
crc32,PRESET0,1,0,66.608
crc32,PRESET0,0,1,9.268
crc32,PRESET0,0,0,9.21
crc32,PRESET1,1,1,76.426
crc32,PRESET1,1,0,76.472
crc32,PRESET1,0,1,12.688
crc32,PRESET1,0,0,12.72
crc32,PRESET2,1,1,80.774
crc32,PRESET2,1,0,80.754
none,PRESET1,1,0,76.438
crc32,PRESET2,0,1,16.484
crc32,PRESET2,0,0,16.516
crc32,PRESET3,1,1,79.536
crc32,PRESET3,1,0,79.39
crc32,PRESET3,0,1,21.402
crc32,PRESET3,0,0,21.39
crc32,PRESET4,1,1,84.416
crc32,PRESET4,1,0,84.296
crc32,PRESET4,0,1,29.674
crc32,PRESET4,0,0,29.708
none,PRESET1,0,1,12.658
crc32,PRESET5,1,1,81.922
crc32,PRESET5,1,0,81.884
crc32,PRESET5,0,1,35.964
crc32,PRESET5,0,0,36.014
crc32,PRESET6,1,1,88.556
crc32,PRESET6,1,0,88.722
crc32,PRESET6,0,1,44.188
crc32,PRESET6,0,0,44.224
crc32,PRESET7,1,1,91.384
crc32,PRESET7,1,0,91.428
none,PRESET1,0,0,12.642
crc32,PRESET7,0,1,44.656
crc32,PRESET7,0,0,44.606
crc32,PRESET8,1,1,92.442
crc32,PRESET8,1,0,93.224
crc32,PRESET8,0,1,45.366
crc32,PRESET8,0,0,45.328
crc32,PRESET9,1,1,93.36
crc32,PRESET9,1,0,93.456
crc32,PRESET9,0,1,46.106
crc32,PRESET9,0,0,46.106
none,PRESET2,1,1,80.682
crc64,PRESET0,1,1,66.608
crc64,PRESET0,1,0,66.466
crc64,PRESET0,0,1,9.228
crc64,PRESET0,0,0,9.248
crc64,PRESET1,1,1,76.432
crc64,PRESET1,1,0,76.368
crc64,PRESET1,0,1,12.75
crc64,PRESET1,0,0,12.738
crc64,PRESET2,1,1,80.71
crc64,PRESET2,1,0,80.668
none,PRESET2,1,0,80.944
crc64,PRESET2,0,1,16.546
crc64,PRESET2,0,0,16.582
crc64,PRESET3,1,1,79.496
crc64,PRESET3,1,0,79.48
crc64,PRESET3,0,1,21.514
crc64,PRESET3,0,0,21.46
crc64,PRESET4,1,1,84.578
crc64,PRESET4,1,0,84.388
crc64,PRESET4,0,1,29.768
crc64,PRESET4,0,0,29.746
