Check_none,Check_crc64,Check_sha256,Check_crc32,Preset_0,Preset_-2,Preset_-5,Preset_-6,Preset_-7,Preset_-8,Preset_-9,Preset_-3,Preset_-1,Preset_-4,extreme,sparse,PERF
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,63.778
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,63.734
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.246
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,80.578
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80.678
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36.538
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.534
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,87.244
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,87.306
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44.506
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44.49
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,90.36
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.316
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.26
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,45.07
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.086
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,91.338
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,91.306
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,45.67
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.58
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,92.122
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,92.222
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,46.442
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46.474
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,77.994
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,64.342
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,64.324
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9.742
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9.742
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,74.938
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,74.964
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,13.866
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.808
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,79.538
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,79.542
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,77.808
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,18.046
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18.046
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,78.64
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,78.826
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,23.46
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23.40
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,83.452
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,83.406
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,30.90
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30.934
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22.65
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,81.278
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,81.142
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,37.114
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,37.196
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,87.862
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,87.674
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,45.142
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45.144
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,90.842
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90.88
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.654
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,45.746
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,45.712
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,91.884
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,91.792
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,46.178
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,46.288
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,92.842
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,92.772
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,47.158
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,47.126
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,82.748
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,82.726
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,30.168
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.204
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.97
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,80.442
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80.614
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36.384
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.43
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,87.14
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,87.054
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44.364
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44.464
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,90.052
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.176
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.976
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,44.976
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44.928
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,91.034
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,91.158
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,45.56
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.536
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,92.098
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,92.058
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,46.446
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46.348
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,74.202
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,63.73
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,63.882
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,9.00
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.024
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,74.19
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,74.206
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,13.112
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.094
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,78.836
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,78.80
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,74.276
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,17.324
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17.284
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,77.984
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,77.918
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,22.728
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,22.68
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,84.708
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,83.408
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,30.244
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30.19
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13.04
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,80.39
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,80.358
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,36.406
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,36.454
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,87.124
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,87.178
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,44.436
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,44.398
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,91.076
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90.156
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.028
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,45.088
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,45.15
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,91.264
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,91.12
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,45.576
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,45.558
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,92.15
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,92.07
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,46.434
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,46.434
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,78.712
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,63.86
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,63.936
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.234
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.102
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,74.28
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,74.276
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13.154
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.138
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,78.98
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,78.846
