"V1","V2","V3","V4"
"Sampling Amount","MinSplit","MinBucket","Fault Rate"
"4","4","2","119.001362938266"
"8","4","2","62.8259651110357"
"12","4","2","52.8497166288345"
"16","4","2","27.0477406600678"
"20","4","2","23.6427728586348"
"24","4","2","20.2524147749252"
"28","6","3","20.888018884841"
"32","6","3","18.5579491920254"
"36","8","4","15.643008910572"
"40","8","4","11.9318903734007"
"44","8","4","8.64730143383227"
"48","10","5","8.68996474172289"
"52","10","5","8.59802626828805"
"56","12","6","9.96402974726833"
"60","12","6","8.80461781649137"
"64","12","6","8.47605740519728"
"68","14","7","8.60462457150007"
"72","14","7","8.38629807909856"
"76","16","8","9.22360203926495"
"80","16","8","8.17884254459297"
