Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,Y,Y,Y,Y,Y,Y,Y,N,1860,[3Y 9N 2Y ],2002.5000,0.0766
Y,N,Y,N,Y,N,N,Y,N,2400,[3Y 9N 2N ],2184.0000,0.0900
Y,Y,Y,Y,N,N,N,Y,N,2160,[3Y 9N 2Y ],2002.5000,0.0729
Y,Y,N,N,Y,Y,Y,N,N,840,[3N 2Y 8N ],954.0000,0.1357
Y,N,N,Y,Y,N,Y,N,N,1170,[3N 2N 5Y ],1162.5000,0.0064
Y,Y,N,Y,N,Y,Y,N,Y,870,[3N 2Y 8N ],954.0000,0.0966
Y,Y,N,N,Y,N,Y,N,Y,960,[3N 2Y 8N ],954.0000,0.0062
Y,Y,Y,Y,Y,Y,Y,N,N,1800,[3Y 9N 2Y ],2002.5000,0.1125
Y,N,Y,N,Y,Y,Y,Y,N,2100,[3Y 9N 2N ],2184.0000,0.0400
Y,Y,N,Y,Y,Y,N,Y,N,1020,[3N 2Y 8Y ],1010.0000,0.0098
Y,N,N,Y,Y,Y,Y,N,Y,1110,[3N 2N 5Y ],1162.5000,0.0473
Y,N,Y,Y,Y,N,N,N,N,2370,[3Y 9N 2N ],2184.0000,0.0785
Y,Y,Y,N,N,Y,N,Y,N,1980,[3Y 9N 2Y ],2002.5000,0.0114
Y,Y,N,Y,N,N,Y,N,Y,960,[3N 2Y 8N ],954.0000,0.0062
Y,Y,N,Y,N,N,N,Y,N,1110,[3N 2Y 8Y ],1010.0000,0.0901
Y,Y,N,Y,N,Y,Y,N,N,900,[3N 2Y 8N ],954.0000,0.0600
Y,Y,Y,Y,Y,N,N,Y,N,2340,[3Y 9N 2Y ],2002.5000,0.1442
Y,Y,N,Y,Y,N,Y,Y,N,1080,[3N 2Y 8Y ],1010.0000,0.0648
Y,Y,N,N,Y,N,N,N,N,960,[3N 2Y 8N ],954.0000,0.0062
Y,Y,Y,N,N,N,Y,N,N,1830,[3Y 9N 2Y ],2002.5000,0.0943
Y,Y,Y,N,Y,Y,Y,N,N,1680,[3Y 9N 2Y ],2002.5000,0.1920
Y,N,Y,Y,Y,Y,N,N,Y,1200,[3Y 9Y ],1320.0000,0.1000
Y,Y,Y,N,N,Y,Y,N,N,1620,[3Y 9N 2Y ],2002.5000,0.2361
Y,Y,Y,N,Y,Y,N,N,N,1770,[3Y 9N 2Y ],2002.5000,0.1314
Y,Y,N,N,N,Y,N,N,Y,930,[3N 2Y 8N ],954.0000,0.0258
Y,Y,Y,Y,Y,Y,N,N,Y,1170,[3Y 9Y ],1320.0000,0.1282
Y,N,N,Y,Y,N,N,Y,N,1470,[3N 2N 5Y ],1162.5000,0.2092
Y,N,Y,Y,Y,Y,Y,N,Y,1170,[3Y 9Y ],1320.0000,0.1282
Y,N,N,Y,Y,N,N,N,N,1350,[3N 2N 5Y ],1162.5000,0.1389
Y,Y,Y,N,Y,N,N,N,N,1950,[3Y 9N 2Y ],2002.5000,0.0269
Y,Y,N,N,Y,Y,N,N,Y,930,[3N 2Y 8N ],954.0000,0.0258
Y,N,N,Y,Y,Y,N,N,Y,1140,[3N 2N 5Y ],1162.5000,0.0197
Y,Y,Y,N,N,N,Y,N,Y,1020,[3Y 9Y ],1320.0000,0.2941
Y,N,Y,Y,Y,Y,N,N,N,2040,[3Y 9N 2N ],2184.0000,0.0706
Y,Y,Y,N,N,N,N,N,Y,1140,[3Y 9Y ],1320.0000,0.1579
Y,Y,Y,Y,N,N,Y,N,Y,1170,[3Y 9Y ],1320.0000,0.1282
Y,Y,Y,Y,Y,Y,Y,N,Y,870,[3Y 9Y ],1320.0000,0.5172
Y,N,N,Y,Y,N,N,N,Y,1200,[3N 2N 5Y ],1162.5000,0.0312
Y,Y,N,Y,N,N,N,N,Y,990,[3N 2Y 8N ],954.0000,0.0364
Y,N,Y,N,N,Y,N,N,N,1770,[3Y 9N 2N ],2184.0000,0.2339
Y,Y,Y,N,Y,N,Y,N,Y,1170,[3Y 9Y ],1320.0000,0.1282
Y,Y,N,N,Y,N,N,N,Y,1020,[3N 2Y 8N ],954.0000,0.0647
Y,N,N,Y,Y,Y,N,N,N,1200,[3N 2N 5Y ],1162.5000,0.0312
Y,N,N,Y,N,Y,Y,Y,N,1140,[3N 2N 5N ],1290.0000,0.1316
Y,Y,N,N,N,Y,Y,Y,N,930,[3N 2Y 8Y ],1010.0000,0.0860
Y,N,N,Y,N,Y,Y,N,N,1080,[3N 2N 5N ],1290.0000,0.1944
Y,N,N,N,N,Y,Y,N,Y,1080,[3N 2N 5N ],1290.0000,0.1944
Y,N,N,N,Y,N,N,Y,N,1410,[3N 2N 5Y ],1162.5000,0.1755
Y,N,Y,Y,Y,N,Y,Y,N,2430,[3Y 9N 2N ],2184.0000,0.1012
Y,N,Y,Y,N,Y,Y,N,N,1830,[3Y 9N 2N ],2184.0000,0.1934
Y,Y,Y,N,Y,N,N,Y,N,2280,[3Y 9N 2Y ],2002.5000,0.1217
Y,N,Y,Y,N,Y,N,N,Y,1020,[3Y 9Y ],1320.0000,0.2941
Y,Y,Y,Y,N,Y,N,N,Y,1080,[3Y 9Y ],1320.0000,0.2222
Y,Y,Y,N,N,N,N,Y,N,2280,[3Y 9N 2Y ],2002.5000,0.1217
Y,Y,N,Y,Y,N,N,Y,N,1140,[3N 2Y 8Y ],1010.0000,0.1140
Y,Y,N,N,N,N,Y,Y,N,1020,[3N 2Y 8Y ],1010.0000,0.0098
Y,N,N,Y,Y,N,Y,N,Y,1230,[3N 2N 5Y ],1162.5000,0.0549
Y,Y,Y,N,Y,Y,Y,Y,N,1920,[3Y 9N 2Y ],2002.5000,0.0430
Y,N,N,N,Y,Y,N,Y,N,1320,[3N 2N 5Y ],1162.5000,0.1193
Y,Y,Y,N,Y,Y,N,Y,N,2070,[3Y 9N 2Y ],2002.5000,0.0326
Y,N,Y,N,Y,N,Y,N,Y,1110,[3Y 9Y ],1320.0000,0.1892
Y,N,Y,N,Y,N,Y,N,N,1950,[3Y 9N 2N ],2184.0000,0.1200
Y,N,Y,Y,N,Y,N,N,N,1980,[3Y 9N 2N ],2184.0000,0.1030
