Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,Y,N,Y,N,N,N,Y,1380
Y,Y,N,Y,Y,N,Y,Y,N,1080
Y,N,Y,N,N,N,Y,N,N,1920
Y,Y,N,N,Y,N,N,Y,N,1140
Y,Y,Y,Y,Y,N,N,N,N,2220
Y,N,Y,N,N,Y,Y,N,N,1680
Y,Y,N,N,N,Y,Y,N,N,840
Y,N,N,N,N,Y,N,N,N,1080
Y,N,N,Y,Y,Y,Y,N,Y,1110
Y,Y,Y,Y,N,Y,N,Y,N,1890
Y,Y,Y,Y,Y,N,N,N,Y,1050
Y,Y,N,Y,N,Y,N,N,N,930
Y,N,Y,Y,Y,Y,N,N,N,2040
Y,Y,N,Y,Y,N,N,Y,N,1140
Y,N,Y,Y,Y,N,Y,N,N,2190
Y,Y,Y,N,N,Y,Y,N,N,1620
Y,N,Y,Y,N,N,Y,N,N,2130
Y,Y,N,Y,N,N,N,N,Y,990
Y,N,N,Y,N,Y,Y,N,Y,1050
Y,Y,Y,N,N,N,Y,N,N,1830
Y,N,N,Y,Y,Y,Y,Y,N,1230
Y,Y,Y,Y,N,Y,Y,Y,N,1860
Y,N,N,Y,Y,Y,N,N,Y,1140
Y,N,Y,Y,Y,Y,N,N,Y,1200
Y,N,N,N,N,N,N,N,N,1200
Y,N,Y,Y,Y,N,Y,Y,N,2430
Y,N,N,N,N,Y,Y,N,Y,1080
Y,N,N,N,N,N,N,Y,N,1410
Y,N,N,N,N,N,Y,N,N,1110
