HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance,[DomFlist],DomEst,RelErr
Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,19.9297,[1Y 13N 12Y 4N ],20.7406,0.0407
N,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,0.4770,[1N 13N 12N 11N ],0.4760,0.0021
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,10.7185,[1Y 13N 12N 11Y ],10.8144,0.0089
N,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,2.3785,[1N 13Y 3N ],1.2480,0.4753
N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,0.5811,[1N 13N 12N 11N ],0.4760,0.1809
Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,3.3019,[1Y 13N 12N 11N 9Y ],2.8507,0.1366
N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,0.5068,[1N 13N 12N 11Y 2N ],0.5093,0.0049
N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,0.6127,[1N 13N 12Y ],0.8692,0.4187
N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,0.4619,[1N 13N 12N 11N ],0.4760,0.0305
Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,38.8573,[1Y 13Y ],38.3011,0.0143
N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,0.6507,[1N 13N 12Y ],0.8692,0.3359
Y,Y,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,10.9035,[1Y 13N 12N 11Y ],10.8144,0.0082
N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,0.6396,[1N 13N 12Y ],0.8692,0.3591
Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,3.2995,[1Y 13N 12N 11N 9Y ],2.8507,0.1360
Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,39.0174,[1Y 13Y ],38.3011,0.0184
Y,Y,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,10.9041,[1Y 13N 12N 11Y ],10.8144,0.0082
N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,0.5041,[1N 13N 12N 11N ],0.4760,0.0557
