N-Apache,N-LLVM,N-X264,N-BDBC,N-BDBJ,N-SQL,2N-Apache,2N-LLVM,2N-X264,2N-BDBC,2N-BDBJ,2N-SQL,3N-Apache,3N-LLVM,3N-X264,3N-BDBC,3N-BDBJ,3N-SQL,I2-Apache,I2-LLVM,I2-X264,I2-BDBC,I2-BDBJ,I2-SQL
0.6053,0.1939,0.0012,0.3713,0.0329,0.0529,0.0286,0.079,0.0376,0.4877,0.0088,0.0628,0.1205,0.0963,0.0971,0.0688,0.0391,0.0118,0.5385,0.0283,0.1097,0.0088,0.011,0.0221
0.0893,0.0474,0.1634,0.8271,0.0249,0.0286,0.2375,0.0037,0.1996,0.4874,0.0081,0.0207,0.0915,0.0272,0.0776,0.4176,0.0011,0.0133,0.4017,0.0163,0.1131,0.013,0.004,0.0142
0.1892,0.0046,0.2334,3.2524,0.0159,0.0523,0.0341,0.0428,0.0368,0.4862,0.0515,0.0622,0.0303,0.0179,0.1563,0.1843,0.01,0.0161,0.0317,0.0201,0.0378,0.0017,0.04,0.0215
0.0702,0.1261,0.1478,0.3581,0.0196,0.085,0.2692,0.0771,0.0283,0.3239,0.0145,0.0311,0.0429,0.0319,0.0729,0.1845,0.0102,0.0395,0.0476,0.0026,0.2167,0.0357,0.0036,0.0139
0.6944,0.0365,0.2431,0.2345,0.124,0.0171,0.1081,0.028,0.0041,0.0534,0.0117,0.0013,0.0956,0.0057,0.0554,0.4047,0.0503,0.0253,0.553,0.0037,0.1636,0.76,0.0076,0.0025
0.1159,0.0201,0.1841,0.0019,0.0212,0.0417,0.1098,0.0401,0.051,0.6587,0.0239,0.0001,0.0857,0.0153,0.0475,0.2616,0.0102,0.0446,0.0702,0.0279,0.0128,0.0027,0.0028,0.0976
0,0.0064,0.0848,0.4454,0.0021,0.0993,0.25,0.0376,0.0812,0.0995,0.0492,0.1106,0.0526,0.0124,0.1424,0.4622,0.0136,0.0539,0.3667,0.0341,0.11,0.0556,0.0191,0.0009
0,0.0814,0.1644,1.173,0.077,0.0667,0.3311,0.0414,0.1358,0.1421,0.0066,0.0474,0.0833,0.0036,0.0515,0.0779,0.0193,0.0226,0.078,0.0303,0.1766,0.0976,0.0224,0.006
0.3864,0.0729,0.0773,2.0509,0.0108,0.018,0.36,0.0187,0.0697,0.4886,0.0489,0.0756,0.0303,0.0792,0.0327,0.8973,0.0103,0.0025,0.1296,0.0224,0.1579,0.0259,0.0488,0.0324
0,0.0493,0.0974,0.2934,0.0266,0.0167,0.0303,0.0076,0.0217,0.0316,0.032,0.0224,0.0561,0.0372,0.1057,0.4797,0.0259,0.0214,0.1582,0.0271,0.0616,0.0024,0.0046,0.0374
0.0625,0.003,0.0059,0.0029,0.0397,0.0249,0.1098,0.0232,0.0346,0.1148,0.006,0.042,0.0323,0.0177,0.0009,2.4602,0.0188,0.002,0.1293,0.0234,0.0399,0.5137,0.0064,0.0004
0.0732,0.0742,0.0692,0.463,0.0532,0.0078,0.7,0.0066,0.0542,0.4844,0.0138,0.0182,0.0667,0.0003,0.0997,0.0156,0.008,0.0533,0.5891,0.0136,0.0415,0.0191,0.0043,0.0008
0.1644,0.1128,0.0702,0.2933,0.0522,0.0323,0.0536,0.0811,0.1921,20.2744,0.0029,0.0915,0.1351,0.0933,0.0789,0.3443,0.0081,0.0307,0.0972,0.0394,0.0192,0.0102,0.0107,0.0877
0.1915,0.05,0.2602,3.4309,0.0758,0.0294,0.2297,0.0376,0.13,7.964,0.0517,0.0865,0.05,0.0563,0.0973,2.1122,0.0085,0.0045,0.057,0.0094,0.0293,0.0341,0.0676,0.0226
0.0909,0.1042,0.147,0.9962,0.0188,0.0119,0.0303,0.0119,0.0637,0.4828,0.0077,0.0013,0.0429,0.0052,0.0001,0.4793,0.0051,0.0473,0.058,0.0149,0.2334,0.0992,0.0022,0.019
0.1408,0.0223,0.0791,0.0144,0.0728,0.0791,0,0.0453,0.2508,0.3164,0.0167,0.0902,0.0459,0.0341,0.0535,0.5254,0.0144,0.0339,0.2424,0.0169,0.0356,0.003,0.0411,0.0055
0.1429,0.0189,0.1977,1.1083,0.0439,0.0298,0.1525,0.075,0.0322,0.1137,0.0357,0.0116,0.0806,0.0079,0.1345,0.6727,0.0553,0.0068,0.037,0.0534,0.0742,0.3947,0.0174,0.0204
0.4186,0.0403,0.1377,0.1818,0.0464,0.0014,0.0794,0.0182,0.0604,0.481,0.0255,0.0146,0.025,0.0427,0.0467,0.8532,0.0773,0.0335,0.0409,0.0406,0.0661,0.0013,0.0027,0.031
0.0469,0.0241,0.1904,1.1067,0.0661,0.0508,0.0685,0.0025,0.1081,8.0522,0.0137,0.0448,0.0303,0.0057,0.2107,0.1409,0.0608,0.0674,0.159,0.0199,0.0038,0.0115,0.015,0.1469
0.05,0.0516,0.0624,0.6365,0.1125,0.0358,0.1081,0.0233,0.1329,0.3196,0.0664,0.0132,0.0635,0.0001,0.0038,0.0469,0.0252,0.0236,0.3667,0.024,0.2899,0.362,0.0633,0.0125
0.2105,0.0239,0.1561,0.0015,0.0002,0.0499,0.0484,0.0341,0.2866,0.4809,0.0019,0.0187,0.1217,0.0481,0.0506,0.7741,0.0196,0.0264,0.0476,0.0344,0.017,0.0082,0.0556,0.012
0.2561,0.0939,0.2187,0.0091,0.0074,0.0618,0.0833,0.0118,0.0407,0.0871,0.0625,0.0076,0.0053,0.0069,0.1255,0.1021,0.049,0.003,0.0076,0.0496,0.1865,0.0011,0.0167,0.01
0.1915,0.1946,0.0489,11.0265,0.0122,0.0211,0.3311,0.2138,0.0007,0.4869,0.0272,0.1185,0.1534,0.0156,0.1276,0.0632,0.0377,0.0373,0.2742,0.0505,0.2889,0.0347,0.0148,0.1145
0,0.0482,0.1362,0.6131,0.0162,0.0158,0.4559,0.0339,0.1473,0.4812,0.0647,0,0.0184,0.0016,0.0426,2.1125,0.001,0.0454,0.0196,0.0403,0.0331,0.009,0.0491,0.009
0.1286,0.0317,0.0458,0.1811,0.0534,0.0047,0.8889,0.0543,0.1005,0.3186,0.0169,0.0011,0.0488,0.0011,0.0185,1.8211,0.0192,0.0206,0.0123,0.0613,0.0002,0.0012,0.0224,0.0966
0.1176,0.0883,0.1645,0.1852,0.0411,0.011,0.1375,0.0132,0.0964,0.4289,0.0035,0.1317,0.1356,0.0795,0.09,0.1948,0.0112,0.0739,0.0917,0.0344,0.0436,0.0052,0.0209,0.0114
0.0625,0.0076,0.1868,0.1875,0.025,0.0344,0.0319,0.0354,0.0065,0.1019,0.0056,0.0809,0.029,0.0268,0.1211,0.3952,0.0308,0.0251,0.0183,0.0393,0.1429,0.4854,0.024,0.0771
0.0615,0.0506,0.2639,0.2941,0.0754,0.1507,0.2593,0.0228,0.0942,0.5043,0.023,0.137,0.255,0.0915,0.0346,0.3198,0.019,0.0978,0.0101,0.0151,0.0113,0.0003,0.0032,0.1503
1.1034,0.0186,0.0184,11.3607,0.006,0.1265,0.0645,0.0248,0.1194,0.5946,0.0132,0.1125,0,0.0062,0.0005,0.016,0.0564,0.1317,0.0234,0.0026,0.1606,0.0075,0.0201,0.0981
0.0625,0.01,0.0166,0.0332,0.0018,0.1327,0.2375,0.0333,0.0325,0.6595,0.0097,0.1187,0.1908,0.0849,0.0012,0.0489,0.0105,0.0996,0.2405,0.0061,0.0094,0.3524,0.0193,0.1045
0,0.0103,0.1621,0.3924,0.0165,0.1308,0.2826,0.0108,0.1532,0.0838,0.0466,0.14,0.0077,0.0293,0.0204,0.3803,0.0106,0.0977,0.2742,0.031,0.0305,0.1259,0.0685,0.1248
0.0625,0.0108,0.0254,0.8025,0.0104,0.0969,0.375,0.172,0.0385,0.0707,0.0574,0.1064,0.0588,0.0021,0.0904,0.1211,0.0078,0.0413,0.0417,0.0361,0.032,0.1349,0.0359,0.0965
0.0909,0.0375,0.0049,0.32,0.0359,0.1387,0.1724,0.0484,0.1928,0.4867,0.0021,0.1477,0.1455,0.0164,0.0121,0.8932,0.0533,0.1438,0.0753,0.0139,0.0182,0.7741,0.068,0.1107
0.0323,0.2171,0.0581,0.0768,0.0278,0.0965,0.0625,0.0361,0.2522,0.545,0.0338,0.1328,0.055,0.059,0.0622,0.2753,0.0056,0.1167,0.3333,0.0166,0.021,0.0374,0.0412,0.1188
0.027,0.0397,0.165,1.151,0.018,0.1409,0.1375,0.0329,0.125,7.1296,0.0166,0.1499,0.1111,0.0044,0.0145,0.3792,0.0918,0.146,0.0991,0.0419,0.2249,0.1623,0.0063,0.0417
0.0556,0.0018,0.0312,10.9642,0.0111,0.1434,0.1765,0.008,0.2246,1.3676,0.0378,0.1524,0.1111,0.0365,0.1561,0.8904,0.0244,0.1134,0.4386,0.0457,0.1243,0.035,0.0032,0.1374
0.0732,0.0994,0.0542,1.2888,0.0071,0.0433,0,0.0425,0.131,0.5157,0.0152,0.1456,0.0203,0.0321,0.0296,0.612,0.0556,0.1064,0.0368,0.0252,0.0115,0.0014,0.0021,0.1085
0.1296,0.0311,0.0155,3.2901,0.0249,0.1382,0,0.0589,0.0141,8.1429,0.0341,0.0353,0.1522,0.0021,0.0857,0.8913,0.0231,0.0845,1.069,0.0019,0.0445,0.0898,0.0106,0.1378
0,0.1171,0.0963,0.6143,0.0138,0.131,0.6585,0.0112,0.0466,0.2081,0.0005,0.136,0.1908,0.0029,0.048,0.3888,0.0217,0.1172,0.1156,0.0338,0.0762,0.0138,0.0427,0.122
0.05,0.0003,0.0618,0.0012,0.0404,0.0646,0.125,0.0068,0.0349,0.1519,0.001,0.1257,0.0588,0.0191,0.0458,0.1003,0.0316,0.062,0.1961,0.0204,0.0647,0.0799,0.0247,0.1102
0.3864,0.1981,0.008,0.638,0.0069,0.1072,0.7069,0.018,0.0315,0.5457,0.0626,0.1431,0.1702,0.0207,0.0308,0.0635,0.0113,0.1305,0.0238,0.0069,0.0326,0.0161,0.0388,0.1293
0.6486,0.2152,0.2065,1.2842,0.0692,0.1408,0.0135,0.0184,0.062,0.5448,0.0231,0.1498,0.1429,0.0835,0.0426,0.3003,0.0592,0.1459,0.0833,0.0335,0.0104,0.0003,0.0688,0.1232
0.0758,0.0485,0.0519,0.1549,0.0825,0.1459,0.0303,0.0115,0.221,0.3169,0.0334,0.1549,0.1722,0.0612,0.0562,0.2726,0.0183,0.151,0.0386,0.0186,0.046,0.009,0.0619,0.1399
0.0714,0.0356,0.0653,0.0093,0.0476,0.1511,0.4143,0.0551,0.1985,0.4807,0.0066,0.16,0.025,0.0005,0.1079,0.2784,0.0389,0.0988,0.0643,0.0502,0.0281,0.0022,0.0656,0.1507
0.1644,0.0955,0.0544,0.1916,0.001,0.0683,0.0109,0.0353,0.167,0.118,0.0049,0.1457,0.2094,0.0737,0.0224,1.1179,0.0047,0.0835,0.0376,0.0141,0.1287,0.0041,0.0206,0.0742
0.1286,0.0282,0.0161,0.0434,0.0039,0.0934,0.7,0.0152,0.2222,0.0873,0.0044,0.1526,0.1136,0.011,0.119,0.181,0.0199,0.0908,0.1365,0.0258,0.042,0.3574,0.0025,0.1158
0.4878,0.1002,0.3902,0.0004,0.0124,0.1442,0.0256,0.0111,0.0142,7.1054,0.0502,0.1532,0,0.0906,0.0145,0.0025,0.0478,0.0915,0.0575,0.0585,0.181,0.4942,0.0056,0.1268
0.0952,0.0005,0.0671,3.413,0.0126,0.0323,0.1667,0.0447,0.0173,7.08,0.0341,0.0224,0.08,0.0668,0.0552,0.1332,0.0545,0.0961,0.2148,0.0292,0.0339,0.0085,0.0359,0.0259
0.0345,0.0234,0.1411,0.7959,0.0768,0.1241,0.2073,0.0313,0.1217,0.068,0.045,0.1333,0,0.0021,0.0457,0.0215,0.0568,0.0702,0.0076,0.027,0.0754,0.0003,0.0072,0.1237
0.0556,0.0452,0.0011,0.1396,0.0272,0.0665,0.3219,0.127,0.0637,0.544,0.003,0.0719,0.0152,0.0027,0.0055,0.3554,0.0172,0.0303,0.0199,0.0048,0.0281,0.075,0.0313,0.0862
0.0625,0.0314,0.1763,0.6735,0.0093,0.0239,0.0312,0.0339,0.0534,0.0568,0.0325,0.1049,0.0263,0.0011,0.0227,1.1022,0.0176,0.0648,0.0569,0.0738,0.0347,0.4544,0.0099,0.1129
0.525,0.0415,0.0542,0.2936,0.0048,0.0712,0.0111,0.0276,0.134,0.3453,0.046,0.1319,0.0449,0.0223,0.0723,0.3318,0.0566,0.1279,0.2148,0.0408,0.0371,0.0006,0.0008,0.1047
0.1176,0.0166,0.1823,0.6374,0.0108,0.1164,0,0.0013,0.018,0.1005,0.0459,0.0109,0.1429,0.0079,0.1663,0.5099,0.0121,0.0855,0.0376,0.0248,0.0307,0.0506,0.0684,0.0144
0.2469,0.1088,0.0658,0.2385,0.0445,0.1342,0.0588,0.0005,0.04,0.1612,0.0011,0.1203,0.0588,0.0045,0.0145,2.1195,0.0158,0.0751,0.0812,0.0081,0.0315,0.0007,0.0066,0.0342
0.2375,0.0413,0.396,1.098,0.0265,0.0132,0.0571,0.0007,0.4859,0.6521,0.0117,0.0641,0.2041,0.0324,0.2198,0.3095,0.0545,0.0783,0.1404,0.0223,0.0078,0.0195,0.0208,0.1032
0.0893,0.0652,0.1154,0.3207,0.0509,0.1368,0.4375,0.0057,0.0476,0.1134,0.0063,0.1229,0.0449,0.0038,0.0144,0.4802,0.0711,0.0831,0.0317,0.0425,0.1094,0.1216,0.0359,0.1308
0.0339,0.0285,0.2205,0.6737,0.0102,0.0433,0.1375,0.006,0.119,0.0395,0.0345,0.0927,0.075,0.0131,0.0897,0.1504,0.032,0.1064,0.0833,0.0023,0.0075,0.0112,0.0184,0.1306
0.1286,0.0281,0.0265,0.3541,0.0135,0.1124,0.0172,0.0052,0.0444,0.0341,0.0427,0.0982,0.1118,0.0914,0.0154,0.111,0.0173,0.0578,0.1961,0.0209,0.0318,0.3815,0.0136,0.112
0.0952,0.0062,0.0592,0.1734,0.0127,0.1346,0.5111,0.001,0.0386,0.5171,0.0174,0.1207,0.0714,0.0073,0.0181,0.1403,0.0039,0.1398,0.1619,0.0308,0.0328,0.0327,0.0583,0.0347
0.0339,0.0041,0.0431,0.8268,0.0394,0.0194,0,0.0127,0.0306,0.6732,0.0364,0.1008,0.0068,0.0369,0.1035,0.0315,0.0595,0.0605,0.1404,0.0286,0.0394,0.0007,0.0128,0.1088
0.0345,0.042,0.0511,0.0001,0.027,0.0679,0.0109,0.0333,0.4595,0.594,0.0046,0.1288,0.1057,0.0263,0.0023,0.8878,0.0087,0.0888,0.0238,0.0544,0.0171,0.0075,0.0109,0.1134
0,0.0308,0.1207,0.2192,0.0196,0.1361,0.0303,0.0551,0.263,20.1418,0.0679,0.1452,0.075,0.005,0.0368,0.4607,0.0125,0.1094,0.5,0.0241,0.0352,0.1458,0.0057,0.1301
0.1159,0.0211,0.2978,0.3152,0.0083,0.1045,0,0.0111,0.2168,0.5156,0.0095,0.1139,0.0197,0.0152,0.0389,0.0661,0.0664,0.1098,0.0702,0.0092,0.152,0.0023,0.0443,0.0011
0.7941,0.012,0.1234,0.3147,0.0106,0.0758,0.3571,0.2248,0.0639,0.1101,0.0472,0.1362,0.1034,0.0125,0.1424,0.4602,0.0125,0.0965,0.1494,0.0198,0.0662,0.017,0.0955,0.1092
0.1364,0.0242,0.2249,0.3571,0.0092,0.1245,0.0685,0.0116,0.065,0.1146,0.0337,0.1337,0.032,0.0793,0.0126,0.047,0.0109,0.0706,0.0354,0.0363,0.0096,0.0103,0.0216,0.1241
0.0345,0.0172,0.0285,0.093,0.0161,0.1223,0.2692,0.096,0.0219,0.0361,0.0059,0.1082,0.1034,0.0067,0.0114,2.4621,0.0629,0.0624,0.0565,0.0202,0.076,0.0367,0.0111,0.021
